geslacht;generatie; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67
man;1916-1920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,1;91,4;89,5;87,9;85,1;80,3;78,8;73,3;69,5;59,9;54,3;44,8;31,7;23,1;8,3;6,3;5,5
man;1921-1925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94,8;94,5;93,1;93,2;91,3;89,1;87,0;85,0;81,1;78,7;75,4;72,1;65,2;59,4;50,8;38,2;24,6;17,7;17,2;9,4;7,8;7,1
man;1926-1930;;;;;;;;;;;;;;;;;;;;;;;;;;96,0;95,7;95,8;94,8;93,8;92,8;91,6;89,4;88,1;87,6;84,7;82,9;80,5;77,2;72,6;67,5;64,3;56,1;50,0;33,5;23,1;18,7;15,9;14,4;7,9;6,4;6,1
man;1931-1935;;;;;;;;;;;;;;;;;;;;;96,5;96,3;96,3;96,4;95,6;94,3;94,0;92,6;91,7;91,0;89,8;87,6;86,0;83,6;81,3;79,7;78,0;75,7;72,9;70,1;66,2;60,7;52,6;43,1;24,9;19,9;16,0;12,9;12,8;7,6;6,6;5,2
man;1936-1940;;;;;;;;;;;;;;;;96,5;96,6;96,4;96,5;95,8;96,1;94,9;93,9;94,6;93,8;92,6;90,7;89,7;87,5;85,9;84,8;84,3;84,7;83,5;80,1;79,2;78,2;76,7;74,8;70,9;66,0;57,2;51,5;44,1;34,0;21,2;19,6;17,0;15,5;9,3;7,3;8,0
man;1941-1945;;;;;;;;;;;92,9;94,4;95,4;95,7;95,7;96,1;95,3;94,8;94,6;95,3;93,7;93,6;91,5;89,0;89,8;88,3;89,0;87,7;88,1;87,8;86,6;86,0;86,1;85,5;82,9;82,9;81,6;81,7;79,4;75,7;72,4;69,0;61,9;56,3;41,9;31,5;23,3;21,5;20,2;14,2;11,7;10,1
man;1946-1950;;;;;;78,0;83,3;86,7;89,3;90,1;91,5;92,4;93,1;93,0;93,9;93,3;93,7;91,2;90,6;89,3;88,2;88,9;89,5;89,1;89,6;88,9;88,8;88,6;88,1;88,3;88,8;88,7;87,6;87,9;87,3;87,2;85,5;84,7;83,8;79,3;77,0;74,2;71,8;67,7;59,2;50,0;38,2;29,7;;;;
man;1951-1955;27,7;45,5;57,3;66,0;68,0;70,0;75,6;78,9;82,6;85,2;86,7;88,3;87,2;87,3;86,6;85,8;87,3;88,4;89,0;90,1;89,2;90,3;90,5;90,2;90,4;90,0;89,8;90,1;89,7;88,6;91,0;89,4;89,5;87,9;87,6;86,6;85,2;86,1;85,5;84,3;82,4;80,7;77,8;;;;;;;;;
man;1956-1960;19,9;33,8;45,1;50,8;54,8;58,9;70,1;72,4;74,6;78,1;77,9;82,4;84,1;86,4;89,0;88,3;89,9;90,1;90,0;90,5;90,0;90,0;90,1;91,5;90,3;91,9;91,7;90,9;90,8;89,8;89,5;89,7;90,1;89,1;89,1;88,3;88,1;88,6;;;;;;;;;;;;;;
man;1961-1965;7,0;19,7;32,8;44,3;49,4;56,0;64,4;69,4;73,6;79,7;82,8;86,4;88,9;88,0;89,0;89,3;90,1;90,5;92,3;92,2;93,2;92,1;91,4;91,7;91,0;90,8;89,9;90,7;91,2;90,6;90,4;90,5;89,7;;;;;;;;;;;;;;;;;;;
man;1966-1970;2,7;13,6;28,9;39,7;49,1;55,9;61,7;68,5;72,9;78,0;83,7;86,1;88,1;90,6;91,1;92,4;92,4;92,4;91,4;91,4;91,4;91,5;91,8;92,5;92,2;92,0;90,6;90,1;;;;;;;;;;;;;;;;;;;;;;;;
man;1971-1975;8,4;17,4;28,1;36,9;44,4;52,3;59,7;67,0;74,8;82,4;87,7;89,5;90,0;91,0;90,9;90,3;91,6;92,5;92,7;92,6;93,0;92,7;90,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
man;1976-1980;8,3;17,7;29,6;40,9;52,1;58,7;65,2;69,7;75,4;80,6;84,4;87,4;90,3;91,2;91,8;92,4;92,2;92,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
man;1981-1985;12,4;27,3;38,7;46,2;51,3;56,2;63,2;68,4;74,8;81,3;85,5;86,5;88,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
man;1986-1990;11,5;23,4;34,3;42,0;48,7;55,8;59,5;63,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
