"Personen naar door de huisarts geregistreerde diagnose; inkomen";;;;
;;;Cijfersoort;Aantal
;;;Onderwerpen;Personen met 1 of meer zorgepisodes
;;;Onderwerpen;T. Endocriene kl./metabol. /voeding
;;;Onderwerpen;Ziekten
;;;Onderwerpen;Diabetes mellitus
Perioden;Inkomensgroepen;Geslacht;Leeftijd;per 1000 personen
2006;3e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;.
2006;3e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;8
2006;3e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;60
2006;3e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;148
2006;3e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;175
2006;3e 10%-inkomensgroep;Mannen;Totaal leeftijd;49
2006;3e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2006;3e 10%-inkomensgroep;Mannen;15 tot 30 jaar;.
2006;3e 10%-inkomensgroep;Mannen;30 tot 45 jaar;6
2006;3e 10%-inkomensgroep;Mannen;45 tot 60 jaar;59
2006;3e 10%-inkomensgroep;Mannen;60 tot 75 jaar;151
2006;3e 10%-inkomensgroep;Mannen;75 jaar of ouder;151
2006;3e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;67
2006;3e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2006;3e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;.
2006;3e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;9
2006;3e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;61
2006;3e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;145
2006;3e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;187
2006;4e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;46
2006;4e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;.
2006;4e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;3
2006;4e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;10
2006;4e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;52
2006;4e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;124
2006;4e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;172
2006;4e 10%-inkomensgroep;Mannen;Totaal leeftijd;44
2006;4e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2006;4e 10%-inkomensgroep;Mannen;15 tot 30 jaar;3
2006;4e 10%-inkomensgroep;Mannen;30 tot 45 jaar;12
2006;4e 10%-inkomensgroep;Mannen;45 tot 60 jaar;59
2006;4e 10%-inkomensgroep;Mannen;60 tot 75 jaar;128
2006;4e 10%-inkomensgroep;Mannen;75 jaar of ouder;158
2006;4e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;48
2006;4e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2006;4e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;.
2006;4e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;8
2006;4e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;46
2006;4e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;120
2006;4e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;180
2006;5e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;37
2006;5e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;1
2006;5e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;.
2006;5e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;7
2006;5e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;36
2006;5e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;126
2006;5e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;163
2006;5e 10%-inkomensgroep;Mannen;Totaal leeftijd;37
2006;5e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2006;5e 10%-inkomensgroep;Mannen;15 tot 30 jaar;.
2006;5e 10%-inkomensgroep;Mannen;30 tot 45 jaar;8
