Sector,Jaar,BrutoToegevoegdeWaardeBasisprijzen,BrutoToegevoegdeWaardeBasisprijzenIndex
35 Energiebedrijven,2000,15150,81.5
35 Energiebedrijven,2001,16828,85.3
35 Energiebedrijven,2002,16329,98.9
35 Energiebedrijven,2003,17389,106.8
35 Energiebedrijven,2004,17546,98.1
35 Energiebedrijven,2005,20401,100
35 Energiebedrijven,2006,23859,118.6
35 Energiebedrijven,2007,24255,136.3
35 Energiebedrijven,2008,28631,137.8
35 Energiebedrijven,2009,25332,186
35 Energiebedrijven,2010,26158,168.8
35 Energiebedrijven,2011,26364,161.1
36 Waterleidingbedrijven,1988,356,54.7
36 Waterleidingbedrijven,1989,369,55.9
36 Waterleidingbedrijven,1990,380,56.3
36 Waterleidingbedrijven,1991,392,58.1
36 Waterleidingbedrijven,1992,409,63.4
36 Waterleidingbedrijven,1993,416,72.6
36 Waterleidingbedrijven,1994,437,78.2
36 Waterleidingbedrijven,1995,459,82.2
36 Waterleidingbedrijven,1996,490,86
36 Waterleidingbedrijven,1997,520,85.9
36 Waterleidingbedrijven,1998,596,89.9
36 Waterleidingbedrijven,1999,617,94.7
36 Waterleidingbedrijven,2000,638,97.4
36 Waterleidingbedrijven,2001,670,100.4
36 Waterleidingbedrijven,2002,665,101
36 Waterleidingbedrijven,2003,687,100
36 Waterleidingbedrijven,2004,682,100
36 Waterleidingbedrijven,2005,707,100
36 Waterleidingbedrijven,2006,716,98.7
36 Waterleidingbedrijven,2007,726,96.3
36 Waterleidingbedrijven,2008,768,92.7
36 Waterleidingbedrijven,2009,769,94
36 Waterleidingbedrijven,2010,803,92.2
36 Waterleidingbedrijven,2011,817,91.8
37-39 Afvalbeheer,1988,1238,65
37-39 Afvalbeheer,1989,1309,65.9
37-39 Afvalbeheer,1990,1511,65.4
37-39 Afvalbeheer,1991,1754,67.4
37-39 Afvalbeheer,1992,1843,69.6
37-39 Afvalbeheer,1993,2021,74.4
37-39 Afvalbeheer,1994,2289,77.2
37-39 Afvalbeheer,1995,2569,78.1
37-39 Afvalbeheer,1996,2792,80
37-39 Afvalbeheer,1997,3136,82.1
37-39 Afvalbeheer,1998,3571,85.5
37-39 Afvalbeheer,1999,3952,86.7
37-39 Afvalbeheer,2000,4354,88.8
37-39 Afvalbeheer,2001,4644,93.1
37-39 Afvalbeheer,2002,5035,94
37-39 Afvalbeheer,2003,5349,99.6
37-39 Afvalbeheer,2004,5569,102.4
37-39 Afvalbeheer,2005,5447,100
37-39 Afvalbeheer,2006,5709,103
37-39 Afvalbeheer,2007,6005,105.8
37-39 Afvalbeheer,2008,6682,107.9
37-39 Afvalbeheer,2009,6718,106.4
37-39 Afvalbeheer,2010,7014,108.3
37-39 Afvalbeheer,2011,7508,109.1
41 Algemene bouw en projectontwikkeling,1988,11796,45.7
41 Algemene bouw en projectontwikkeling,1989,12456,46.1
41 Algemene bouw en projectontwikkeling,1990,13001,47.2
41 Algemene bouw en projectontwikkeling,1991,13496,48.5
41 Algemene bouw en projectontwikkeling,1992,13470,52
41 Algemene bouw en projectontwikkeling,1993,13134,54.6
41 Algemene bouw en projectontwikkeling,1994,13861,55.7
41 Algemene bouw en projectontwikkeling,1995,14462,57.5
41 Algemene bouw en projectontwikkeling,1996,15195,61.2
41 Algemene bouw en projectontwikkeling,1997,15886,63.3
41 Algemene bouw en projectontwikkeling,1998,16569,65.5
41 Algemene bouw en projectontwikkeling,1999,18084,68.8
41 Algemene bouw en projectontwikkeling,2000,19883,73.5
41 Algemene bouw en projectontwikkeling,2001,20972,78.9
41 Algemene bouw en projectontwikkeling,2002,20449,85.8
41 Algemene bouw en projectontwikkeling,2003,20180,92.1
41 Algemene bouw en projectontwikkeling,2004,20511,96.9
41 Algemene bouw en projectontwikkeling,2005,21225,100
41 Algemene bouw en projectontwikkeling,2006,22780,104.7
41 Algemene bouw en projectontwikkeling,2007,25378,105.3
41 Algemene bouw en projectontwikkeling,2008,27380,107.6
41 Algemene bouw en projectontwikkeling,2009,25509,114
41 Algemene bouw en projectontwikkeling,2010,21839,116.2
41 Algemene bouw en projectontwikkeling,2011,22759,112.4
42 Grond-  water-  en wegenbouw,1988,2862,60.8
42 Grond-  water-  en wegenbouw,1989,3220,61.1
42 Grond-  water-  en wegenbouw,1990,3554,65
42 Grond-  water-  en wegenbouw,1991,3666,68.5
42 Grond-  water-  en wegenbouw,1992,3664,72.3
42 Grond-  water-  en wegenbouw,1993,3795,75.1
42 Grond-  water-  en wegenbouw,1994,4076,76.9
42 Grond-  water-  en wegenbouw,1995,4282,78.4
42 Grond-  water-  en wegenbouw,1996,4850,79.1
42 Grond-  water-  en wegenbouw,1997,5074,81.1
42 Grond-  water-  en wegenbouw,1998,5348,83.2
42 Grond-  water-  en wegenbouw,1999,6091,84.8
42 Grond-  water-  en wegenbouw,2000,6648,89.5
42 Grond-  water-  en wegenbouw,2001,7278,94
42 Grond-  water-  en wegenbouw,2002,7207,99.3
42 Grond-  water-  en wegenbouw,2003,6884,101.5
42 Grond-  water-  en wegenbouw,2004,6774,101
42 Grond-  water-  en wegenbouw,2005,7227,100
42 Grond-  water-  en wegenbouw,2006,7855,103.5
42 Grond-  water-  en wegenbouw,2007,8187,108.6
42 Grond-  water-  en wegenbouw,2008,8840,114.9
42 Grond-  water-  en wegenbouw,2009,9244,112.3
42 Grond-  water-  en wegenbouw,2010,8585,120.7
42 Grond-  water-  en wegenbouw,2011,9059,123.4
43 Gespecialiseerde bouw,1988,7055,51.6
43 Gespecialiseerde bouw,1989,7611,53.3
43 Gespecialiseerde bouw,1990,7969,55.7
43 Gespecialiseerde bouw,1991,8410,57.5
43 Gespecialiseerde bouw,1992,8907,60.6
43 Gespecialiseerde bouw,1993,8705,63
43 Gespecialiseerde bouw,1994,8943,64.2
43 Gespecialiseerde bouw,1995,9520,66.1
43 Gespecialiseerde bouw,1996,10428,68.7
43 Gespecialiseerde bouw,1997,10795,70.7
43 Gespecialiseerde bouw,1998,11785,73.1
43 Gespecialiseerde bouw,1999,12629,76.6
43 Gespecialiseerde bouw,2000,13786,81
43 Gespecialiseerde bouw,2001,14680,86.2
43 Gespecialiseerde bouw,2002,14572,93.3
43 Gespecialiseerde bouw,2003,14252,97.7
43 Gespecialiseerde bouw,2004,14238,99
43 Gespecialiseerde bouw,2005,15004,100
43 Gespecialiseerde bouw,2006,16154,103.9
43 Gespecialiseerde bouw,2007,17975,105.7
43 Gespecialiseerde bouw,2008,19511,110.3
43 Gespecialiseerde bouw,2009,18282,116.9
43 Gespecialiseerde bouw,2010,17287,119
43 Gespecialiseerde bouw,2011,18426,116.8
45 Autohandel en -reparatie,1988,2971,69.2
45 Autohandel en -reparatie,1989,3161,69.7
45 Autohandel en -reparatie,1990,3380,72.3
45 Autohandel en -reparatie,1991,3671,73.5
45 Autohandel en -reparatie,1992,3898,75.9
45 Autohandel en -reparatie,1993,3873,81.4
45 Autohandel en -reparatie,1994,4084,83.6
45 Autohandel en -reparatie,1995,4239,83
45 Autohandel en -reparatie,1996,4900,79.2
45 Autohandel en -reparatie,1997,5416,77.5
45 Autohandel en -reparatie,1998,5843,78.9
45 Autohandel en -reparatie,1999,6474,81.7
45 Autohandel en -reparatie,2000,6851,84.9
45 Autohandel en -reparatie,2001,7275,90
45 Autohandel en -reparatie,2002,7359,96.3
45 Autohandel en -reparatie,2003,6822,98
45 Autohandel en -reparatie,2004,7019,98
45 Autohandel en -reparatie,2005,7069,100
45 Autohandel en -reparatie,2006,7340,99.7
45 Autohandel en -reparatie,2007,7707,100.8
45 Autohandel en -reparatie,2008,8158,101.9
45 Autohandel en -reparatie,2009,7657,102.7
45 Autohandel en -reparatie,2010,7981,105.5
45 Autohandel en -reparatie,2011,8335,106.1
46 Groothandel en handelsbemiddeling,1988,8667,94.7
46 Groothandel en handelsbemiddeling,1989,9516,98
46 Groothandel en handelsbemiddeling,1990,10259,98.7
46 Groothandel en handelsbemiddeling,1991,11171,101.5
46 Groothandel en handelsbemiddeling,1992,11761,101.9
46 Groothandel en handelsbemiddeling,1993,12001,99
46 Groothandel en handelsbemiddeling,1994,12666,97.5
46 Groothandel en handelsbemiddeling,1995,13646,95.2
46 Groothandel en handelsbemiddeling,1996,15290,95.7
46 Groothandel en handelsbemiddeling,1997,16469,96.7
46 Groothandel en handelsbemiddeling,1998,18075,94.8
46 Groothandel en handelsbemiddeling,1999,19630,96.9
46 Groothandel en handelsbemiddeling,2000,21724,99.5
46 Groothandel en handelsbemiddeling,2001,23166,102.4
46 Groothandel en handelsbemiddeling,2002,24369,110.4
46 Groothandel en handelsbemiddeling,2003,23445,103
46 Groothandel en handelsbemiddeling,2004,24616,102
46 Groothandel en handelsbemiddeling,2005,25705,100
46 Groothandel en handelsbemiddeling,2006,27888,97
46 Groothandel en handelsbemiddeling,2007,30279,99.8
46 Groothandel en handelsbemiddeling,2008,32085,100.9
46 Groothandel en handelsbemiddeling,2009,30262,97.5
46 Groothandel en handelsbemiddeling,2010,31804,101.4
46 Groothandel en handelsbemiddeling,2011,32945,104.8
47 Detailhandel (niet in auto's),1988,4608,68.3
47 Detailhandel (niet in auto's),1989,4983,69.7
47 Detailhandel (niet in auto's),1990,5460,71.6
47 Detailhandel (niet in auto's),1991,5908,74.7
47 Detailhandel (niet in auto's),1992,6160,80.4
47 Detailhandel (niet in auto's),1993,6445,87.5
47 Detailhandel (niet in auto's),1994,6697,88.8
47 Detailhandel (niet in auto's),1995,6991,89
47 Detailhandel (niet in auto's),1996,7481,88.3
47 Detailhandel (niet in auto's),1997,7899,90.7
47 Detailhandel (niet in auto's),1998,8379,95.9
47 Detailhandel (niet in auto's),1999,9028,97.3
47 Detailhandel (niet in auto's),2000,9773,100.7
47 Detailhandel (niet in auto's),2001,10501,106.9
47 Detailhandel (niet in auto's),2002,11031,111
47 Detailhandel (niet in auto's),2003,10893,108
47 Detailhandel (niet in auto's),2004,11045,102.2
47 Detailhandel (niet in auto's),2005,11417,100
47 Detailhandel (niet in auto's),2006,12141,98.2
47 Detailhandel (niet in auto's),2007,12717,96.3
47 Detailhandel (niet in auto's),2008,13256,93.9
47 Detailhandel (niet in auto's),2009,12969,97.3
47 Detailhandel (niet in auto's),2010,12904,92.1
47 Detailhandel (niet in auto's),2011,12811,87.3
49 Vervoer over land,1988,2847,78.3
49 Vervoer over land,1989,3113,77.8
49 Vervoer over land,1990,3338,78.8
49 Vervoer over land,1991,3699,80.3
49 Vervoer over land,1992,3842,84.1
49 Vervoer over land,1993,4100,81.6
49 Vervoer over land,1994,4315,83
49 Vervoer over land,1995,4457,81.1
49 Vervoer over land,1996,4876,81.3
49 Vervoer over land,1997,5235,84
49 Vervoer over land,1998,5533,86.6
49 Vervoer over land,1999,5879,88.8
49 Vervoer over land,2000,6496,90.6
49 Vervoer over land,2001,6740,95.7
49 Vervoer over land,2002,6848,99
49 Vervoer over land,2003,6988,102.4
49 Vervoer over land,2004,7512,100.6
49 Vervoer over land,2005,8083,100
49 Vervoer over land,2006,8764,100.7
49 Vervoer over land,2007,9212,102.8
49 Vervoer over land,2008,9926,104
49 Vervoer over land,2009,9081,106.6
49 Vervoer over land,2010,9515,104.7
49 Vervoer over land,2011,10099,104.7
50 Vervoer over water,1988,1981,97
50 Vervoer over water,1989,2135,103.4
50 Vervoer over water,1990,2223,97.2
50 Vervoer over water,1991,2294,97.5
50 Vervoer over water,1992,2442,87.9
50 Vervoer over water,1993,2457,101.2
50 Vervoer over water,1994,2492,100.3
50 Vervoer over water,1995,2488,96.4
50 Vervoer over water,1996,2552,92.6
50 Vervoer over water,1997,2754,100.9
50 Vervoer over water,1998,2839,109.5
50 Vervoer over water,1999,3008,98.3
50 Vervoer over water,2000,3363,97.9
50 Vervoer over water,2001,3561,94.6
50 Vervoer over water,2002,3497,92.2
50 Vervoer over water,2003,3749,92.7
50 Vervoer over water,2004,3855,99.6
50 Vervoer over water,2005,4269,100
50 Vervoer over water,2006,3726,93.5
50 Vervoer over water,2007,4208,83.7
50 Vervoer over water,2008,4587,80.6
50 Vervoer over water,2009,3994,70.5
50 Vervoer over water,2010,3907,62
50 Vervoer over water,2011,4088,60.9
51 Vervoer door de lucht,1988,1851,243.6
51 Vervoer door de lucht,1989,2075,224
51 Vervoer door de lucht,1990,2153,204.7
51 Vervoer door de lucht,1991,2346,212.1
51 Vervoer door de lucht,1992,2451,201.7
51 Vervoer door de lucht,1993,2624,173.4
51 Vervoer door de lucht,1994,2849,163.1
51 Vervoer door de lucht,1995,2965,156.4
51 Vervoer door de lucht,1996,3428,138.9
51 Vervoer door de lucht,1997,3824,165.4
51 Vervoer door de lucht,1998,4061,167
51 Vervoer door de lucht,1999,4454,150.5
51 Vervoer door de lucht,2000,5360,153.1
51 Vervoer door de lucht,2001,5265,154.2
51 Vervoer door de lucht,2002,5248,179.4
51 Vervoer door de lucht,2003,5129,139.9
51 Vervoer door de lucht,2004,5556,116.3
51 Vervoer door de lucht,2005,6467,100
51 Vervoer door de lucht,2006,7143,101.5
51 Vervoer door de lucht,2007,7449,87.4
51 Vervoer door de lucht,2008,8365,68.3
51 Vervoer door de lucht,2009,7236,33.4
51 Vervoer door de lucht,2010,7926,24.9
51 Vervoer door de lucht,2011,8887,0.3
52 Opslag  dienstverlening voor vervoer,1988,1219,66.3
52 Opslag  dienstverlening voor vervoer,1989,1299,67
52 Opslag  dienstverlening voor vervoer,1990,1375,69.1
52 Opslag  dienstverlening voor vervoer,1991,1489,72.8
52 Opslag  dienstverlening voor vervoer,1992,1584,74.6
52 Opslag  dienstverlening voor vervoer,1993,1641,76.8
52 Opslag  dienstverlening voor vervoer,1994,1768,77.9
52 Opslag  dienstverlening voor vervoer,1995,2095,78.8
52 Opslag  dienstverlening voor vervoer,1996,2258,78.8
52 Opslag  dienstverlening voor vervoer,1997,2467,80.4
52 Opslag  dienstverlening voor vervoer,1998,2702,82.5
52 Opslag  dienstverlening voor vervoer,1999,2915,82.6
52 Opslag  dienstverlening voor vervoer,2000,3135,83.4
52 Opslag  dienstverlening voor vervoer,2001,3333,86.8
52 Opslag  dienstverlening voor vervoer,2002,3489,90.9
52 Opslag  dienstverlening voor vervoer,2003,3488,93.1
52 Opslag  dienstverlening voor vervoer,2004,3730,96.1
52 Opslag  dienstverlening voor vervoer,2005,3975,100
52 Opslag  dienstverlening voor vervoer,2006,4271,101.5
52 Opslag  dienstverlening voor vervoer,2007,4663,103.5
52 Opslag  dienstverlening voor vervoer,2008,5191,108.2
52 Opslag  dienstverlening voor vervoer,2009,4885,108.3
52 Opslag  dienstverlening voor vervoer,2010,4978,108.2
52 Opslag  dienstverlening voor vervoer,2011,5134,110.6
53 Post en koeriers,1988,1090,72.6
53 Post en koeriers,1989,1075,75.6
53 Post en koeriers,1990,1093,75
53 Post en koeriers,1991,1182,75.5
53 Post en koeriers,1992,1244,80.1
53 Post en koeriers,1993,1252,85.7
53 Post en koeriers,1994,1251,89.1
53 Post en koeriers,1995,1241,90
53 Post en koeriers,1996,1321,90.6
53 Post en koeriers,1997,1425,93.7
53 Post en koeriers,1998,1516,94.7
53 Post en koeriers,1999,1550,95.2
53 Post en koeriers,2000,1670,95.2
53 Post en koeriers,2001,1696,96.2
53 Post en koeriers,2002,1742,96.6
53 Post en koeriers,2003,1743,97.7
53 Post en koeriers,2004,1756,98.6
53 Post en koeriers,2005,1775,100
53 Post en koeriers,2006,1925,102.1
53 Post en koeriers,2007,1978,105.6
53 Post en koeriers,2008,1983,107.7
53 Post en koeriers,2009,1885,106.7
53 Post en koeriers,2010,1974,100.4
53 Post en koeriers,2011,1982,104
I Horeca,1988,3729,52.3
I Horeca,1989,4029,53.6
I Horeca,1990,4246,55.5
I Horeca,1991,4609,56.4
I Horeca,1992,4877,59.3
I Horeca,1993,5086,62.9
I Horeca,1994,5430,65
I Horeca,1995,5551,68.1
I Horeca,1996,5958,69.9
I Horeca,1997,6371,70.9
I Horeca,1998,6770,72.3
I Horeca,1999,7217,76.4
I Horeca,2000,7731,78.8
I Horeca,2001,8234,84
I Horeca,2002,8135,93.3
I Horeca,2003,7853,96.1
I Horeca,2004,7925,98.8
I Horeca,2005,8200,100
I Horeca,2006,8712,100.6
I Horeca,2007,9167,104.9
I Horeca,2008,9357,108.1
I Horeca,2009,8875,114.5
I Horeca,2010,8898,117.3
I Horeca,2011,9161,118.6
58 Uitgeverijen,1988,2043,56.8
58 Uitgeverijen,1989,2199,58.3
58 Uitgeverijen,1990,2323,59.4
58 Uitgeverijen,1991,2422,61.4
58 Uitgeverijen,1992,2420,64
58 Uitgeverijen,1993,2416,67.1
58 Uitgeverijen,1994,2449,68.7
58 Uitgeverijen,1995,2653,69.2
58 Uitgeverijen,1996,2814,72.7
58 Uitgeverijen,1997,2929,78
58 Uitgeverijen,1998,3214,76
58 Uitgeverijen,1999,3383,79.7
58 Uitgeverijen,2000,3601,82.5
58 Uitgeverijen,2001,3723,85.8
58 Uitgeverijen,2002,3559,90.8
58 Uitgeverijen,2003,3515,95.3
58 Uitgeverijen,2004,3533,99.2
58 Uitgeverijen,2005,3720,100
58 Uitgeverijen,2006,3836,101.9
58 Uitgeverijen,2007,4059,104
58 Uitgeverijen,2008,4038,106.3
58 Uitgeverijen,2009,3781,111.9
58 Uitgeverijen,2010,3683,116.5
58 Uitgeverijen,2011,3524,120.3
59-60 Film radio en t.v.,1988,1718,63.2
59-60 Film radio en t.v.,1989,1884,64.5
59-60 Film radio en t.v.,1990,1930,65.7
59-60 Film radio en t.v.,1991,2075,67.5
59-60 Film radio en t.v.,1992,2208,71.1
59-60 Film radio en t.v.,1993,2286,75.5
59-60 Film radio en t.v.,1994,2365,76.3
59-60 Film radio en t.v.,1995,2469,72.4
59-60 Film radio en t.v.,1996,2545,74.5
59-60 Film radio en t.v.,1997,2671,79.6
59-60 Film radio en t.v.,1998,2802,83
59-60 Film radio en t.v.,1999,2957,85.9
59-60 Film radio en t.v.,2000,3117,90.4
59-60 Film radio en t.v.,2001,3335,93.6
59-60 Film radio en t.v.,2002,3521,97
59-60 Film radio en t.v.,2003,3591,100
59-60 Film radio en t.v.,2004,3606,100.8
59-60 Film radio en t.v.,2005,3614,100
59-60 Film radio en t.v.,2006,3814,100.7
59-60 Film radio en t.v.,2007,4039,103.3
59-60 Film radio en t.v.,2008,4136,104.5
59-60 Film radio en t.v.,2009,3970,107.9
59-60 Film radio en t.v.,2010,3949,111.5
59-60 Film radio en t.v.,2011,4004,113.2
61 Telecommunicatie,1988,1270,141.8
61 Telecommunicatie,1989,1487,150.7
61 Telecommunicatie,1990,1672,150.2
61 Telecommunicatie,1991,1905,150.1
61 Telecommunicatie,1992,2064,159.1
61 Telecommunicatie,1993,2294,167.7
61 Telecommunicatie,1994,2615,168.9
61 Telecommunicatie,1995,2945,171
61 Telecommunicatie,1996,3140,177.3
61 Telecommunicatie,1997,3867,166
61 Telecommunicatie,1998,4961,151.5
61 Telecommunicatie,1999,6971,125
61 Telecommunicatie,2000,8953,105.9
61 Telecommunicatie,2001,10573,98.6
61 Telecommunicatie,2002,10378,103
61 Telecommunicatie,2003,10236,105.4
61 Telecommunicatie,2004,10154,103.3
61 Telecommunicatie,2005,10150,100
61 Telecommunicatie,2006,10317,94.7
61 Telecommunicatie,2007,10826,90.4
61 Telecommunicatie,2008,10679,83.1
61 Telecommunicatie,2009,10262,80.2
61 Telecommunicatie,2010,10188,79.3
61 Telecommunicatie,2011,10361,80.4
62-63 IT- en informatiedienstverlening,1988,988,86.3
62-63 IT- en informatiedienstverlening,1989,1076,83.5
62-63 IT- en informatiedienstverlening,1990,1197,83.9
62-63 IT- en informatiedienstverlening,1991,1364,84.9
62-63 IT- en informatiedienstverlening,1992,1421,81.2
62-63 IT- en informatiedienstverlening,1993,1533,81
62-63 IT- en informatiedienstverlening,1994,1657,80.1
62-63 IT- en informatiedienstverlening,1995,1842,79.1
62-63 IT- en informatiedienstverlening,1996,2399,81.3
62-63 IT- en informatiedienstverlening,1997,3265,81.9
62-63 IT- en informatiedienstverlening,1998,4141,84.4
62-63 IT- en informatiedienstverlening,1999,4889,88.3
62-63 IT- en informatiedienstverlening,2000,5721,90.5
62-63 IT- en informatiedienstverlening,2001,6457,94
62-63 IT- en informatiedienstverlening,2002,6083,95.4
62-63 IT- en informatiedienstverlening,2003,5756,96.7
62-63 IT- en informatiedienstverlening,2004,5997,97.8
62-63 IT- en informatiedienstverlening,2005,6572,100
62-63 IT- en informatiedienstverlening,2006,7292,102.1
62-63 IT- en informatiedienstverlening,2007,8038,107.2
62-63 IT- en informatiedienstverlening,2008,8690,109
62-63 IT- en informatiedienstverlening,2009,8417,106.2
62-63 IT- en informatiedienstverlening,2010,8289,107.1
62-63 IT- en informatiedienstverlening,2011,8547,104.1
64 Bankwezen,1988,4410,74.3
64 Bankwezen,1989,5055,67.9
64 Bankwezen,1990,5446,58.8
64 Bankwezen,1991,6192,63.2
64 Bankwezen,1992,6760,64.3
64 Bankwezen,1993,7047,68.2
64 Bankwezen,1994,7772,78.1
64 Bankwezen,1995,7842,87.3
64 Bankwezen,1996,8707,82.2
64 Bankwezen,1997,9985,75.5
64 Bankwezen,1998,11101,69.7
64 Bankwezen,1999,12363,76.6
64 Bankwezen,2000,15057,83.3
64 Bankwezen,2001,15390,87.7
64 Bankwezen,2002,15008,102.1
64 Bankwezen,2003,15778,103.6
64 Bankwezen,2004,16696,99.3
64 Bankwezen,2005,17764,100
64 Bankwezen,2006,18852,77.7
64 Bankwezen,2007,19516,61
64 Bankwezen,2008,22698,64.9
64 Bankwezen,2009,27578,94.8
64 Bankwezen,2010,27507,113.3
64 Bankwezen,2011,25912,111.7
65 Verzekeraars en pensioenfondsen,1988,3035,43.1
65 Verzekeraars en pensioenfondsen,1989,3270,45.4
65 Verzekeraars en pensioenfondsen,1990,3097,37.8
65 Verzekeraars en pensioenfondsen,1991,3639,44.2
65 Verzekeraars en pensioenfondsen,1992,3796,41.3
65 Verzekeraars en pensioenfondsen,1993,3750,37.3
65 Verzekeraars en pensioenfondsen,1994,4338,45.1
65 Verzekeraars en pensioenfondsen,1995,4837,47
65 Verzekeraars en pensioenfondsen,1996,5369,51.9
65 Verzekeraars en pensioenfondsen,1997,6012,52.7
65 Verzekeraars en pensioenfondsen,1998,6701,53.9
65 Verzekeraars en pensioenfondsen,1999,7060,53.5
65 Verzekeraars en pensioenfondsen,2000,7830,59.6
65 Verzekeraars en pensioenfondsen,2001,8099,66.8
65 Verzekeraars en pensioenfondsen,2002,8213,63.8
65 Verzekeraars en pensioenfondsen,2003,8453,86.8
65 Verzekeraars en pensioenfondsen,2004,8717,83.5
65 Verzekeraars en pensioenfondsen,2005,9036,100
65 Verzekeraars en pensioenfondsen,2006,9758,98.7
65 Verzekeraars en pensioenfondsen,2007,10222,98.4
65 Verzekeraars en pensioenfondsen,2008,10053,81
65 Verzekeraars en pensioenfondsen,2009,9768,86.8
65 Verzekeraars en pensioenfondsen,2010,9937,86.7
65 Verzekeraars en pensioenfondsen,2011,10141,87.4
66 Overige financiële dienstverlening,1988,529,47.9
66 Overige financiële dienstverlening,1989,552,52.5
66 Overige financiële dienstverlening,1990,577,52.7
66 Overige financiële dienstverlening,1991,614,55.5
66 Overige financiële dienstverlening,1992,647,61.4
66 Overige financiële dienstverlening,1993,684,62.9
66 Overige financiële dienstverlening,1994,766,68.8
66 Overige financiële dienstverlening,1995,805,70.7
66 Overige financiële dienstverlening,1996,993,74.3
66 Overige financiële dienstverlening,1997,1059,78.7
66 Overige financiële dienstverlening,1998,1247,81.1
66 Overige financiële dienstverlening,1999,1363,83.7
66 Overige financiële dienstverlening,2000,1578,88.6
66 Overige financiële dienstverlening,2001,1669,92
66 Overige financiële dienstverlening,2002,1742,94.7
66 Overige financiële dienstverlening,2003,1699,97.8
66 Overige financiële dienstverlening,2004,1751,100.7
66 Overige financiële dienstverlening,2005,1791,100
66 Overige financiële dienstverlening,2006,1831,104.3
66 Overige financiële dienstverlening,2007,1896,104.2
66 Overige financiële dienstverlening,2008,2066,85.3
66 Overige financiële dienstverlening,2009,1996,84.5
66 Overige financiële dienstverlening,2010,2016,82.4
66 Overige financiële dienstverlening,2011,2018,83.8
68 Verhuur en handel van onroerend goed,1988,6612,63.6
68 Verhuur en handel van onroerend goed,1989,7086,65.6
68 Verhuur en handel van onroerend goed,1990,7308,67.7
68 Verhuur en handel van onroerend goed,1991,7839,70.7
68 Verhuur en handel van onroerend goed,1992,8272,75.2
68 Verhuur en handel van onroerend goed,1993,8901,76.7
68 Verhuur en handel van onroerend goed,1994,9734,78.3
68 Verhuur en handel van onroerend goed,1995,10281,74
68 Verhuur en handel van onroerend goed,1996,10906,77.7
68 Verhuur en handel van onroerend goed,1997,11271,82.2
68 Verhuur en handel van onroerend goed,1998,11354,87.3
68 Verhuur en handel van onroerend goed,1999,12104,90.9
68 Verhuur en handel van onroerend goed,2000,12331,96.3
68 Verhuur en handel van onroerend goed,2001,13345,97.7
68 Verhuur en handel van onroerend goed,2002,15956,95.1
68 Verhuur en handel van onroerend goed,2003,18781,91.9
68 Verhuur en handel van onroerend goed,2004,19354,96.5
68 Verhuur en handel van onroerend goed,2005,20011,100
68 Verhuur en handel van onroerend goed,2006,18187,111.4
68 Verhuur en handel van onroerend goed,2007,16019,123.7
68 Verhuur en handel van onroerend goed,2008,16419,126.8
68 Verhuur en handel van onroerend goed,2009,25969,99.4
68 Verhuur en handel van onroerend goed,2010,27550,94.8
68 Verhuur en handel van onroerend goed,2011,26183,100.2
69-70 Managementadvies en holdings,1988,4806,53.2
69-70 Managementadvies en holdings,1989,5511,53.7
69-70 Managementadvies en holdings,1990,5889,56.1
69-70 Managementadvies en holdings,1991,6409,58.9
69-70 Managementadvies en holdings,1992,6837,61.5
69-70 Managementadvies en holdings,1993,7182,64
69-70 Managementadvies en holdings,1994,7554,64.8
69-70 Managementadvies en holdings,1995,7945,65.4
69-70 Managementadvies en holdings,1996,8599,67.3
69-70 Managementadvies en holdings,1997,9467,69.1
69-70 Managementadvies en holdings,1998,10013,71.6
69-70 Managementadvies en holdings,1999,10774,74.2
69-70 Managementadvies en holdings,2000,12158,76.8
69-70 Managementadvies en holdings,2001,13211,81.4
69-70 Managementadvies en holdings,2002,12772,86.4
69-70 Managementadvies en holdings,2003,12752,90.5
69-70 Managementadvies en holdings,2004,13167,95.3
69-70 Managementadvies en holdings,2005,13973,100
69-70 Managementadvies en holdings,2006,14780,102.8
69-70 Managementadvies en holdings,2007,15492,108.6
69-70 Managementadvies en holdings,2008,16553,110.5
69-70 Managementadvies en holdings,2009,16103,110.3
69-70 Managementadvies en holdings,2010,15680,107.2
69-70 Managementadvies en holdings,2011,15559,107.1
71 Architecten-  ingenieursbureaus e.d.,1988,1630,66.2
71 Architecten-  ingenieursbureaus e.d.,1989,1808,66.3
71 Architecten-  ingenieursbureaus e.d.,1990,2025,68.2
71 Architecten-  ingenieursbureaus e.d.,1991,2138,70.1
71 Architecten-  ingenieursbureaus e.d.,1992,2385,72.2
71 Architecten-  ingenieursbureaus e.d.,1993,2635,75.2
71 Architecten-  ingenieursbureaus e.d.,1994,2787,75.5
71 Architecten-  ingenieursbureaus e.d.,1995,3019,76
71 Architecten-  ingenieursbureaus e.d.,1996,3499,78.7
71 Architecten-  ingenieursbureaus e.d.,1997,3748,79.5
71 Architecten-  ingenieursbureaus e.d.,1998,4193,82.1
71 Architecten-  ingenieursbureaus e.d.,1999,4725,83.7
71 Architecten-  ingenieursbureaus e.d.,2000,5266,86.3
71 Architecten-  ingenieursbureaus e.d.,2001,5913,89
71 Architecten-  ingenieursbureaus e.d.,2002,5900,94
71 Architecten-  ingenieursbureaus e.d.,2003,5484,97
71 Architecten-  ingenieursbureaus e.d.,2004,5564,97.8
