Sector,Jaar,BrutoToegevoegdeWaardeBasisprijzen,BrutoToegevoegdeWaardeBasisprijzenIndex
13-15 Textiel-  kleding-  lederindustrie,1989,2790,101.4
13-15 Textiel-  kleding-  lederindustrie,1990,2944,104.2
13-15 Textiel-  kleding-  lederindustrie,1991,2934,105.2
13-15 Textiel-  kleding-  lederindustrie,1992,2788,106.5
13-15 Textiel-  kleding-  lederindustrie,1993,2752,106.2
13-15 Textiel-  kleding-  lederindustrie,1994,2872,104.2
13-15 Textiel-  kleding-  lederindustrie,1995,2870,105.4
13-15 Textiel-  kleding-  lederindustrie,1996,2837,101.1
13-15 Textiel-  kleding-  lederindustrie,1997,2909,99.7
13-15 Textiel-  kleding-  lederindustrie,1998,3004,102.1
13-15 Textiel-  kleding-  lederindustrie,1999,2968,102.7
13-15 Textiel-  kleding-  lederindustrie,2000,3140,99.2
13-15 Textiel-  kleding-  lederindustrie,2001,3062,95
13-15 Textiel-  kleding-  lederindustrie,2002,2948,98.4
13-15 Textiel-  kleding-  lederindustrie,2003,2798,100.5
13-15 Textiel-  kleding-  lederindustrie,2004,2689,100.2
13-15 Textiel-  kleding-  lederindustrie,2005,2671,100
13-15 Textiel-  kleding-  lederindustrie,2006,2729,99.6
13-15 Textiel-  kleding-  lederindustrie,2007,2864,100.3
13-15 Textiel-  kleding-  lederindustrie,2008,2702,99.5
13-15 Textiel-  kleding-  lederindustrie,2009,2395,105
13-15 Textiel-  kleding-  lederindustrie,2010,2640,102.7
13-15 Textiel-  kleding-  lederindustrie,2011,2856,101.8
16 Houtindustrie,1988,1017,56.7
16 Houtindustrie,1989,1101,58.5
16 Houtindustrie,1990,1122,60.8
16 Houtindustrie,1991,1102,62.3
16 Houtindustrie,1992,1119,65.3
16 Houtindustrie,1993,1137,67.8
16 Houtindustrie,1994,1191,67.9
16 Houtindustrie,1995,1253,71
16 Houtindustrie,1996,1300,71.5
16 Houtindustrie,1997,1387,72.1
16 Houtindustrie,1998,1495,72.4
16 Houtindustrie,1999,1503,74.5
16 Houtindustrie,2000,1571,82.5
16 Houtindustrie,2001,1568,90.6
16 Houtindustrie,2002,1569,95.9
16 Houtindustrie,2003,1483,100.8
16 Houtindustrie,2004,1511,100.1
16 Houtindustrie,2005,1595,100
16 Houtindustrie,2006,1762,101.1
16 Houtindustrie,2007,1947,112.2
16 Houtindustrie,2008,1904,118.6
16 Houtindustrie,2009,1620,117.6
16 Houtindustrie,2010,1609,108.2
16 Houtindustrie,2011,1718,107.3
17 Papierindustrie,1988,2482,100.7
