geslacht,generatie,leeftijd,participatie
man,1951-1955,22,75.6
man,1956-1960,22,70.1
man,1961-1965,22,64.4
man,1966-1970,22,61.7
man,1971-1975,22,59.7
man,1976-1980,22,65.2
man,1981-1985,22,63.2
man,1986-1990,22,59.5
vrouw,1906-1910,23,
vrouw,1911-1915,23,
vrouw,1916-1920,23,
vrouw,1921-1925,23,
vrouw,1926-1930,23,
vrouw,1931-1935,23,
vrouw,1936-1940,23,
vrouw,1941-1945,23,
vrouw,1946-1950,23,48.4
vrouw,1951-1955,23,49.7
vrouw,1956-1960,23,60.9
vrouw,1961-1965,23,64.1
vrouw,1966-1970,23,66.1
vrouw,1971-1975,23,65.9
vrouw,1976-1980,23,68.6
vrouw,1981-1985,23,64.9
vrouw,1986-1990,23,62.9
man,1906-1910,23,
man,1911-1915,23,
man,1916-1920,23,
man,1921-1925,23,
man,1926-1930,23,
man,1931-1935,23,
man,1936-1940,23,
man,1941-1945,23,
man,1946-1950,23,86.7
man,1951-1955,23,78.9
man,1956-1960,23,72.4
man,1961-1965,23,69.4
man,1966-1970,23,68.5
man,1971-1975,23,67
man,1976-1980,23,69.7
man,1981-1985,23,68.4
man,1986-1990,23,63.5
vrouw,1906-1910,24,
vrouw,1911-1915,24,
vrouw,1916-1920,24,
vrouw,1921-1925,24,
vrouw,1926-1930,24,
vrouw,1931-1935,24,
vrouw,1936-1940,24,
vrouw,1941-1945,24,
vrouw,1946-1950,24,40.7
vrouw,1951-1955,24,46.4
vrouw,1956-1960,24,57.1
vrouw,1961-1965,24,63.3
vrouw,1966-1970,24,68
vrouw,1971-1975,24,69.7
vrouw,1976-1980,24,71.3
vrouw,1981-1985,24,70.2
vrouw,1986-1990,24,
man,1906-1910,24,
man,1911-1915,24,
man,1916-1920,24,
man,1921-1925,24,
man,1926-1930,24,
man,1931-1935,24,
man,1936-1940,24,
man,1941-1945,24,
man,1946-1950,24,89.3
man,1951-1955,24,82.6
man,1956-1960,24,74.6
man,1961-1965,24,73.6
man,1966-1970,24,72.9
man,1971-1975,24,74.8
man,1976-1980,24,75.4
