Jaar,Sector,Energieaanbod,Energieverbruik
2010,2014 Overige organische basischemie,686.52,686.52
2010,2015 Kunstmestindustrie,94.36,94.29
2010,Chemische en farmaceutische producten,18.23,18.23
2010,23 Bouwmaterialenindustrie,31.18,31.18
2010,24 Basismetaalindustrie,116.66,116.8
2010,IJzer- en staalindustrie,91.66,91.8
2010,Non-ferrometalenindustrie,25,25
2010,25-28 Metaalproducten/machine-industrie,43.24,43.24
2010,29-30 Transportmiddelenindustrie,5.56,5.56
2010,31-33 Overige industrie en reparatie,16.49,16.49
2010,F Bouwnijverheid,34.54,
2010,Vervoer,492.02,492.02
2010,Railverkeer,7.96,7.96
2010,Wegverkeer,473.9,473.9
2010,Scheepvaart,7.47,7.47
2010,Luchtvaart,2.69,2.69
2010,Particuliere huishoudens,478.84,478.84
2010,Landbouw  visserij en dienstverlening,619.88,619.88
2010,Landbouw,169.68,
2010,Visserij,13.24,13.24
2010,E Waterbedrijven en afvalbeheer,66.45,66.45
2010,G-U Dienstverlening,370.51,
2011,Nederland totaal,3257.96,3257.84
2011,Energiesector,581.67,581.57
2011,06 Winning van aardolie en aardgas,37.13,37.13
2011,Cokesfabrieken,15.02,15.01
2011,192 Aardolie-industrie,189.54,189.54
2011,35 Energiebedrijven,339.98,339.88
2011,Totaal energieafnemers,2676.29,2676.26
2011,Nijverheid (geen energiesector),1211.06,1211.03
2011,08 Delfstoffenwinning (geen olie en gas),10.51,10.51
2011,10-12 Voedings-  genotmiddelenindustrie,82.89,82.89
2011,13-15 Textiel-  kleding-  lederindustrie,4.46,4.46
2011,16 Houtindustrie,3.53,3.53
2011,17-18 Papier- en grafische industrie,29.67,29.67
2011,20-21 Chemie en farmaceutische industrie,834.93,834.93
2011,Basischemie zonder 2013-2015,69.01,69.01
2011,2013 Overige anorganische basischemie,37.64,37.64
2011,2014 Overige organische basischemie,615.4,615.4
2011,2015 Kunstmestindustrie,95.78,95.78
2011,Chemische en farmaceutische producten,17.1,17.1
2011,23 Bouwmaterialenindustrie,28.61,28.61
2011,24 Basismetaalindustrie,121.13,121.11
2011,IJzer- en staalindustrie,98.34,98.31
2011,Non-ferrometalenindustrie,22.8,22.8
2011,25-28 Metaalproducten/machine-industrie,43.47,43.47
2011,29-30 Transportmiddelenindustrie,3.99,3.99
2011,31-33 Overige industrie en reparatie,17.64,17.64
2011,F Bouwnijverheid,30.22,
2011,Vervoer,499.33,499.33
2011,Railverkeer,7.88,7.88
2011,Wegverkeer,480.42,480.42
2011,Scheepvaart,8.43,8.43
2011,Luchtvaart,2.61,2.61
2011,Particuliere huishoudens,407.18,407.18
2011,Landbouw  visserij en dienstverlening,558.72,558.72
2011,Landbouw,149.42,
2011,Visserij,12.73,12.73
2011,E Waterbedrijven en afvalbeheer,68.13,68.13
2011,G-U Dienstverlening,328.43,
1995,19 Aardolie-industrie,188.33,188.32
1996,19 Aardolie-industrie,191.11,191.08
1997,19 Aardolie-industrie,197.44,197.45
1998,19 Aardolie-industrie,207.57,207.57
1999,19 Aardolie-industrie,184.58,184.58
2000,19 Aardolie-industrie,192.15,192.15
2001,19 Aardolie-industrie,203.73,203.73
2002,19 Aardolie-industrie,186.18,186.18
2003,19 Aardolie-industrie,195.59,195.72
2004,19 Aardolie-industrie,201.49,201.49
2005,19 Aardolie-industrie,196.83,196.83
2006,19 Aardolie-industrie,199.72,199.72
2007,19 Aardolie-industrie,209.57,209.64
2008,19 Aardolie-industrie,185.88,185.88
2009,19 Aardolie-industrie,188.03,187.67
2010,19 Aardolie-industrie,190.67,190.91
2011,19 Aardolie-industrie,204.56,204.55
