Jaar,Sector,Energieaanbod,Energieverbruik
1998,23 Bouwmaterialenindustrie,35.86,35.86
1998,24 Basismetaalindustrie,127.9,127.9
1998,IJzer- en staalindustrie,99.98,99.98
1998,Non-ferrometalenindustrie,27.92,27.92
1998,25-28 Metaalproducten/machine-industrie,43.15,43.15
1998,29-30 Transportmiddelenindustrie,5.69,5.69
1998,31-33 Overige industrie en reparatie,19.3,19.3
1998,F Bouwnijverheid,29.17,
1998,Vervoer,441.85,441.85
1998,Railverkeer,7.61,7.61
1998,Wegverkeer,419.64,419.64
1998,Scheepvaart,8.97,8.97
1998,Luchtvaart,5.63,5.63
1998,Particuliere huishoudens,434.09,434.09
1998,Landbouw  visserij en dienstverlening,519.79,519.79
1998,Landbouw,159.91,
1998,Visserij,,
1998,E Waterbedrijven en afvalbeheer,46.43,
1998,G-U Dienstverlening,313.44,
1999,Nederland totaal,2994.38,2994.38
1999,Energiesector,536.45,536.45
1999,06 Winning van aardolie en aardgas,34.58,34.58
1999,Cokesfabrieken,13.97,13.97
1999,192 Aardolie-industrie,170.61,170.61
1999,35 Energiebedrijven,317.29,317.29
1999,Totaal energieafnemers,2457.94,2457.94
1999,Nijverheid (geen energiesector),1085.42,1085.42
1999,08 Delfstoffenwinning (geen olie en gas),7.13,7.13
1999,10-12 Voedings-  genotmiddelenindustrie,104.78,104.78
1999,13-15 Textiel-  kleding-  lederindustrie,8.2,8.2
1999,16 Houtindustrie,4.28,4.28
1999,17-18 Papier- en grafische industrie,42.77,42.77
1999,20-21 Chemie en farmaceutische industrie,660.31,660.31
1999,Basischemie zonder 2013-2015,47.69,47.69
1999,2013 Overige anorganische basischemie,45.15,45.15
1999,2014 Overige organische basischemie,431.35,431.35
1999,2015 Kunstmestindustrie,112.98,112.98
1999,Chemische en farmaceutische producten,23.14,23.14
1999,23 Bouwmaterialenindustrie,36.33,36.33
1999,24 Basismetaalindustrie,123.73,123.73
1999,IJzer- en staalindustrie,94.61,94.61
1999,Non-ferrometalenindustrie,29.12,29.12
1999,25-28 Metaalproducten/machine-industrie,44.82,44.82
1999,29-30 Transportmiddelenindustrie,5.4,5.4
1999,31-33 Overige industrie en reparatie,20.31,20.31
1999,F Bouwnijverheid,27.35,
1999,Vervoer,457.17,457.17
1999,Railverkeer,7.52,7.52
1999,Wegverkeer,431.15,431.15
1999,Scheepvaart,12.07,12.07
1999,Luchtvaart,6.44,6.44
1999,Particuliere huishoudens,430,430
1999,Landbouw  visserij en dienstverlening,485.34,485.34
1999,Landbouw,166.65,
1999,Visserij,,
1999,E Waterbedrijven en afvalbeheer,48.82,
1999,G-U Dienstverlening,269.87,
2000,Nederland totaal,3066.7,3066.7
2000,Energiesector,556.06,556.06
2000,06 Winning van aardolie en aardgas,35.03,35.03
2000,Cokesfabrieken,12.46,12.46
2000,192 Aardolie-industrie,179.69,179.69
2000,35 Energiebedrijven,328.89,328.89
2000,Totaal energieafnemers,2510.63,2510.63
2000,Nijverheid (geen energiesector),1113.17,1113.17
2000,08 Delfstoffenwinning (geen olie en gas),14.59,14.59
2000,10-12 Voedings-  genotmiddelenindustrie,101.28,101.28
2000,13-15 Textiel-  kleding-  lederindustrie,8.34,8.34
2000,16 Houtindustrie,4.78,4.78
2000,17-18 Papier- en grafische industrie,43.54,43.54
2000,20-21 Chemie en farmaceutische industrie,686.03,686.03
2000,Basischemie zonder 2013-2015,49.01,49.01
2000,2013 Overige anorganische basischemie,51.59,51.59
2000,2014 Overige organische basischemie,448.07,448.07
2000,2015 Kunstmestindustrie,111.89,111.89
2000,Chemische en farmaceutische producten,25.47,25.47
2000,23 Bouwmaterialenindustrie,37.21,37.21
2000,24 Basismetaalindustrie,121.88,121.88
2000,IJzer- en staalindustrie,91.21,91.21
2000,Non-ferrometalenindustrie,30.67,30.67
2000,25-28 Metaalproducten/machine-industrie,44.96,44.96
2000,29-30 Transportmiddelenindustrie,5.57,5.57
2000,31-33 Overige industrie en reparatie,20.24,20.24
2000,F Bouwnijverheid,24.74,
2000,Vervoer,462.49,462.49
2000,Railverkeer,8.04,8.04
2000,Wegverkeer,435.33,435.33
2000,Scheepvaart,14.6,14.6
2000,Luchtvaart,4.52,4.52
2000,Particuliere huishoudens,432.35,432.35
2000,Landbouw  visserij en dienstverlening,502.63,502.63
2000,Landbouw,172.43,
2000,Visserij,,
2000,E Waterbedrijven en afvalbeheer,49.1,
2000,G-U Dienstverlening,281.09,
2001,Nederland totaal,3156.92,3156.99
2001,Energiesector,604.2,604.25
2001,06 Winning van aardolie en aardgas,38.66,38.66
2001,Cokesfabrieken,13.2,13.2
2001,192 Aardolie-industrie,190.53,190.53
2001,35 Energiebedrijven,361.81,361.86
2001,Totaal energieafnemers,2552.72,2552.74
2001,Nijverheid (geen energiesector),1111.71,1111.73
2001,08 Delfstoffenwinning (geen olie en gas),13.23,13.23
2001,10-12 Voedings-  genotmiddelenindustrie,99.28,99.28
2001,13-15 Textiel-  kleding-  lederindustrie,7.81,7.81
2001,16 Houtindustrie,3.66,3.66
2001,17-18 Papier- en grafische industrie,41.21,41.21
2001,20-21 Chemie en farmaceutische industrie,689,689.02
2001,Basischemie zonder 2013-2015,48.12,48.12
2001,2013 Overige anorganische basischemie,52.13,52.15
2001,2014 Overige organische basischemie,468.88,468.88
2001,2015 Kunstmestindustrie,93.52,93.52
2001,Chemische en farmaceutische producten,26.34,26.34
2001,23 Bouwmaterialenindustrie,36.33,36.33
2001,24 Basismetaalindustrie,125.04,125.04
2001,IJzer- en staalindustrie,95.66,95.66
2001,Non-ferrometalenindustrie,29.38,29.38
2001,25-28 Metaalproducten/machine-industrie,40.8,40.8
2001,29-30 Transportmiddelenindustrie,5.74,5.74
2001,31-33 Overige industrie en reparatie,19.47,19.47
2001,F Bouwnijverheid,30.13,
2001,Vervoer,467.31,467.31
2001,Railverkeer,7.78,7.78
