Regio,Misdrijf,Jaar,Aantal misdrijven,Misdrijven per 1000 inwoners,Opgehelderde misdrijven,Perc. opgehelderd
Friesland (PO),Vernielingen/misdr.openb.orde,2011*,6760,10.4,1505,22.3
Friesland (PO),Gewelds- en seksuele misdrijven,2005,3410,5.3,2685,78.8
Friesland (PO),Gewelds- en seksuele misdrijven,2006,3290,5.1,2600,78.9
Friesland (PO),Gewelds- en seksuele misdrijven,2007,3425,5.3,2690,78.6
Friesland (PO),Gewelds- en seksuele misdrijven,2008,3465,5.4,2735,78.9
Friesland (PO),Gewelds- en seksuele misdrijven,2009,3460,5.4,2760,79.8
Friesland (PO),Gewelds- en seksuele misdrijven,2010,3540,5.5,2605,73.6
Friesland (PO),Gewelds- en seksuele misdrijven,2011*,3615,5.6,2565,70.9
Drenthe (PO),Totaal,2005,28115,58.2,8225,29.3
Drenthe (PO),Totaal,2006,28505,58.8,8200,28.8
Drenthe (PO),Totaal,2007,28215,58,8085,28.7
Drenthe (PO),Totaal,2008,27365,56.1,7595,27.8
Drenthe (PO),Totaal,2009,28785,58.8,6405,22.2
Drenthe (PO),Totaal,2010,25895,52.7,6315,24.4
Drenthe (PO),Totaal,2011*,25875,52.7,6390,24.7
Drenthe (PO),Vermogensmisdrijven,2005,15085,31.2,2500,16.6
Drenthe (PO),Vermogensmisdrijven,2006,14645,30.2,2480,16.9
Drenthe (PO),Vermogensmisdrijven,2007,14215,29.2,2155,15.1
Drenthe (PO),Vermogensmisdrijven,2008,14120,28.9,2065,14.6
Drenthe (PO),Vermogensmisdrijven,2009,15790,32.2,1965,12.4
Drenthe (PO),Vermogensmisdrijven,2010,14030,28.6,1950,13.9
Drenthe (PO),Vermogensmisdrijven,2011*,14365,29.2,1995,13.9
Drenthe (PO),Vernielingen/misdr.openb.orde,2005,6375,13.2,1210,19
Drenthe (PO),Vernielingen/misdr.openb.orde,2006,6705,13.8,1140,17
Drenthe (PO),Vernielingen/misdr.openb.orde,2007,6455,13.3,1035,16
Drenthe (PO),Vernielingen/misdr.openb.orde,2008,5890,12.1,895,15.2
Drenthe (PO),Vernielingen/misdr.openb.orde,2009,5950,12.1,810,13.6
Drenthe (PO),Vernielingen/misdr.openb.orde,2010,4810,9.8,780,16.2
Drenthe (PO),Vernielingen/misdr.openb.orde,2011*,4780,9.7,815,17.1
Drenthe (PO),Gewelds- en seksuele misdrijven,2005,3435,7.1,2330,67.8
Drenthe (PO),Gewelds- en seksuele misdrijven,2006,3735,7.7,2530,67.7
Drenthe (PO),Gewelds- en seksuele misdrijven,2007,3805,7.8,2665,70.1
Drenthe (PO),Gewelds- en seksuele misdrijven,2008,3640,7.5,2435,66.8
Drenthe (PO),Gewelds- en seksuele misdrijven,2009,3485,7.1,1945,55.8
Drenthe (PO),Gewelds- en seksuele misdrijven,2010,3255,6.6,2035,62.5
Drenthe (PO),Gewelds- en seksuele misdrijven,2011*,3210,6.5,2075,64.6
IJsselland (PO),Totaal,2005,34370,69.8,8580,25
IJsselland (PO),Totaal,2006,32430,65.4,8575,26.4
IJsselland (PO),Totaal,2007,30615,61.5,8475,27.7
IJsselland (PO),Totaal,2008,30375,60.6,8310,27.4
IJsselland (PO),Totaal,2009,29095,57.7,7755,26.7
IJsselland (PO),Totaal,2010,27580,54.4,7700,27.9
IJsselland (PO),Totaal,2011*,27335,53.7,7365,26.9
IJsselland (PO),Vermogensmisdrijven,2005,19230,39,2700,14
IJsselland (PO),Vermogensmisdrijven,2006,17330,35,2665,15.4
IJsselland (PO),Vermogensmisdrijven,2007,15520,31.2,2445,15.7
IJsselland (PO),Vermogensmisdrijven,2008,15735,31.4,2375,15.1
IJsselland (PO),Vermogensmisdrijven,2009,15655,31.1,2255,14.4
IJsselland (PO),Vermogensmisdrijven,2010,15490,30.6,2475,16
IJsselland (PO),Vermogensmisdrijven,2011*,15065,29.6,2275,15.1
IJsselland (PO),Vernielingen/misdr.openb.orde,2005,6845,13.9,940,13.7
IJsselland (PO),Vernielingen/misdr.openb.orde,2006,6915,13.9,1045,15.1
IJsselland (PO),Vernielingen/misdr.openb.orde,2007,6820,13.7,1180,17.3
IJsselland (PO),Vernielingen/misdr.openb.orde,2008,6500,13,1060,16.3
IJsselland (PO),Vernielingen/misdr.openb.orde,2009,5850,11.6,1125,19.2
IJsselland (PO),Vernielingen/misdr.openb.orde,2010,4915,9.7,1125,22.9
IJsselland (PO),Vernielingen/misdr.openb.orde,2011*,5095,10,1020,20
IJsselland (PO),Gewelds- en seksuele misdrijven,2005,3310,6.7,2025,61.2
IJsselland (PO),Gewelds- en seksuele misdrijven,2006,3375,6.8,2190,64.9
IJsselland (PO),Gewelds- en seksuele misdrijven,2007,3460,6.9,2330,67.3
IJsselland (PO),Gewelds- en seksuele misdrijven,2008,3405,6.8,2440,71.6
IJsselland (PO),Gewelds- en seksuele misdrijven,2009,3275,6.5,2260,68.9
