Regio,Misdrijf,Jaar,Aantal misdrijven,Misdrijven per 1000 inwoners,Opgehelderde misdrijven,Perc. opgehelderd
Zaanstreek-Waterland (PO),Gewelds- en seksuele misdrijven,2005,2325,7.4,1430,61.5
Zaanstreek-Waterland (PO),Gewelds- en seksuele misdrijven,2006,2340,7.4,1410,60.3
Zaanstreek-Waterland (PO),Gewelds- en seksuele misdrijven,2007,2340,7.4,1325,56.5
Zaanstreek-Waterland (PO),Gewelds- en seksuele misdrijven,2008,2345,7.4,1420,60.6
Zaanstreek-Waterland (PO),Gewelds- en seksuele misdrijven,2009,2330,7.3,1565,67.2
Zaanstreek-Waterland (PO),Gewelds- en seksuele misdrijven,2010,2385,7.4,1650,69.3
Zaanstreek-Waterland (PO),Gewelds- en seksuele misdrijven,2011*,2340,7.3,1655,70.6
Kennemerland (PO),Totaal,2005,42400,84.6,10935,25.8
Kennemerland (PO),Totaal,2006,42420,83.9,11530,27.2
Kennemerland (PO),Totaal,2007,41915,82.3,11270,26.9
Kennemerland (PO),Totaal,2008,39050,76,10065,25.8
Kennemerland (PO),Totaal,2009,40590,78.5,11055,27.2
Kennemerland (PO),Totaal,2010,41610,80,11585,27.8
Kennemerland (PO),Totaal,2011*,40685,77.8,11030,27.1
Kennemerland (PO),Vermogensmisdrijven,2005,22830,45.5,2680,11.7
Kennemerland (PO),Vermogensmisdrijven,2006,22120,43.7,2625,11.9
Kennemerland (PO),Vermogensmisdrijven,2007,21780,42.7,2615,12
Kennemerland (PO),Vermogensmisdrijven,2008,20745,40.4,2545,12.3
Kennemerland (PO),Vermogensmisdrijven,2009,22275,43.1,2720,12.2
Kennemerland (PO),Vermogensmisdrijven,2010,23840,45.8,3280,13.8
Kennemerland (PO),Vermogensmisdrijven,2011*,23615,45.1,3155,13.4
Kennemerland (PO),Vernielingen/misdr.openb.orde,2005,7380,14.7,1020,13.8
Kennemerland (PO),Vernielingen/misdr.openb.orde,2006,7355,14.5,1180,16
Kennemerland (PO),Vernielingen/misdr.openb.orde,2007,7415,14.5,1085,14.6
Kennemerland (PO),Vernielingen/misdr.openb.orde,2008,6850,13.3,955,14
Kennemerland (PO),Vernielingen/misdr.openb.orde,2009,6710,13,1225,18.3
Kennemerland (PO),Vernielingen/misdr.openb.orde,2010,6300,12.1,1320,20.9
Kennemerland (PO),Vernielingen/misdr.openb.orde,2011*,5965,11.4,1180,19.8
Kennemerland (PO),Gewelds- en seksuele misdrijven,2005,3495,7,1875,53.6
Kennemerland (PO),Gewelds- en seksuele misdrijven,2006,3615,7.1,1990,55.1
Kennemerland (PO),Gewelds- en seksuele misdrijven,2007,3760,7.4,2125,56.5
Kennemerland (PO),Gewelds- en seksuele misdrijven,2008,3280,6.4,1815,55.3
Kennemerland (PO),Gewelds- en seksuele misdrijven,2009,3445,6.7,2180,63.3
Kennemerland (PO),Gewelds- en seksuele misdrijven,2010,3175,6.1,2260,71.1
Kennemerland (PO),Gewelds- en seksuele misdrijven,2011*,2980,5.7,2085,69.9
Amsterdam-Amstelland (PO),Totaal,2005,118230,130,34445,29.1
Amsterdam-Amstelland (PO),Totaal,2006,117165,128.8,34355,29.3
Amsterdam-Amstelland (PO),Totaal,2007,114425,125.6,32805,28.7
Amsterdam-Amstelland (PO),Totaal,2008,111925,122.1,32230,28.8
Amsterdam-Amstelland (PO),Totaal,2009,110555,119.1,30800,27.9
Amsterdam-Amstelland (PO),Totaal,2010,109985,116.6,27835,25.3
Amsterdam-Amstelland (PO),Totaal,2011*,112225,117.1,27770,24.7
Amsterdam-Amstelland (PO),Vermogensmisdrijven,2005,83005,91.3,14840,17.9
Amsterdam-Amstelland (PO),Vermogensmisdrijven,2006,80855,88.9,13650,16.9
Amsterdam-Amstelland (PO),Vermogensmisdrijven,2007,76575,84.1,11405,14.9
Amsterdam-Amstelland (PO),Vermogensmisdrijven,2008,74700,81.5,11515,15.4
Amsterdam-Amstelland (PO),Vermogensmisdrijven,2009,75170,81,10985,14.6
Amsterdam-Amstelland (PO),Vermogensmisdrijven,2010,75990,80.6,10160,13.4
Amsterdam-Amstelland (PO),Vermogensmisdrijven,2011*,77755,81.2,10440,13.4
Amsterdam-Amstelland (PO),Vernielingen/misdr.openb.orde,2005,13730,15.1,4200,30.6
Amsterdam-Amstelland (PO),Vernielingen/misdr.openb.orde,2006,14190,15.6,4445,31.3
Amsterdam-Amstelland (PO),Vernielingen/misdr.openb.orde,2007,14505,15.9,4325,29.8
Amsterdam-Amstelland (PO),Vernielingen/misdr.openb.orde,2008,14160,15.4,4045,28.6
Amsterdam-Amstelland (PO),Vernielingen/misdr.openb.orde,2009,12155,13.1,3865,31.8
Amsterdam-Amstelland (PO),Vernielingen/misdr.openb.orde,2010,12085,12.8,4320,35.7
Amsterdam-Amstelland (PO),Vernielingen/misdr.openb.orde,2011*,11500,12,4055,35.3
Amsterdam-Amstelland (PO),Gewelds- en seksuele misdrijven,2005,9470,10.4,7180,75.8
Amsterdam-Amstelland (PO),Gewelds- en seksuele misdrijven,2006,9120,10,6920,75.9
Amsterdam-Amstelland (PO),Gewelds- en seksuele misdrijven,2007,10005,11,7415,74.1
Amsterdam-Amstelland (PO),Gewelds- en seksuele misdrijven,2008,9745,10.6,7170,73.6
Amsterdam-Amstelland (PO),Gewelds- en seksuele misdrijven,2009,10110,10.9,6805,67.3
Amsterdam-Amstelland (PO),Gewelds- en seksuele misdrijven,2010,10080,10.7,6425,63.7
Amsterdam-Amstelland (PO),Gewelds- en seksuele misdrijven,2011*,10240,10.7,6090,59.5
Gooi en Vechtstreek (PO),Totaal,2005,19305,79.6,4455,23.1
Gooi en Vechtstreek (PO),Totaal,2006,19265,79.7,4400,22.8
Gooi en Vechtstreek (PO),Totaal,2007,19705,81.4,4320,21.9
Gooi en Vechtstreek (PO),Totaal,2008,19635,81.1,3915,20
Gooi en Vechtstreek (PO),Totaal,2009,18000,73.9,3755,20.9
Gooi en Vechtstreek (PO),Totaal,2010,18365,75.4,3605,19.6
Gooi en Vechtstreek (PO),Totaal,2011*,17480,71.5,3525,20.2
Gooi en Vechtstreek (PO),Vermogensmisdrijven,2005,10690,44.1,1085,10.2
Gooi en Vechtstreek (PO),Vermogensmisdrijven,2006,10925,45.2,1085,9.9
Gooi en Vechtstreek (PO),Vermogensmisdrijven,2007,11200,46.3,965,8.6
Gooi en Vechtstreek (PO),Vermogensmisdrijven,2008,11490,47.5,945,8.2
Gooi en Vechtstreek (PO),Vermogensmisdrijven,2009,10975,45.1,1080,9.9
Gooi en Vechtstreek (PO),Vermogensmisdrijven,2010,11745,48.2,1010,8.6
Gooi en Vechtstreek (PO),Vermogensmisdrijven,2011*,10895,44.6,950,8.7
Gooi en Vechtstreek (PO),Vernielingen/misdr.openb.orde,2005,3440,14.2,350,10.2
Gooi en Vechtstreek (PO),Vernielingen/misdr.openb.orde,2006,3425,14.2,450,13.1
Gooi en Vechtstreek (PO),Vernielingen/misdr.openb.orde,2007,3535,14.6,435,12.3
Gooi en Vechtstreek (PO),Vernielingen/misdr.openb.orde,2008,3565,14.7,390,10.9
Gooi en Vechtstreek (PO),Vernielingen/misdr.openb.orde,2009,3135,12.9,465,14.8
Gooi en Vechtstreek (PO),Vernielingen/misdr.openb.orde,2010,2765,11.3,485,17.5
Gooi en Vechtstreek (PO),Vernielingen/misdr.openb.orde,2011*,2650,10.8,400,15.1
Gooi en Vechtstreek (PO),Gewelds- en seksuele misdrijven,2005,1610,6.6,905,56.3
Gooi en Vechtstreek (PO),Gewelds- en seksuele misdrijven,2006,1585,6.6,910,57.5
Gooi en Vechtstreek (PO),Gewelds- en seksuele misdrijven,2007,1560,6.5,985,63.2
Gooi en Vechtstreek (PO),Gewelds- en seksuele misdrijven,2008,1530,6.3,930,60.8
Gooi en Vechtstreek (PO),Gewelds- en seksuele misdrijven,2009,1485,6.1,900,60.8
Gooi en Vechtstreek (PO),Gewelds- en seksuele misdrijven,2010,1280,5.3,795,62.1
Gooi en Vechtstreek (PO),Gewelds- en seksuele misdrijven,2011*,1320,5.4,895,67.7
Haaglanden (PO),Totaal,2005,86720,88.1,23720,27.4
Haaglanden (PO),Totaal,2006,81205,81.9,24050,29.6
Haaglanden (PO),Totaal,2007,83425,84.1,23070,27.7
Haaglanden (PO),Totaal,2008,85670,85.9,23075,26.9
Haaglanden (PO),Totaal,2009,82370,81.8,16850,20.5
Haaglanden (PO),Totaal,2010,96150,94.5,27755,28.9
Haaglanden (PO),Totaal,2011*,94825,92.4,26420,27.9
Haaglanden (PO),Vermogensmisdrijven,2005,53860,54.7,7160,13.3
Haaglanden (PO),Vermogensmisdrijven,2006,47655,48.1,6845,14.4
Haaglanden (PO),Vermogensmisdrijven,2007,50155,50.6,6370,12.7
Haaglanden (PO),Vermogensmisdrijven,2008,53010,53.2,6790,12.8
Haaglanden (PO),Vermogensmisdrijven,2009,50800,50.4,4800,9.4
Haaglanden (PO),Vermogensmisdrijven,2010,56260,55.3,9255,16.5
Haaglanden (PO),Vermogensmisdrijven,2011*,56285,54.8,8780,15.6
Haaglanden (PO),Vernielingen/misdr.openb.orde,2005,12305,12.5,2530,20.5
Haaglanden (PO),Vernielingen/misdr.openb.orde,2006,12780,12.9,2525,19.8
Haaglanden (PO),Vernielingen/misdr.openb.orde,2007,13520,13.6,2420,17.9
Haaglanden (PO),Vernielingen/misdr.openb.orde,2008,13140,13.2,2270,17.3
Haaglanden (PO),Vernielingen/misdr.openb.orde,2009,12045,12,1675,13.9
Haaglanden (PO),Vernielingen/misdr.openb.orde,2010,13345,13.1,3305,24.8
Haaglanden (PO),Vernielingen/misdr.openb.orde,2011*,12685,12.4,2930,23.1
Haaglanden (PO),Gewelds- en seksuele misdrijven,2005,7190,7.3,5020,69.8
Haaglanden (PO),Gewelds- en seksuele misdrijven,2006,6900,7,4985,72.3
Haaglanden (PO),Gewelds- en seksuele misdrijven,2007,7235,7.3,5095,70.4
Haaglanden (PO),Gewelds- en seksuele misdrijven,2008,7295,7.3,5000,68.5
Haaglanden (PO),Gewelds- en seksuele misdrijven,2009,7495,7.4,3840,51.2
Haaglanden (PO),Gewelds- en seksuele misdrijven,2010,8955,8.8,5745,64.2
Haaglanden (PO),Gewelds- en seksuele misdrijven,2011*,8540,8.3,5550,65
Hollands Midden (PO),Totaal,2005,55285,73.1,12385,22.4
Hollands Midden (PO),Totaal,2006,54220,71.7,12470,23
Hollands Midden (PO),Totaal,2007,54920,72.7,12500,22.8
Hollands Midden (PO),Totaal,2008,52930,70,11195,21.2
Hollands Midden (PO),Totaal,2009,50900,67.1,11625,22.8
Hollands Midden (PO),Totaal,2010,47080,61.9,11635,24.7
Hollands Midden (PO),Totaal,2011*,47525,62.2,11380,23.9
Hollands Midden (PO),Vermogensmisdrijven,2005,32895,43.5,3385,10.3
Hollands Midden (PO),Vermogensmisdrijven,2006,29620,39.1,3285,11.1
Hollands Midden (PO),Vermogensmisdrijven,2007,28585,37.8,2995,10.5
Hollands Midden (PO),Vermogensmisdrijven,2008,28560,37.7,2980,10.4
Hollands Midden (PO),Vermogensmisdrijven,2009,28825,38,3425,11.9
Hollands Midden (PO),Vermogensmisdrijven,2010,27365,36,3540,12.9
Hollands Midden (PO),Vermogensmisdrijven,2011*,28100,36.8,3455,12.3
Hollands Midden (PO),Vernielingen/misdr.openb.orde,2005,10840,14.3,1435,13.2
Hollands Midden (PO),Vernielingen/misdr.openb.orde,2006,10610,14,1570,14.8
Hollands Midden (PO),Vernielingen/misdr.openb.orde,2007,11690,15.5,1785,15.3
Hollands Midden (PO),Vernielingen/misdr.openb.orde,2008,10585,14,1370,12.9
Hollands Midden (PO),Vernielingen/misdr.openb.orde,2009,9515,12.5,1670,17.6
Hollands Midden (PO),Vernielingen/misdr.openb.orde,2010,8345,11,1765,21.1
Hollands Midden (PO),Vernielingen/misdr.openb.orde,2011*,7745,10.1,1470,19
Hollands Midden (PO),Gewelds- en seksuele misdrijven,2005,5130,6.8,2985,58.2
Hollands Midden (PO),Gewelds- en seksuele misdrijven,2006,5415,7.2,3355,62
Hollands Midden (PO),Gewelds- en seksuele misdrijven,2007,5675,7.5,3390,59.7
Hollands Midden (PO),Gewelds- en seksuele misdrijven,2008,5210,6.9,2985,57.2
Hollands Midden (PO),Gewelds- en seksuele misdrijven,2009,4865,6.4,3105,63.9
Hollands Midden (PO),Gewelds- en seksuele misdrijven,2010,4460,5.9,3070,68.8
Hollands Midden (PO),Gewelds- en seksuele misdrijven,2011*,4195,5.5,2900,69.1
Rotterdam-Rijnmond (PO),Totaal,2005,130290,105.1,34755,26.7
Rotterdam-Rijnmond (PO),Totaal,2006,124785,101.1,32490,26
Rotterdam-Rijnmond (PO),Totaal,2007,122140,99.3,32340,26.5
Rotterdam-Rijnmond (PO),Totaal,2008,124095,100.8,30880,24.9
Rotterdam-Rijnmond (PO),Totaal,2009,120550,97.4,28980,24
Rotterdam-Rijnmond (PO),Totaal,2010,107005,85.7,27235,25.5
Rotterdam-Rijnmond (PO),Totaal,2011*,113735,90.5,29000,25.5
Rotterdam-Rijnmond (PO),Vermogensmisdrijven,2005,75530,60.9,11305,15
Rotterdam-Rijnmond (PO),Vermogensmisdrijven,2006,69480,56.3,9300,13.4
Rotterdam-Rijnmond (PO),Vermogensmisdrijven,2007,64795,52.7,8225,12.7
Rotterdam-Rijnmond (PO),Vermogensmisdrijven,2008,68340,55.5,8340,12.2
Rotterdam-Rijnmond (PO),Vermogensmisdrijven,2009,65875,53.2,8030,12.2
Rotterdam-Rijnmond (PO),Vermogensmisdrijven,2010,61995,49.7,8065,13
Rotterdam-Rijnmond (PO),Vermogensmisdrijven,2011*,63605,50.6,8610,13.5
Rotterdam-Rijnmond (PO),Vernielingen/misdr.openb.orde,2005,19745,15.9,4515,22.9
Rotterdam-Rijnmond (PO),Vernielingen/misdr.openb.orde,2006,20525,16.6,4105,20
Rotterdam-Rijnmond (PO),Vernielingen/misdr.openb.orde,2007,22060,17.9,4370,19.8
Rotterdam-Rijnmond (PO),Vernielingen/misdr.openb.orde,2008,21090,17.1,3935,18.7
Rotterdam-Rijnmond (PO),Vernielingen/misdr.openb.orde,2009,20845,16.8,3420,16.4
Rotterdam-Rijnmond (PO),Vernielingen/misdr.openb.orde,2010,12265,9.8,2875,23.4
Rotterdam-Rijnmond (PO),Vernielingen/misdr.openb.orde,2011*,16430,13.1,2885,17.6
Rotterdam-Rijnmond (PO),Gewelds- en seksuele misdrijven,2005,12445,10,7300,58.7
Rotterdam-Rijnmond (PO),Gewelds- en seksuele misdrijven,2006,12425,10.1,7640,61.5
Rotterdam-Rijnmond (PO),Gewelds- en seksuele misdrijven,2007,12265,10,7840,63.9
Rotterdam-Rijnmond (PO),Gewelds- en seksuele misdrijven,2008,12110,9.8,7350,60.7
Rotterdam-Rijnmond (PO),Gewelds- en seksuele misdrijven,2009,11675,9.4,6475,55.5
Rotterdam-Rijnmond (PO),Gewelds- en seksuele misdrijven,2010,11020,8.8,6205,56.3
Rotterdam-Rijnmond (PO),Gewelds- en seksuele misdrijven,2011*,11280,9,6645,58.9
Zuid-Holland-Zuid (PO),Totaal,2005,30195,63.3,9495,31.4
Zuid-Holland-Zuid (PO),Totaal,2006,29815,62.5,9045,30.3
Zuid-Holland-Zuid (PO),Totaal,2007,29705,62.3,8850,29.8
Zuid-Holland-Zuid (PO),Totaal,2008,28370,59.5,8135,28.7
Zuid-Holland-Zuid (PO),Totaal,2009,27465,57.4,7410,27
Zuid-Holland-Zuid (PO),Totaal,2010,25995,54.2,7970,30.7
Zuid-Holland-Zuid (PO),Totaal,2011*,27430,57,7785,28.4
Zuid-Holland-Zuid (PO),Vermogensmisdrijven,2005,15350,32.2,2685,17.5
Zuid-Holland-Zuid (PO),Vermogensmisdrijven,2006,14300,30,2490,17.4
Zuid-Holland-Zuid (PO),Vermogensmisdrijven,2007,13800,28.9,2340,16.9
Zuid-Holland-Zuid (PO),Vermogensmisdrijven,2008,13325,28,2325,17.5
Zuid-Holland-Zuid (PO),Vermogensmisdrijven,2009,13650,28.6,2175,15.9
Zuid-Holland-Zuid (PO),Vermogensmisdrijven,2010,12845,26.8,2210,17.2
Zuid-Holland-Zuid (PO),Vermogensmisdrijven,2011*,13765,28.6,2270,16.5
Zuid-Holland-Zuid (PO),Vernielingen/misdr.openb.orde,2005,6050,12.7,1190,19.7
Zuid-Holland-Zuid (PO),Vernielingen/misdr.openb.orde,2006,6625,13.9,1165,17.6
Zuid-Holland-Zuid (PO),Vernielingen/misdr.openb.orde,2007,6875,14.4,1200,17.4
Zuid-Holland-Zuid (PO),Vernielingen/misdr.openb.orde,2008,6635,13.9,945,14.2
Zuid-Holland-Zuid (PO),Vernielingen/misdr.openb.orde,2009,5770,12.1,975,16.9
Zuid-Holland-Zuid (PO),Vernielingen/misdr.openb.orde,2010,5030,10.5,1020,20.3
Zuid-Holland-Zuid (PO),Vernielingen/misdr.openb.orde,2011*,5145,10.7,1050,20.4
Zuid-Holland-Zuid (PO),Gewelds- en seksuele misdrijven,2005,3025,6.3,2170,71.7
Zuid-Holland-Zuid (PO),Gewelds- en seksuele misdrijven,2006,3235,6.8,2190,67.7
Zuid-Holland-Zuid (PO),Gewelds- en seksuele misdrijven,2007,3085,6.5,2005,65
Zuid-Holland-Zuid (PO),Gewelds- en seksuele misdrijven,2008,2840,6,1860,65.5
Zuid-Holland-Zuid (PO),Gewelds- en seksuele misdrijven,2009,2685,5.6,1695,63.1
Zuid-Holland-Zuid (PO),Gewelds- en seksuele misdrijven,2010,2670,5.6,1900,71.2
Zuid-Holland-Zuid (PO),Gewelds- en seksuele misdrijven,2011*,2755,5.7,1855,67.3
Zeeland (PO),Totaal,2005,22810,60,8250,36.2
Zeeland (PO),Totaal,2006,22315,58.7,7200,32.3
Zeeland (PO),Totaal,2007,23665,62.2,7775,32.9
Zeeland (PO),Totaal,2008,23830,62.6,6785,28.5
Zeeland (PO),Totaal,2009,23780,62.4,7560,31.8
Zeeland (PO),Totaal,2010,22340,58.6,6490,29.1
Zeeland (PO),Totaal,2011*,22120,58,6460,29.2
Zeeland (PO),Vermogensmisdrijven,2005,10940,28.8,1835,16.8
Zeeland (PO),Vermogensmisdrijven,2006,10335,27.2,1470,14.2
Zeeland (PO),Vermogensmisdrijven,2007,10965,28.8,1760,16
Zeeland (PO),Vermogensmisdrijven,2008,11305,29.7,1500,13.3
Zeeland (PO),Vermogensmisdrijven,2009,11105,29.1,1615,14.5
Zeeland (PO),Vermogensmisdrijven,2010,11315,29.7,1595,14.1
Zeeland (PO),Vermogensmisdrijven,2011*,11255,29.5,1610,14.3
Zeeland (PO),Vernielingen/misdr.openb.orde,2005,4630,12.2,1020,22
Zeeland (PO),Vernielingen/misdr.openb.orde,2006,5010,13.2,905,18.1
Zeeland (PO),Vernielingen/misdr.openb.orde,2007,5020,13.2,955,19.1
Zeeland (PO),Vernielingen/misdr.openb.orde,2008,5345,14,850,15.9
Zeeland (PO),Vernielingen/misdr.openb.orde,2009,5285,13.9,1060,20
Zeeland (PO),Vernielingen/misdr.openb.orde,2010,4430,11.6,800,18.1
Zeeland (PO),Vernielingen/misdr.openb.orde,2011*,4335,11.4,775,17.9
Zeeland (PO),Gewelds- en seksuele misdrijven,2005,2530,6.7,1825,72.1
Zeeland (PO),Gewelds- en seksuele misdrijven,2006,2390,6.3,1520,63.7
Zeeland (PO),Gewelds- en seksuele misdrijven,2007,2580,6.8,1760,68.3
Zeeland (PO),Gewelds- en seksuele misdrijven,2008,2550,6.7,1620,63.5
Zeeland (PO),Gewelds- en seksuele misdrijven,2009,2545,6.7,1790,70.4
Zeeland (PO),Gewelds- en seksuele misdrijven,2010,2295,6,1635,71.3
Zeeland (PO),Gewelds- en seksuele misdrijven,2011*,2515,6.6,1790,71.2
Midden- en West-Brabant (PO),Totaal,2005,91795,86.8,24170,26.3
Midden- en West-Brabant (PO),Totaal,2006,87950,83,23225,26.4
Midden- en West-Brabant (PO),Totaal,2007,89130,84,21335,23.9
Midden- en West-Brabant (PO),Totaal,2008,85355,80.2,19980,23.4
Midden- en West-Brabant (PO),Totaal,2009,86995,81.4,20180,23.2
Midden- en West-Brabant (PO),Totaal,2010,79140,73.8,18285,23.1
Midden- en West-Brabant (PO),Totaal,2011*,77705,72.2,15140,19.5
Midden- en West-Brabant (PO),Vermogensmisdrijven,2005,53490,50.6,6735,12.6
Midden- en West-Brabant (PO),Vermogensmisdrijven,2006,48465,45.7,5740,11.8
Midden- en West-Brabant (PO),Vermogensmisdrijven,2007,48700,45.9,5320,10.9
Midden- en West-Brabant (PO),Vermogensmisdrijven,2008,46320,43.5,5065,10.9
Midden- en West-Brabant (PO),Vermogensmisdrijven,2009,49690,46.5,5580,11.2
Midden- en West-Brabant (PO),Vermogensmisdrijven,2010,45465,42.4,5400,11.9
Midden- en West-Brabant (PO),Vermogensmisdrijven,2011*,45545,42.3,4465,9.8
Midden- en West-Brabant (PO),Vernielingen/misdr.openb.orde,2005,15515,14.7,2525,16.3
Midden- en West-Brabant (PO),Vernielingen/misdr.openb.orde,2006,16080,15.2,2515,15.6
Midden- en West-Brabant (PO),Vernielingen/misdr.openb.orde,2007,16770,15.8,2565,15.3
Midden- en West-Brabant (PO),Vernielingen/misdr.openb.orde,2008,16055,15.1,2425,15.1
Midden- en West-Brabant (PO),Vernielingen/misdr.openb.orde,2009,14770,13.8,2615,17.7
Midden- en West-Brabant (PO),Vernielingen/misdr.openb.orde,2010,12220,11.4,2345,19.2
Midden- en West-Brabant (PO),Vernielingen/misdr.openb.orde,2011*,11955,11.1,1840,15.4
Midden- en West-Brabant (PO),Gewelds- en seksuele misdrijven,2005,8645,8.2,5200,60.1
Midden- en West-Brabant (PO),Gewelds- en seksuele misdrijven,2006,9060,8.5,5405,59.7
Midden- en West-Brabant (PO),Gewelds- en seksuele misdrijven,2007,8845,8.3,5170,58.4
Midden- en West-Brabant (PO),Gewelds- en seksuele misdrijven,2008,8380,7.9,4780,57
Midden- en West-Brabant (PO),Gewelds- en seksuele misdrijven,2009,8005,7.5,5110,63.8
Midden- en West-Brabant (PO),Gewelds- en seksuele misdrijven,2010,7315,6.8,4555,62.2
Midden- en West-Brabant (PO),Gewelds- en seksuele misdrijven,2011*,7105,6.6,3800,53.5
Brabant-Noord (PO),Totaal,2005,50745,80.9,10945,21.6
Brabant-Noord (PO),Totaal,2006,46650,74.2,10850,23.3
Brabant-Noord (PO),Totaal,2007,46710,74.2,10610,22.7
Brabant-Noord (PO),Totaal,2008,43980,69.7,9990,22.7
Brabant-Noord (PO),Totaal,2009,43530,68.7,10410,23.9
Brabant-Noord (PO),Totaal,2010,42005,65.9,9235,22
Brabant-Noord (PO),Totaal,2011*,40490,63.3,8195,20.2
Brabant-Noord (PO),Vermogensmisdrijven,2005,31295,49.9,3060,9.8
Brabant-Noord (PO),Vermogensmisdrijven,2006,26380,42,2755,10.5
Brabant-Noord (PO),Vermogensmisdrijven,2007,26620,42.3,2680,10.1
Brabant-Noord (PO),Vermogensmisdrijven,2008,25045,39.7,2575,10.3
Brabant-Noord (PO),Vermogensmisdrijven,2009,25620,40.4,2855,11.1
Brabant-Noord (PO),Vermogensmisdrijven,2010,25150,39.5,2640,10.5
Brabant-Noord (PO),Vermogensmisdrijven,2011*,24865,38.9,2505,10.1
Brabant-Noord (PO),Vernielingen/misdr.openb.orde,2005,8400,13.4,1490,17.7
Brabant-Noord (PO),Vernielingen/misdr.openb.orde,2006,8855,14.1,1580,17.9
Brabant-Noord (PO),Vernielingen/misdr.openb.orde,2007,8585,13.6,1340,15.6
Brabant-Noord (PO),Vernielingen/misdr.openb.orde,2008,8380,13.3,1400,16.7
Brabant-Noord (PO),Vernielingen/misdr.openb.orde,2009,7490,11.8,1495,19.9
Brabant-Noord (PO),Vernielingen/misdr.openb.orde,2010,6805,10.7,1235,18.2
Brabant-Noord (PO),Vernielingen/misdr.openb.orde,2011*,6170,9.6,980,15.8
Brabant-Noord (PO),Gewelds- en seksuele misdrijven,2005,4060,6.5,2575,63.5
Brabant-Noord (PO),Gewelds- en seksuele misdrijven,2006,4325,6.9,2790,64.6
Brabant-Noord (PO),Gewelds- en seksuele misdrijven,2007,4300,6.8,2765,64.2
Brabant-Noord (PO),Gewelds- en seksuele misdrijven,2008,3855,6.1,2615,67.8
Brabant-Noord (PO),Gewelds- en seksuele misdrijven,2009,4000,6.3,2800,70
Brabant-Noord (PO),Gewelds- en seksuele misdrijven,2010,3715,5.8,2460,66.1
Brabant-Noord (PO),Gewelds- en seksuele misdrijven,2011*,3340,5.2,2085,62.4
Brabant-Zuidoost (PO),Totaal,2005,62520,86.1,11885,19
Brabant-Zuidoost (PO),Totaal,2006,62195,85.5,12640,20.3
Brabant-Zuidoost (PO),Totaal,2007,61155,84,11975,19.6
Brabant-Zuidoost (PO),Totaal,2008,61945,84.9,11690,18.9
Brabant-Zuidoost (PO),Totaal,2009,60455,82.5,14600,24.2
Brabant-Zuidoost (PO),Totaal,2010,54240,73.8,12775,23.6
Brabant-Zuidoost (PO),Totaal,2011*,54680,74,12035,22
Brabant-Zuidoost (PO),Vermogensmisdrijven,2005,38435,52.9,3775,9.8
Brabant-Zuidoost (PO),Vermogensmisdrijven,2006,37225,51.2,3990,10.7
Brabant-Zuidoost (PO),Vermogensmisdrijven,2007,35630,48.9,3700,10.4
Brabant-Zuidoost (PO),Vermogensmisdrijven,2008,37265,51.1,3600,9.7
Brabant-Zuidoost (PO),Vermogensmisdrijven,2009,36510,49.8,4350,11.9
Brabant-Zuidoost (PO),Vermogensmisdrijven,2010,32915,44.8,4015,12.2
Brabant-Zuidoost (PO),Vermogensmisdrijven,2011*,33535,45.4,3680,11
Brabant-Zuidoost (PO),Vernielingen/misdr.openb.orde,2005,9775,13.5,1395,14.3
Brabant-Zuidoost (PO),Vernielingen/misdr.openb.orde,2006,9760,13.4,1330,13.6
Brabant-Zuidoost (PO),Vernielingen/misdr.openb.orde,2007,10085,13.9,1205,11.9
Brabant-Zuidoost (PO),Vernielingen/misdr.openb.orde,2008,9885,13.5,1400,14.2
Brabant-Zuidoost (PO),Vernielingen/misdr.openb.orde,2009,9825,13.4,2130,21.7
Brabant-Zuidoost (PO),Vernielingen/misdr.openb.orde,2010,7995,10.9,1505,18.8
Brabant-Zuidoost (PO),Vernielingen/misdr.openb.orde,2011*,7625,10.3,1415,18.6
Brabant-Zuidoost (PO),Gewelds- en seksuele misdrijven,2005,5650,7.8,2845,50.3
Brabant-Zuidoost (PO),Gewelds- en seksuele misdrijven,2006,6140,8.4,3080,50.2
Brabant-Zuidoost (PO),Gewelds- en seksuele misdrijven,2007,5965,8.2,3095,51.9
Brabant-Zuidoost (PO),Gewelds- en seksuele misdrijven,2008,5655,7.8,2935,51.9
Brabant-Zuidoost (PO),Gewelds- en seksuele misdrijven,2009,5405,7.4,3590,66.4
Brabant-Zuidoost (PO),Gewelds- en seksuele misdrijven,2010,4850,6.6,3140,64.8
Brabant-Zuidoost (PO),Gewelds- en seksuele misdrijven,2011*,4895,6.6,3090,63.1
Limburg-Noord (PO),Totaal,2005,42200,82.3,8280,19.6
Limburg-Noord (PO),Totaal,2006,40965,79.9,7790,19
Limburg-Noord (PO),Totaal,2007,39285,76.6,7790,19.8
Limburg-Noord (PO),Totaal,2008,36820,71.8,7280,19.8
Limburg-Noord (PO),Totaal,2009,34960,68.1,8430,24.1
Limburg-Noord (PO),Totaal,2010,34225,66.5,8610,25.2
Limburg-Noord (PO),Totaal,2011*,33260,64.5,7405,22.3
Limburg-Noord (PO),Vermogensmisdrijven,2005,25100,48.9,2460,9.8
Limburg-Noord (PO),Vermogensmisdrijven,2006,24380,47.6,2235,9.2
Limburg-Noord (PO),Vermogensmisdrijven,2007,21985,42.9,1950,8.9
