jaar,geslacht,leeftijd,aantalpatienten
2008,Totaal,45 tot 55,3.5
2008,Man,45 tot 55,4
2008,Vrouw,45 tot 55,2.9
2008,Totaal,55 tot 65,8.3
2008,Man,55 tot 65,9.2
2008,Vrouw,55 tot 65,7.5
2008,Totaal,65 tot 75,13.9
2008,Man,65 tot 75,14.2
2008,Vrouw,65 tot 75,13.7
2008,Totaal,75+,17.2
2008,Man,75+,17.1
2008,Vrouw,75+,17.3
2009,Totaal,Totaal,4.5
2009,Man,Totaal,4.5
2009,Vrouw,Totaal,4.5
2009,Totaal,0 tot 25,0.2
2009,Man,0 tot 25,0.2
2009,Vrouw,0 tot 25,0.2
2009,Totaal,25 tot 35,0.4
2009,Man,25 tot 35,0.4
2009,Vrouw,25 tot 35,0.4
2009,Totaal,35 tot 45,1.4
2009,Man,35 tot 45,1.6
2009,Vrouw,35 tot 45,1.2
2009,Totaal,45 tot 55,3.6
2009,Man,45 tot 55,4.2
2009,Vrouw,45 tot 55,3.1
2009,Totaal,55 tot 65,8.6
2009,Man,55 tot 65,9.8
2009,Vrouw,55 tot 65,7.5
2009,Totaal,65 tot 75,15
2009,Man,65 tot 75,15.3
2009,Vrouw,65 tot 75,14.7
2009,Totaal,75+,17.8
2009,Man,75+,17.7
2009,Vrouw,75+,17.9
