gender,age,year,prognosis
TOTAL,50-55,2026,1098369
Male,55-60,2026,615611
Female,55-60,2026,618666
TOTAL,55-60,2026,1234277
Male,60-65,2026,599994
Female,60-65,2026,605713
TOTAL,60-65,2026,1205707
Male,65-70,2026,529241
Female,65-70,2026,545584
TOTAL,65-70,2026,1074825
Male,70-75,2026,453099
Female,70-75,2026,480507
TOTAL,70-75,2026,933606
Male,75-80,2026,409603
Female,75-80,2026,455868
TOTAL,75-80,2026,865471
Male,80-85,2026,235827
Female,80-85,2026,291925
TOTAL,80-85,2026,527752
Male,85-90,2026,122553
Female,85-90,2026,184783
TOTAL,85-90,2026,307336
Male,90-95,2026,42957
Female,90-95,2026,87521
TOTAL,90-95,2026,130478
Male,95+,2026,9121
Female,95+,2026,29079
TOTAL,95+,2026,38200
Male,TOTAL,2026,8677687
Female,TOTAL,2026,8856295
TOTAL,TOTAL,2026,17533982
Male,00-05,2027,488391
Female,00-05,2027,465319
TOTAL,00-05,2027,953710
Male,05-10,2027,478378
Female,05-10,2027,455967
TOTAL,05-10,2027,934345
Male,10-15,2027,468055
Female,10-15,2027,446916
TOTAL,10-15,2027,914971
Male,15-20,2027,479266
Female,15-20,2027,458440
TOTAL,15-20,2027,937706
Male,20-25,2027,527380
Female,20-25,2027,514955
TOTAL,20-25,2027,1042334
Male,25-30,2027,564937
Female,25-30,2027,556065
TOTAL,25-30,2027,1121002
Male,30-35,2027,554700
Female,30-35,2027,547126
TOTAL,30-35,2027,1101826
Male,35-40,2027,548756
Female,35-40,2027,545885
TOTAL,35-40,2027,1094641
Male,40-45,2027,509919
Female,40-45,2027,512210
TOTAL,40-45,2027,1022130
Male,45-50,2027,501990
Female,45-50,2027,507480
TOTAL,45-50,2027,1009470
Male,50-55,2027,522291
Female,50-55,2027,530379
TOTAL,50-55,2027,1052670
Male,55-60,2027,611438
Female,55-60,2027,616333
TOTAL,55-60,2027,1227770
Male,60-65,2027,599761
Female,60-65,2027,604972
TOTAL,60-65,2027,1204733
Male,65-70,2027,537987
Female,65-70,2027,555187
TOTAL,65-70,2027,1093174
Male,70-75,2027,459325
Female,70-75,2027,487412
TOTAL,70-75,2027,946737
Male,75-80,2027,398692
Female,75-80,2027,443437
TOTAL,75-80,2027,842129
Male,80-85,2027,264596
Female,80-85,2027,324046
TOTAL,80-85,2027,588642
Male,85-90,2027,126978
Female,85-90,2027,188363
TOTAL,85-90,2027,315341
Male,90-95,2027,44842
Female,90-95,2027,89167
TOTAL,90-95,2027,134009
Male,95+,2027,9642
Female,95+,2027,29864
TOTAL,95+,2027,39506
Male,TOTAL,2027,8697323
Female,TOTAL,2027,8879523
TOTAL,TOTAL,2027,17576846
Male,00-05,2028,489686
Female,00-05,2028,466522
TOTAL,00-05,2028,956208
Male,05-10,2028,481378
Female,05-10,2028,458718
TOTAL,05-10,2028,940095
Male,10-15,2028,469716
Female,10-15,2028,448361
TOTAL,10-15,2028,918077
Male,15-20,2028,479060
Female,15-20,2028,457651
TOTAL,15-20,2028,936711
Male,20-25,2028,517518
Female,20-25,2028,506066
TOTAL,20-25,2028,1023584
Male,25-30,2028,569078
Female,25-30,2028,559233
TOTAL,25-30,2028,1128311
Male,30-35,2028,552283
Female,30-35,2028,545660
TOTAL,30-35,2028,1097944
Male,35-40,2028,552428
Female,35-40,2028,549955
TOTAL,35-40,2028,1102383
Male,40-45,2028,517361
Female,40-45,2028,518637
TOTAL,40-45,2028,1035997
Male,45-50,2028,502107
Female,45-50,2028,507441
TOTAL,45-50,2028,1009548
Male,50-55,2028,504537
Female,50-55,2028,511662
TOTAL,50-55,2028,1016199
Male,55-60,2028,601944
Female,55-60,2028,610039
TOTAL,55-60,2028,1211984
Male,60-65,2028,597830
Female,60-65,2028,602825
TOTAL,60-65,2028,1200655
Male,65-70,2028,546270
Female,65-70,2028,563697
TOTAL,65-70,2028,1109967
Male,70-75,2028,464061
Female,70-75,2028,493064
TOTAL,70-75,2028,957124
Male,75-80,2028,393634
Female,75-80,2028,436752
TOTAL,75-80,2028,830387
Male,80-85,2028,287114
Female,80-85,2028,350414
TOTAL,80-85,2028,637528
Male,85-90,2028,132543
Female,85-90,2028,193540
TOTAL,85-90,2028,326083
Male,90-95,2028,46586
Female,90-95,2028,90591
TOTAL,90-95,2028,137177
Male,95+,2028,10195
Female,95+,2028,30715
TOTAL,95+,2028,40910
Male,TOTAL,2028,8715328
Female,TOTAL,2028,8901542
TOTAL,TOTAL,2028,17616870
Male,00-05,2029,490647
Female,00-05,2029,467397
TOTAL,00-05,2029,958044
Male,05-10,2029,484106
Female,05-10,2029,461228
TOTAL,05-10,2029,945334
Male,10-15,2029,472017
Female,10-15,2029,450413
TOTAL,10-15,2029,922430
Male,15-20,2029,476833
Female,15-20,2029,455886
TOTAL,15-20,2029,932719
Male,20-25,2029,510289
Female,20-25,2029,498746
TOTAL,20-25,2029,1009035
Male,25-30,2029,569329
Female,25-30,2029,559350
TOTAL,25-30,2029,1128679
Male,30-35,2029,554153
Female,30-35,2029,547198
TOTAL,30-35,2029,1101350
Male,35-40,2029,555712
Female,35-40,2029,553356
TOTAL,35-40,2029,1109068
Male,40-45,2029,524849
Female,40-45,2029,525662
TOTAL,40-45,2029,1050511
Male,45-50,2029,500581
Female,45-50,2029,505759
TOTAL,45-50,2029,1006339
Male,50-55,2029,496146
Female,50-55,2029,503047
TOTAL,50-55,2029,999193
Male,55-60,2029,584007
Female,55-60,2029,593909
TOTAL,55-60,2029,1177916
Male,60-65,2029,594167
Female,60-65,2029,600523
TOTAL,60-65,2029,1194690
Male,65-70,2029,554871
Female,65-70,2029,571784
TOTAL,65-70,2029,1126655
Male,70-75,2029,471088
Female,70-75,2029,500646
TOTAL,70-75,2029,971734
Male,75-80,2029,391793
Female,75-80,2029,435113
TOTAL,75-80,2029,826907
Male,80-85,2029,301716
Female,80-85,2029,366811
TOTAL,80-85,2029,668527
Male,85-90,2029,139444
Female,85-90,2029,200649
TOTAL,85-90,2029,340093
Male,90-95,2029,49257
Female,90-95,2029,93557
TOTAL,90-95,2029,142814
Male,95+,2029,10623
Female,95+,2029,31211
TOTAL,95+,2029,41835
Male,TOTAL,2029,8731628
Female,TOTAL,2029,8922244
TOTAL,TOTAL,2029,17653872
Male,00-05,2030,491324
Female,00-05,2030,468017
TOTAL,00-05,2030,959341
Male,05-10,2030,486505
Female,05-10,2030,463430
TOTAL,05-10,2030,949935
Male,10-15,2030,474766
Female,10-15,2030,452880
TOTAL,10-15,2030,927646
Male,15-20,2030,474953
Female,15-20,2030,453792
TOTAL,15-20,2030,928745
Male,20-25,2030,506528
Female,20-25,2030,494850
TOTAL,20-25,2030,1001379
Male,25-30,2030,565108
Female,25-30,2030,556062
TOTAL,25-30,2030,1121170
Male,30-35,2030,556553
Female,30-35,2030,549164
TOTAL,30-35,2030,1105717
Male,35-40,2030,558472
Female,35-40,2030,555578
TOTAL,35-40,2030,1114050
Male,40-45,2030,530707
Female,40-45,2030,532042
TOTAL,40-45,2030,1062749
Male,45-50,2030,501833
Female,45-50,2030,506608
TOTAL,45-50,2030,1008442
Male,50-55,2030,491127
Female,50-55,2030,497817
TOTAL,50-55,2030,988944
Male,55-60,2030,557708
Female,55-60,2030,569012
TOTAL,55-60,2030,1126720
Male,60-65,2030,594272
Female,60-65,2030,601639
TOTAL,60-65,2030,1195911
Male,65-70,2030,562311
Female,65-70,2030,578745
TOTAL,65-70,2030,1141056
Male,70-75,2030,479314
Female,70-75,2030,509858
TOTAL,70-75,2030,989171
Male,75-80,2030,393496
Female,75-80,2030,437007
TOTAL,75-80,2030,830504
Male,80-85,2030,310951
Female,80-85,2030,377174
TOTAL,80-85,2030,688124
Male,85-90,2030,147335
Female,85-90,2030,209391
TOTAL,85-90,2030,356726
Male,90-95,2030,51855
Female,90-95,2030,96662
TOTAL,90-95,2030,148517
Male,95+,2030,11112
Female,95+,2030,31836
TOTAL,95+,2030,42948
Male,TOTAL,2030,8746229
Female,TOTAL,2030,8941565
TOTAL,TOTAL,2030,17687794
Male,00-05,2031,491692
Female,00-05,2031,468344
TOTAL,00-05,2031,960036
Male,05-10,2031,488528
Female,05-10,2031,465290
TOTAL,05-10,2031,953818
Male,10-15,2031,477804
Female,10-15,2031,455631
TOTAL,10-15,2031,933435
Male,15-20,2031,474477
Female,15-20,2031,453266
TOTAL,15-20,2031,927743
Male,20-25,2031,504423
Female,20-25,2031,492796
TOTAL,20-25,2031,997220
Male,25-30,2031,556427
Female,25-30,2031,547092
TOTAL,25-30,2031,1103519
Male,30-35,2031,563119
Female,30-35,2031,556046
TOTAL,30-35,2031,1119165
Male,35-40,2031,554746
Female,35-40,2031,552339
TOTAL,35-40,2031,1107085
Male,40-45,2031,539371
Female,40-45,2031,539873
TOTAL,40-45,2031,1079244
Male,45-50,2031,501675
Female,45-50,2031,506458
TOTAL,45-50,2031,1008134
Male,50-55,2031,493027
Female,50-55,2031,499525
TOTAL,50-55,2031,992552
Male,55-60,2031,530811
Female,55-60,2031,542755
TOTAL,55-60,2031,1073566
Male,60-65,2031,593144
Female,60-65,2031,602578
TOTAL,60-65,2031,1195723
Male,65-70,2031,567069
Female,65-70,2031,582988
TOTAL,65-70,2031,1150056
Male,70-75,2031,487538
Female,70-75,2031,517743
TOTAL,70-75,2031,1005281
Male,75-80,2031,396844
Female,75-80,2031,441680
TOTAL,75-80,2031,838525
Male,80-85,2031,319961
Female,80-85,2031,388163
TOTAL,80-85,2031,708124
Male,85-90,2031,152027
Female,85-90,2031,214201
TOTAL,85-90,2031,366228
Male,90-95,2031,54789
Female,90-95,2031,100215
TOTAL,90-95,2031,155003
Male,95+,2031,11623
Female,95+,2031,32438
TOTAL,95+,2031,44061
Male,TOTAL,2031,8759095
Female,TOTAL,2031,8959421
TOTAL,TOTAL,2031,17718516
Male,00-05,2032,491763
Female,00-05,2032,468383
TOTAL,00-05,2032,960146
Male,05-10,2032,490224
Female,05-10,2032,466849
TOTAL,05-10,2032,957074
Male,10-15,2032,480879
Female,10-15,2032,458444
TOTAL,10-15,2032,939323
Male,15-20,2032,475184
Female,15-20,2032,453820
TOTAL,15-20,2032,929004
Male,20-25,2032,502569
Female,20-25,2032,491284
TOTAL,20-25,2032,993853
Male,25-30,2032,548229
Female,25-30,2032,538698
TOTAL,25-30,2032,1086926
Male,30-35,2032,568000
Female,30-35,2032,561880
TOTAL,30-35,2032,1129880
Male,35-40,2032,551572
Female,35-40,2032,548067
TOTAL,35-40,2032,1099640
Male,40-45,2032,545393
Female,40-45,2032,545387
TOTAL,40-45,2032,1090780
Male,45-50,2032,505487
Female,45-50,2032,509925
TOTAL,45-50,2032,1015412
Male,50-55,2032,493665
Female,50-55,2032,501555
TOTAL,50-55,2032,995220
Male,55-60,2032,508874
Female,55-60,2032,520385
TOTAL,55-60,2032,1029258
Male,60-65,2032,589316
Female,60-65,2032,600386
TOTAL,60-65,2032,1189702
Male,65-70,2032,567023
Female,65-70,2032,582416
TOTAL,65-70,2032,1149440
Male,70-75,2032,495909
Female,70-75,2032,527084
TOTAL,70-75,2032,1022993
Male,75-80,2032,402687
Female,75-80,2032,448257
TOTAL,75-80,2032,850944
Male,80-85,2032,312232
Female,80-85,2032,378111
TOTAL,80-85,2032,690342
Male,85-90,2032,172128
Female,85-90,2032,239303
TOTAL,85-90,2032,411431
Male,90-95,2032,56903
Female,90-95,2032,102279
TOTAL,90-95,2032,159183
Male,95+,2032,12190
Female,95+,2032,33169
TOTAL,95+,2032,45359
Male,TOTAL,2032,8770227
Female,TOTAL,2032,8975682
TOTAL,TOTAL,2032,17745908
Male,00-05,2033,491431
Female,00-05,2033,468039
TOTAL,00-05,2033,959470
Male,05-10,2033,491557
Female,05-10,2033,468070
TOTAL,05-10,2033,959627
Male,10-15,2033,483876
Female,10-15,2033,461186
TOTAL,10-15,2033,945062
Male,15-20,2033,476845
Female,15-20,2033,455266
TOTAL,15-20,2033,932111
Male,20-25,2033,502492
Female,20-25,2033,490645
TOTAL,20-25,2033,993137
Male,25-30,2033,538726
Female,25-30,2033,530183
TOTAL,25-30,2033,1068910
Male,30-35,2033,572156
Female,30-35,2033,565131
TOTAL,30-35,2033,1137286
Male,35-40,2033,549357
Female,35-40,2033,546751
TOTAL,35-40,2033,1096108
Male,40-45,2033,548974
Female,40-45,2033,549449
TOTAL,40-45,2033,1098422
Male,45-50,2033,512838
Female,45-50,2033,516287
TOTAL,45-50,2033,1029125
Male,50-55,2033,493760
Female,50-55,2033,501479
TOTAL,50-55,2033,995239
Male,55-60,2033,491758
Female,55-60,2033,502151
TOTAL,55-60,2033,993908
Male,60-65,2033,580317
Female,60-65,2033,594317
TOTAL,60-65,2033,1174634
Male,65-70,2033,565419
Female,65-70,2033,580524
TOTAL,65-70,2033,1145943
Male,70-75,2033,503793
Female,70-75,2033,535349
TOTAL,70-75,2033,1039142
Male,75-80,2033,407314
Female,75-80,2033,453755
TOTAL,75-80,2033,861069
Male,80-85,2033,309204
Female,80-85,2033,373122
TOTAL,80-85,2033,682326
Male,85-90,2033,187459
Female,85-90,2033,259409
TOTAL,85-90,2033,446868
Male,90-95,2033,59595
Female,90-95,2033,105290
TOTAL,90-95,2033,164885
Male,95+,2033,12718
Female,95+,2033,33839
TOTAL,95+,2033,46557
Male,TOTAL,2033,8779586
Female,TOTAL,2033,8990243
TOTAL,TOTAL,2033,17769828
Male,00-05,2034,490671
Female,00-05,2034,467293
TOTAL,00-05,2034,957965
Male,05-10,2034,492547
Female,05-10,2034,468968
TOTAL,05-10,2034,961515
Male,10-15,2034,486610
Female,10-15,2034,463686
TOTAL,10-15,2034,950296
Male,15-20,2034,479132
Female,15-20,2034,457315
TOTAL,15-20,2034,936448
Male,20-25,2034,500479
Female,20-25,2034,489078
TOTAL,20-25,2034,989557
Male,25-30,2034,531826
Female,25-30,2034,523242
TOTAL,25-30,2034,1055068
Male,30-35,2034,572523
Female,30-35,2034,565386
TOTAL,30-35,2034,1137909
Male,35-40,2034,551270
Female,35-40,2034,548388
TOTAL,35-40,2034,1099658
Male,40-45,2034,552242
Female,40-45,2034,552886
TOTAL,40-45,2034,1105127
Male,45-50,2034,520221
Female,45-50,2034,523240
TOTAL,45-50,2034,1043460
Male,50-55,2034,492281
Female,50-55,2034,499815
TOTAL,50-55,2034,992096
Male,55-60,2034,483698
Female,55-60,2034,493772
TOTAL,55-60,2034,977471
Male,60-65,2034,563195
Female,60-65,2034,578691
TOTAL,60-65,2034,1141886
Male,65-70,2034,562193
Female,65-70,2034,578470
TOTAL,65-70,2034,1140663
Male,70-75,2034,512000
Female,70-75,2034,543223
TOTAL,70-75,2034,1055223
Male,75-80,2034,413898
Female,75-80,2034,461014
TOTAL,75-80,2034,874913
Male,80-85,2034,308528
Female,80-85,2034,372274
TOTAL,80-85,2034,680802
Male,85-90,2034,197224
Female,85-90,2034,271586
TOTAL,85-90,2034,468810
Male,90-95,2034,63162
Female,90-95,2034,109732
TOTAL,90-95,2034,172894
Male,95+,2034,13486
Female,95+,2034,34979
TOTAL,95+,2034,48465
Male,TOTAL,2034,8787186
Female,TOTAL,2034,9003038
TOTAL,TOTAL,2034,17790224
Male,00-05,2035,489456
Female,00-05,2035,466110
TOTAL,00-05,2035,955565
Male,05-10,2035,493260
Female,05-10,2035,469608
TOTAL,05-10,2035,962868
Male,10-15,2035,489010
Female,10-15,2035,465880
TOTAL,10-15,2035,954890
Male,15-20,2035,481865
Female,15-20,2035,459780
TOTAL,15-20,2035,941645
Male,20-25,2035,498806
Female,20-25,2035,487197
TOTAL,20-25,2035,986003
Male,25-30,2035,528329
Female,25-30,2035,519676
TOTAL,25-30,2035,1048006
Male,30-35,2035,568547
Female,30-35,2035,562329
TOTAL,30-35,2035,1130876
Male,35-40,2035,553703
Female,35-40,2035,550445
TOTAL,35-40,2035,1104148
Male,40-45,2035,555002
Female,40-45,2035,555157
TOTAL,40-45,2035,1110159
Male,45-50,2035,526028
Female,45-50,2035,529573
TOTAL,45-50,2035,1055601
Male,50-55,2035,493511
Female,50-55,2035,500626
TOTAL,50-55,2035,994137
Male,55-60,2035,478901
Female,55-60,2035,488723
TOTAL,55-60,2035,967624
Male,60-65,2035,538067
Female,60-65,2035,554534
TOTAL,60-65,2035,1092601
Male,65-70,2035,562630
Female,65-70,2035,579785
TOTAL,65-70,2035,1142416
Male,70-75,2035,519144
Female,70-75,2035,550023
TOTAL,70-75,2035,1069166
Male,75-80,2035,421561
Female,75-80,2035,469807
TOTAL,75-80,2035,891368
Male,80-85,2035,310545
Female,80-85,2035,374377
TOTAL,80-85,2035,684922
Male,85-90,2035,203226
Female,85-90,2035,279010
TOTAL,85-90,2035,482236
Male,90-95,2035,67186
Female,90-95,2035,115149
TOTAL,90-95,2035,182335
Male,95+,2035,14227
Female,95+,2035,36179
TOTAL,95+,2035,50406
Male,TOTAL,2035,8793004
Female,TOTAL,2035,9013967
TOTAL,TOTAL,2035,17806972
Male,00-05,2036,487821
Female,00-05,2036,464519
TOTAL,00-05,2036,952340
Male,05-10,2036,493663
Female,05-10,2036,469955
TOTAL,05-10,2036,963617
Male,10-15,2036,491045
Female,10-15,2036,467735
TOTAL,10-15,2036,958780
Male,15-20,2036,484883
Female,15-20,2036,462535
TOTAL,15-20,2036,947417
Male,20-25,2036,498493
Female,20-25,2036,486857
TOTAL,20-25,2036,985350
Male,25-30,2036,526487
Female,25-30,2036,517930
TOTAL,25-30,2036,1044417
Male,30-35,2036,560263
Female,30-35,2036,553741
TOTAL,30-35,2036,1114005
Male,35-40,2036,560160
Female,35-40,2036,557308
TOTAL,35-40,2036,1117468
Male,40-45,2036,551459
Female,40-45,2036,552072
TOTAL,40-45,2036,1103530
Male,45-50,2036,534550
Female,45-50,2036,537328
TOTAL,45-50,2036,1071878
Male,50-55,2036,493409
Female,50-55,2036,500507
TOTAL,50-55,2036,993915
Male,55-60,2036,480807
Female,55-60,2036,490442
TOTAL,55-60,2036,971249
Male,60-65,2036,512383
Female,60-65,2036,529091
TOTAL,60-65,2036,1041474
Male,65-70,2036,561854
Female,65-70,2036,580869
TOTAL,65-70,2036,1142723
Male,70-75,2036,523818
Female,70-75,2036,554259
TOTAL,70-75,2036,1078077
Male,75-80,2036,429139
Female,75-80,2036,477322
TOTAL,75-80,2036,906461
Male,80-85,2036,313783
Female,80-85,2036,378842
TOTAL,80-85,2036,692625
Male,85-90,2036,208573
Female,85-90,2036,286240
TOTAL,85-90,2036,494813
Male,90-95,2036,69470
Female,90-95,2036,118024
TOTAL,90-95,2036,187493
Male,95+,2036,15061
Female,95+,2036,37501
TOTAL,95+,2036,52562
Male,TOTAL,2036,8797119
Female,TOTAL,2036,9023075
TOTAL,TOTAL,2036,17820194
Male,00-05,2037,485836
Female,00-05,2037,462600
TOTAL,00-05,2037,948436
Male,05-10,2037,493772
Female,05-10,2037,470017
TOTAL,05-10,2037,963790
Male,10-15,2037,492743
Female,10-15,2037,469288
TOTAL,10-15,2037,962031
Male,15-20,2037,487937
Female,15-20,2037,465352
TOTAL,15-20,2037,953290
Male,20-25,2037,499346
Female,20-25,2037,487590
TOTAL,20-25,2037,986936
Male,25-30,2037,524886
Female,25-30,2037,516728
TOTAL,25-30,2037,1041614
Male,30-35,2037,552431
Female,30-35,2037,545703
TOTAL,30-35,2037,1098135
Male,35-40,2037,565001
Female,35-40,2037,563168
TOTAL,35-40,2037,1128169
Male,40-45,2037,548435
Female,40-45,2037,547966
TOTAL,40-45,2037,1096401
Male,45-50,2037,540495
Female,45-50,2037,542813
TOTAL,45-50,2037,1083308
Male,50-55,2037,497192
Female,50-55,2037,503956
TOTAL,50-55,2037,1001148
Male,55-60,2037,481459
Female,55-60,2037,492465
TOTAL,55-60,2037,973924
Male,60-65,2037,491468
Female,60-65,2037,507436
TOTAL,60-65,2037,998905
Male,65-70,2037,558490
Female,65-70,2037,578885
TOTAL,65-70,2037,1137375
Male,70-75,2037,524042
Female,70-75,2037,553903
TOTAL,70-75,2037,1077945
Male,75-80,2037,436991
Female,75-80,2037,486270
TOTAL,75-80,2037,923262
Male,80-85,2037,318988
Female,80-85,2037,384878
TOTAL,80-85,2037,703865
Male,85-90,2037,204478
Female,85-90,2037,279675
TOTAL,85-90,2037,484153
Male,90-95,2037,79958
Female,90-95,2037,133427
TOTAL,90-95,2037,213385
Male,95+,2037,15648
Female,95+,2037,38233
TOTAL,95+,2037,53881
Male,TOTAL,2037,8799597
Female,TOTAL,2037,9030355
TOTAL,TOTAL,2037,17829952
Male,00-05,2038,483619
Female,00-05,2038,460468
TOTAL,00-05,2038,944086
Male,05-10,2038,493487
Female,05-10,2038,469705
TOTAL,05-10,2038,963192
Male,10-15,2038,494073
Female,10-15,2038,470504
TOTAL,10-15,2038,964577
Male,15-20,2038,490918
Female,15-20,2038,468094
TOTAL,15-20,2038,959011
Male,20-25,2038,501129
Female,20-25,2038,489208
TOTAL,20-25,2038,990337
Male,25-30,2038,525014
Female,25-30,2038,516380
TOTAL,25-30,2038,1041394
Male,30-35,2038,543335
Female,30-35,2038,537532
TOTAL,30-35,2038,1080867
Male,35-40,2038,569116
Female,35-40,2038,566498
TOTAL,35-40,2038,1135614
Male,40-45,2038,546357
Female,40-45,2038,546770
TOTAL,40-45,2038,1093128
Male,45-50,2038,544038
Female,45-50,2038,546858
TOTAL,45-50,2038,1090896
Male,50-55,2038,504464
Female,50-55,2038,510267
TOTAL,50-55,2038,1014731
Male,55-60,2038,481571
Female,55-60,2038,492420
TOTAL,55-60,2038,973991
Male,60-65,2038,475178
Female,60-65,2038,489816
TOTAL,60-65,2038,964994
Male,65-70,2038,550154
Female,65-70,2038,573121
TOTAL,65-70,2038,1123275
Male,70-75,2038,522899
Female,70-75,2038,552331
TOTAL,70-75,2038,1075230
Male,75-80,2038,444362
Female,75-80,2038,494193
TOTAL,75-80,2038,938555
Male,80-85,2038,323387
Female,80-85,2038,390121
TOTAL,80-85,2038,713507
Male,85-90,2038,203614
Female,85-90,2038,277114
TOTAL,85-90,2038,480729
Male,90-95,2038,87455
Female,90-95,2038,145133
TOTAL,90-95,2038,232588
Male,95+,2038,16414
Female,95+,2038,39338
TOTAL,95+,2038,55752
Male,TOTAL,2038,8800581
Female,TOTAL,2038,9035872
TOTAL,TOTAL,2038,17836452
Male,00-05,2039,481301
Female,00-05,2039,458238
TOTAL,00-05,2039,939538
Male,05-10,2039,492783
Female,05-10,2039,468991
TOTAL,05-10,2039,961774
Male,10-15,2039,495060
Female,10-15,2039,471398
TOTAL,10-15,2039,966459
Male,15-20,2039,493636
Female,15-20,2039,470591
TOTAL,15-20,2039,964227
Male,20-25,2039,503514
Female,20-25,2039,491410
TOTAL,20-25,2039,994924
Male,25-30,2039,523269
Female,25-30,2039,515124
TOTAL,25-30,2039,1038392
Male,30-35,2039,536742
Female,30-35,2039,530884
TOTAL,30-35,2039,1067626
Male,35-40,2039,569521
Female,35-40,2039,566855
TOTAL,35-40,2039,1136376
Male,40-45,2039,548269
Female,40-45,2039,548465
TOTAL,40-45,2039,1096734
Male,45-50,2039,547313
Female,45-50,2039,550314
TOTAL,45-50,2039,1097628
Male,50-55,2039,511758
Female,50-55,2039,517150
TOTAL,50-55,2039,1028908
Male,55-60,2039,480165
Female,55-60,2039,490828
TOTAL,55-60,2039,970992
Male,60-65,2039,467574
Female,60-65,2039,481763
TOTAL,60-65,2039,949338
Male,65-70,2039,534116
Female,65-70,2039,558147
TOTAL,65-70,2039,1092264
Male,70-75,2039,520293
Female,70-75,2039,550597
TOTAL,70-75,2039,1070890
Male,75-80,2039,452091
Female,75-80,2039,501786
TOTAL,75-80,2039,953877
Male,80-85,2039,329308
Female,80-85,2039,396863
TOTAL,80-85,2039,726172
Male,85-90,2039,204127
Female,85-90,2039,277390
TOTAL,85-90,2039,481516
Male,90-95,2039,91856
Female,90-95,2039,151728
TOTAL,90-95,2039,243584
Male,95+,2039,17515
Female,95+,2039,41197
TOTAL,95+,2039,58713
Male,TOTAL,2039,8800209
Female,TOTAL,2039,9039720
TOTAL,TOTAL,2039,17839930
Male,00-05,2040,479013
Female,00-05,2040,456049
TOTAL,00-05,2040,935061
Male,05-10,2040,491628
Female,05-10,2040,467846
TOTAL,05-10,2040,959475
Male,10-15,2040,495771
Female,10-15,2040,472029
TOTAL,10-15,2040,967800
Male,15-20,2040,496018
Female,15-20,2040,472790
TOTAL,15-20,2040,968807
Male,20-25,2040,506320
Female,20-25,2040,494010
TOTAL,20-25,2040,1000330
Male,25-30,2040,521839
Female,25-30,2040,513531
TOTAL,25-30,2040,1035370
Male,30-35,2040,533446
Female,30-35,2040,527532
TOTAL,30-35,2040,1060978
Male,35-40,2040,565708
Female,35-40,2040,563961
TOTAL,35-40,2040,1129669
Male,40-45,2040,550681
Female,40-45,2040,550577
TOTAL,40-45,2040,1101258
Male,45-50,2040,550082
Female,45-50,2040,552624
TOTAL,45-50,2040,1102705
Male,50-55,2040,517524
Female,50-55,2040,523426
TOTAL,50-55,2040,1040950
Male,55-60,2040,481399
Female,55-60,2040,491652
TOTAL,55-60,2040,973051
Male,60-65,2040,463098
Female,60-65,2040,476957
TOTAL,60-65,2040,940055
Male,65-70,2040,510578
Female,65-70,2040,534955
TOTAL,65-70,2040,1045533
Male,70-75,2040,521205
Female,70-75,2040,552163
TOTAL,70-75,2040,1073368
Male,75-80,2040,458929
Female,75-80,2040,508418
TOTAL,75-80,2040,967348
Male,80-85,2040,336153
Female,80-85,2040,404984
TOTAL,80-85,2040,741137
Male,85-90,2040,206355
Female,85-90,2040,279774
TOTAL,85-90,2040,486128
Male,90-95,2040,94259
Female,90-95,2040,155384
TOTAL,90-95,2040,249644
Male,95+,2040,18715
Female,95+,2040,43398
TOTAL,95+,2040,62113
Male,TOTAL,2040,8798720
Female,TOTAL,2040,9042060
TOTAL,TOTAL,2040,17840780
Male,00-05,2041,476874
Female,00-05,2041,453999
TOTAL,00-05,2041,930873
Male,05-10,2041,490050
Female,05-10,2041,466297
TOTAL,05-10,2041,956347
Male,10-15,2041,496170
Female,10-15,2041,472368
TOTAL,10-15,2041,968537
Male,15-20,2041,498028
Female,15-20,2041,474641
TOTAL,15-20,2041,972669
Male,20-25,2041,509398
Female,20-25,2041,496878
TOTAL,20-25,2041,1006276
Male,25-30,2041,521696
Female,25-30,2041,513401
TOTAL,25-30,2041,1035097
Male,30-35,2041,531757
Female,30-35,2041,525941
TOTAL,30-35,2041,1057697
Male,35-40,2041,557725
Female,35-40,2041,555632
TOTAL,35-40,2041,1113357
Male,40-45,2041,556987
Female,40-45,2041,557397
TOTAL,40-45,2041,1114385
Male,45-50,2041,546692
Female,45-50,2041,549661
TOTAL,45-50,2041,1096352
Male,50-55,2041,525927
Female,50-55,2041,531095
TOTAL,50-55,2041,1057022
Male,55-60,2041,481369
Female,55-60,2041,491589
TOTAL,55-60,2041,972958
Male,60-65,2041,465070
Female,60-65,2041,478730
TOTAL,60-65,2041,943800
Male,65-70,2041,486526
Female,65-70,2041,510554
TOTAL,65-70,2041,997080
Male,70-75,2041,520939
Female,70-75,2041,553437
TOTAL,70-75,2041,1074376
Male,75-80,2041,463552
Female,75-80,2041,512649
TOTAL,75-80,2041,976201
Male,80-85,2041,342834
Female,80-85,2041,411946
TOTAL,80-85,2041,754780
Male,85-90,2041,209314
Female,85-90,2041,283882
TOTAL,85-90,2041,493196
Male,90-95,2041,96060
Female,90-95,2041,158425
TOTAL,90-95,2041,254485
Male,95+,2041,19379
Female,95+,2041,44533
TOTAL,95+,2041,63912
Male,TOTAL,2041,8796346
Female,TOTAL,2041,9043054
TOTAL,TOTAL,2041,17839400
Male,00-05,2042,474985
Female,00-05,2042,452185
TOTAL,00-05,2042,927171
Male,05-10,2042,488122
Female,05-10,2042,464418
TOTAL,05-10,2042,952540
