Soort,Regio,Jaar,Overlast
Overlast van groepen jongeren,Limburg-Zuid (PO),2011,12.7
Overlast van groepen jongeren,Flevoland (PO),2008,9.3
Overlast van groepen jongeren,Flevoland (PO),2009,12.3
Overlast van groepen jongeren,Flevoland (PO),2010,10.2
Overlast van groepen jongeren,Flevoland (PO),2011,11.7
Mensen worden op straat lastig gevallen,Nederland,2008,2
Mensen worden op straat lastig gevallen,Nederland,2009,2.1
Mensen worden op straat lastig gevallen,Nederland,2010,2.1
Mensen worden op straat lastig gevallen,Nederland,2011,2.2
Mensen worden op straat lastig gevallen,Groningen (PO),2008,1.9
Mensen worden op straat lastig gevallen,Groningen (PO),2009,2.4
Mensen worden op straat lastig gevallen,Groningen (PO),2010,1.9
Mensen worden op straat lastig gevallen,Groningen (PO),2011,1.7
Mensen worden op straat lastig gevallen,Friesland (PO),2008,1.1
Mensen worden op straat lastig gevallen,Friesland (PO),2009,1.3
Mensen worden op straat lastig gevallen,Friesland (PO),2010,0.9
Mensen worden op straat lastig gevallen,Friesland (PO),2011,0.8
Mensen worden op straat lastig gevallen,Drenthe (PO),2008,0.3
Mensen worden op straat lastig gevallen,Drenthe (PO),2009,1.2
Mensen worden op straat lastig gevallen,Drenthe (PO),2010,1.2
Mensen worden op straat lastig gevallen,Drenthe (PO),2011,0.1
Mensen worden op straat lastig gevallen,IJsselland (PO),2008,0.9
Mensen worden op straat lastig gevallen,IJsselland (PO),2009,1.2
Mensen worden op straat lastig gevallen,IJsselland (PO),2010,1.5
Mensen worden op straat lastig gevallen,IJsselland (PO),2011,0.7
Mensen worden op straat lastig gevallen,Twente (PO),2008,1.7
Mensen worden op straat lastig gevallen,Twente (PO),2009,1.4
Mensen worden op straat lastig gevallen,Twente (PO),2010,0.8
Mensen worden op straat lastig gevallen,Twente (PO),2011,1.1
Mensen worden op straat lastig gevallen,Noord- en Oost-Gelderland (PO),2008,0.4
Mensen worden op straat lastig gevallen,Noord- en Oost-Gelderland (PO),2009,1
Mensen worden op straat lastig gevallen,Noord- en Oost-Gelderland (PO),2010,0.9
Mensen worden op straat lastig gevallen,Noord- en Oost-Gelderland (PO),2011,1
Mensen worden op straat lastig gevallen,Gelderland-Midden (PO),2008,1.5
Mensen worden op straat lastig gevallen,Gelderland-Midden (PO),2009,1.5
Mensen worden op straat lastig gevallen,Gelderland-Midden (PO),2010,1.7
Mensen worden op straat lastig gevallen,Gelderland-Midden (PO),2011,2.2
Mensen worden op straat lastig gevallen,Gelderland-Zuid (PO),2008,2.4
Mensen worden op straat lastig gevallen,Gelderland-Zuid (PO),2009,1.2
Mensen worden op straat lastig gevallen,Gelderland-Zuid (PO),2010,2.1
Mensen worden op straat lastig gevallen,Gelderland-Zuid (PO),2011,1.7
Mensen worden op straat lastig gevallen,Utrecht (PO),2008,2.1
Mensen worden op straat lastig gevallen,Utrecht (PO),2009,2.7
Mensen worden op straat lastig gevallen,Utrecht (PO),2010,1.5
Mensen worden op straat lastig gevallen,Utrecht (PO),2011,3.4
Mensen worden op straat lastig gevallen,Noord-Holland-Noord (PO),2008,2.8
Mensen worden op straat lastig gevallen,Noord-Holland-Noord (PO),2009,1.5
Mensen worden op straat lastig gevallen,Noord-Holland-Noord (PO),2010,2.1
Mensen worden op straat lastig gevallen,Noord-Holland-Noord (PO),2011,1.6
Mensen worden op straat lastig gevallen,Zaanstreek-Waterland (PO),2008,1.5
Mensen worden op straat lastig gevallen,Zaanstreek-Waterland (PO),2009,1.4
Mensen worden op straat lastig gevallen,Zaanstreek-Waterland (PO),2010,1.8
Mensen worden op straat lastig gevallen,Zaanstreek-Waterland (PO),2011,2.5
Mensen worden op straat lastig gevallen,Kennemerland (PO),2008,1.4
Mensen worden op straat lastig gevallen,Kennemerland (PO),2009,1.2
Mensen worden op straat lastig gevallen,Kennemerland (PO),2010,1.5
Mensen worden op straat lastig gevallen,Kennemerland (PO),2011,1.5
Mensen worden op straat lastig gevallen,Amsterdam-Amstelland (PO),2008,4.7
Mensen worden op straat lastig gevallen,Amsterdam-Amstelland (PO),2009,4.8
Mensen worden op straat lastig gevallen,Amsterdam-Amstelland (PO),2010,5.2
Mensen worden op straat lastig gevallen,Amsterdam-Amstelland (PO),2011,5
Mensen worden op straat lastig gevallen,Gooi en Vechtstreek (PO),2008,1.3
Mensen worden op straat lastig gevallen,Gooi en Vechtstreek (PO),2009,1.6
Mensen worden op straat lastig gevallen,Gooi en Vechtstreek (PO),2010,1.2
Mensen worden op straat lastig gevallen,Gooi en Vechtstreek (PO),2011,1.6
Mensen worden op straat lastig gevallen,Haaglanden (PO),2008,3.4
Mensen worden op straat lastig gevallen,Haaglanden (PO),2009,3.7
Mensen worden op straat lastig gevallen,Haaglanden (PO),2010,3.9
Mensen worden op straat lastig gevallen,Haaglanden (PO),2011,4.2
Mensen worden op straat lastig gevallen,Hollands Midden (PO),2008,1.8
Mensen worden op straat lastig gevallen,Hollands Midden (PO),2009,1.4
Mensen worden op straat lastig gevallen,Hollands Midden (PO),2010,2
Mensen worden op straat lastig gevallen,Hollands Midden (PO),2011,2
Mensen worden op straat lastig gevallen,Rotterdam-Rijnmond (PO),2008,3.5
Mensen worden op straat lastig gevallen,Rotterdam-Rijnmond (PO),2009,3.7
Mensen worden op straat lastig gevallen,Rotterdam-Rijnmond (PO),2010,4.1
Mensen worden op straat lastig gevallen,Rotterdam-Rijnmond (PO),2011,4.3
Mensen worden op straat lastig gevallen,Zuid-Holland-Zuid (PO),2008,1.2
Mensen worden op straat lastig gevallen,Zuid-Holland-Zuid (PO),2009,1.8
Mensen worden op straat lastig gevallen,Zuid-Holland-Zuid (PO),2010,1.2
Mensen worden op straat lastig gevallen,Zuid-Holland-Zuid (PO),2011,1.9
Mensen worden op straat lastig gevallen,Zeeland (PO),2008,1.3
Mensen worden op straat lastig gevallen,Zeeland (PO),2009,1.7
Mensen worden op straat lastig gevallen,Zeeland (PO),2010,0.8
Mensen worden op straat lastig gevallen,Zeeland (PO),2011,0.8
Mensen worden op straat lastig gevallen,Midden- en West-Brabant (PO),2008,1.9
Mensen worden op straat lastig gevallen,Midden- en West-Brabant (PO),2009,2.3
Mensen worden op straat lastig gevallen,Midden- en West-Brabant (PO),2010,2
Mensen worden op straat lastig gevallen,Midden- en West-Brabant (PO),2011,1.7
Mensen worden op straat lastig gevallen,Brabant-Noord (PO),2008,1.1
Mensen worden op straat lastig gevallen,Brabant-Noord (PO),2009,1.1
Mensen worden op straat lastig gevallen,Brabant-Noord (PO),2010,1.3
Mensen worden op straat lastig gevallen,Brabant-Noord (PO),2011,1.1
Mensen worden op straat lastig gevallen,Brabant-Zuidoost (PO),2008,1.3
Mensen worden op straat lastig gevallen,Brabant-Zuidoost (PO),2009,1.3
Mensen worden op straat lastig gevallen,Brabant-Zuidoost (PO),2010,1.5
Mensen worden op straat lastig gevallen,Brabant-Zuidoost (PO),2011,2.1
Mensen worden op straat lastig gevallen,Limburg-Noord (PO),2008,2.1
Mensen worden op straat lastig gevallen,Limburg-Noord (PO),2009,1.9
Mensen worden op straat lastig gevallen,Limburg-Noord (PO),2010,2.4
Mensen worden op straat lastig gevallen,Limburg-Noord (PO),2011,1.2
Mensen worden op straat lastig gevallen,Limburg-Zuid (PO),2008,1.8
Mensen worden op straat lastig gevallen,Limburg-Zuid (PO),2009,2.6
Mensen worden op straat lastig gevallen,Limburg-Zuid (PO),2010,2.5
Mensen worden op straat lastig gevallen,Limburg-Zuid (PO),2011,1.8
Mensen worden op straat lastig gevallen,Flevoland (PO),2008,1.7
Mensen worden op straat lastig gevallen,Flevoland (PO),2009,1.7
Mensen worden op straat lastig gevallen,Flevoland (PO),2010,1.6
Mensen worden op straat lastig gevallen,Flevoland (PO),2011,2.3
Drugsoverlast,Nederland,2008,4.8
Drugsoverlast,Nederland,2009,4.9
Drugsoverlast,Nederland,2010,4.8
Drugsoverlast,Nederland,2011,4.9
Drugsoverlast,Groningen (PO),2008,6.2
Drugsoverlast,Groningen (PO),2009,5.4
Drugsoverlast,Groningen (PO),2010,5.5
Drugsoverlast,Groningen (PO),2011,4.7
Drugsoverlast,Friesland (PO),2008,3.5
Drugsoverlast,Friesland (PO),2009,2.8
Drugsoverlast,Friesland (PO),2010,3.6
Drugsoverlast,Friesland (PO),2011,2.8
Drugsoverlast,Drenthe (PO),2008,1.8
Drugsoverlast,Drenthe (PO),2009,4.4
Drugsoverlast,Drenthe (PO),2010,2.8
Drugsoverlast,Drenthe (PO),2011,2.9
Drugsoverlast,IJsselland (PO),2008,2.8
Drugsoverlast,IJsselland (PO),2009,2.5
Drugsoverlast,IJsselland (PO),2010,2.9
Drugsoverlast,IJsselland (PO),2011,2.8
Drugsoverlast,Twente (PO),2008,2.3
Drugsoverlast,Twente (PO),2009,5
Drugsoverlast,Twente (PO),2010,2.9
Drugsoverlast,Twente (PO),2011,4.7
Drugsoverlast,Noord- en Oost-Gelderland (PO),2008,2.1
Drugsoverlast,Noord- en Oost-Gelderland (PO),2009,3.2
Drugsoverlast,Noord- en Oost-Gelderland (PO),2010,2.2
Drugsoverlast,Noord- en Oost-Gelderland (PO),2011,3.2
Drugsoverlast,Gelderland-Midden (PO),2008,4.6
Drugsoverlast,Gelderland-Midden (PO),2009,3.7
Drugsoverlast,Gelderland-Midden (PO),2010,3.7
Drugsoverlast,Gelderland-Midden (PO),2011,3.6
Drugsoverlast,Gelderland-Zuid (PO),2008,3.9
Drugsoverlast,Gelderland-Zuid (PO),2009,4.9
Drugsoverlast,Gelderland-Zuid (PO),2010,3.4
Drugsoverlast,Gelderland-Zuid (PO),2011,4.6
Drugsoverlast,Utrecht (PO),2008,3.1
Drugsoverlast,Utrecht (PO),2009,3.5
Drugsoverlast,Utrecht (PO),2010,2.5
Drugsoverlast,Utrecht (PO),2011,4.1
Drugsoverlast,Noord-Holland-Noord (PO),2008,7.1
Drugsoverlast,Noord-Holland-Noord (PO),2009,4.6
Drugsoverlast,Noord-Holland-Noord (PO),2010,4.2
Drugsoverlast,Noord-Holland-Noord (PO),2011,4.3
Drugsoverlast,Zaanstreek-Waterland (PO),2008,5.5
Drugsoverlast,Zaanstreek-Waterland (PO),2009,6.2
Drugsoverlast,Zaanstreek-Waterland (PO),2010,4.6
Drugsoverlast,Zaanstreek-Waterland (PO),2011,3.9
Drugsoverlast,Kennemerland (PO),2008,2.7
Drugsoverlast,Kennemerland (PO),2009,2.2
Drugsoverlast,Kennemerland (PO),2010,3.6
Drugsoverlast,Kennemerland (PO),2011,4.7
Drugsoverlast,Amsterdam-Amstelland (PO),2008,7.8
Drugsoverlast,Amsterdam-Amstelland (PO),2009,7.3
Drugsoverlast,Amsterdam-Amstelland (PO),2010,7.5
Drugsoverlast,Amsterdam-Amstelland (PO),2011,7.2
Drugsoverlast,Gooi en Vechtstreek (PO),2008,3.7
Drugsoverlast,Gooi en Vechtstreek (PO),2009,2.9
Drugsoverlast,Gooi en Vechtstreek (PO),2010,3
Drugsoverlast,Gooi en Vechtstreek (PO),2011,2.8
Drugsoverlast,Haaglanden (PO),2008,5
Drugsoverlast,Haaglanden (PO),2009,5.4
Drugsoverlast,Haaglanden (PO),2010,5.1
Drugsoverlast,Haaglanden (PO),2011,5.4
Drugsoverlast,Hollands Midden (PO),2008,3
Drugsoverlast,Hollands Midden (PO),2009,3.3
Drugsoverlast,Hollands Midden (PO),2010,3.8
Drugsoverlast,Hollands Midden (PO),2011,3.3
Drugsoverlast,Rotterdam-Rijnmond (PO),2008,6.4
Drugsoverlast,Rotterdam-Rijnmond (PO),2009,6.5
Drugsoverlast,Rotterdam-Rijnmond (PO),2010,7.7
Drugsoverlast,Rotterdam-Rijnmond (PO),2011,7.1
Drugsoverlast,Zuid-Holland-Zuid (PO),2008,3.2
Drugsoverlast,Zuid-Holland-Zuid (PO),2009,5.3
Drugsoverlast,Zuid-Holland-Zuid (PO),2010,5.1
Drugsoverlast,Zuid-Holland-Zuid (PO),2011,4.7
Drugsoverlast,Zeeland (PO),2008,4.2
Drugsoverlast,Zeeland (PO),2009,3.9
Drugsoverlast,Zeeland (PO),2010,3.7
Drugsoverlast,Zeeland (PO),2011,3.6
Drugsoverlast,Midden- en West-Brabant (PO),2008,7.7
Drugsoverlast,Midden- en West-Brabant (PO),2009,6.2
Drugsoverlast,Midden- en West-Brabant (PO),2010,6.2
Drugsoverlast,Midden- en West-Brabant (PO),2011,6.2
Drugsoverlast,Brabant-Noord (PO),2008,3.6
Drugsoverlast,Brabant-Noord (PO),2009,3
Drugsoverlast,Brabant-Noord (PO),2010,3.9
Drugsoverlast,Brabant-Noord (PO),2011,3.5
Drugsoverlast,Brabant-Zuidoost (PO),2008,3.2
Drugsoverlast,Brabant-Zuidoost (PO),2009,3.5
Drugsoverlast,Brabant-Zuidoost (PO),2010,3.3
Drugsoverlast,Brabant-Zuidoost (PO),2011,5.2
Drugsoverlast,Limburg-Noord (PO),2008,6.6
Drugsoverlast,Limburg-Noord (PO),2009,5.2
Drugsoverlast,Limburg-Noord (PO),2010,4.5
Drugsoverlast,Limburg-Noord (PO),2011,5.8
Drugsoverlast,Limburg-Zuid (PO),2008,11
Drugsoverlast,Limburg-Zuid (PO),2009,12.1
Drugsoverlast,Limburg-Zuid (PO),2010,14.5
