Soort,Regio,Jaar,Overlast
Bedreiging,Utrecht (PO),2009,2.1
Bedreiging,Utrecht (PO),2010,2.6
Bedreiging,Utrecht (PO),2011,2.7
Bedreiging,Noord-Holland-Noord (PO),2008,2.8
Bedreiging,Noord-Holland-Noord (PO),2009,1.8
Bedreiging,Noord-Holland-Noord (PO),2010,2.1
Bedreiging,Noord-Holland-Noord (PO),2011,1.7
Bedreiging,Zaanstreek-Waterland (PO),2008,2.7
Bedreiging,Zaanstreek-Waterland (PO),2009,2.3
Bedreiging,Zaanstreek-Waterland (PO),2010,2.7
Bedreiging,Zaanstreek-Waterland (PO),2011,2
Bedreiging,Kennemerland (PO),2008,2.1
Bedreiging,Kennemerland (PO),2009,2.2
Bedreiging,Kennemerland (PO),2010,1.6
Bedreiging,Kennemerland (PO),2011,1.9
Bedreiging,Amsterdam-Amstelland (PO),2008,4.7
Bedreiging,Amsterdam-Amstelland (PO),2009,5
Bedreiging,Amsterdam-Amstelland (PO),2010,4.7
Bedreiging,Amsterdam-Amstelland (PO),2011,4.5
Bedreiging,Gooi en Vechtstreek (PO),2008,1.3
Bedreiging,Gooi en Vechtstreek (PO),2009,1.9
Bedreiging,Gooi en Vechtstreek (PO),2010,1.8
Bedreiging,Gooi en Vechtstreek (PO),2011,1.9
Bedreiging,Haaglanden (PO),2008,3
Bedreiging,Haaglanden (PO),2009,3.3
Bedreiging,Haaglanden (PO),2010,3.5
Bedreiging,Haaglanden (PO),2011,3.7
Bedreiging,Hollands Midden (PO),2008,1.6
Bedreiging,Hollands Midden (PO),2009,1.6
Bedreiging,Hollands Midden (PO),2010,1.4
Bedreiging,Hollands Midden (PO),2011,2
Bedreiging,Rotterdam-Rijnmond (PO),2008,3.5
Bedreiging,Rotterdam-Rijnmond (PO),2009,3.4
Bedreiging,Rotterdam-Rijnmond (PO),2010,4.6
Bedreiging,Rotterdam-Rijnmond (PO),2011,4
Bedreiging,Zuid-Holland-Zuid (PO),2008,1
Bedreiging,Zuid-Holland-Zuid (PO),2009,2.1
Bedreiging,Zuid-Holland-Zuid (PO),2010,2.7
Bedreiging,Zuid-Holland-Zuid (PO),2011,1.5
Bedreiging,Zeeland (PO),2008,0.9
Bedreiging,Zeeland (PO),2009,1.7
Bedreiging,Zeeland (PO),2010,1.1
Bedreiging,Zeeland (PO),2011,1
Bedreiging,Midden- en West-Brabant (PO),2008,2.3
Bedreiging,Midden- en West-Brabant (PO),2009,1.9
Bedreiging,Midden- en West-Brabant (PO),2010,2.4
Bedreiging,Midden- en West-Brabant (PO),2011,2
Bedreiging,Brabant-Noord (PO),2008,1.4
Bedreiging,Brabant-Noord (PO),2009,1.3
Bedreiging,Brabant-Noord (PO),2010,2
Bedreiging,Brabant-Noord (PO),2011,1.5
Bedreiging,Brabant-Zuidoost (PO),2008,1
Bedreiging,Brabant-Zuidoost (PO),2009,1.4
Bedreiging,Brabant-Zuidoost (PO),2010,1.8
Bedreiging,Brabant-Zuidoost (PO),2011,2.1
Bedreiging,Limburg-Noord (PO),2008,1.3
Bedreiging,Limburg-Noord (PO),2009,1.3
Bedreiging,Limburg-Noord (PO),2010,3.1
Bedreiging,Limburg-Noord (PO),2011,0.7
Bedreiging,Limburg-Zuid (PO),2008,1.6
Bedreiging,Limburg-Zuid (PO),2009,2.7
Bedreiging,Limburg-Zuid (PO),2010,3.3
Bedreiging,Limburg-Zuid (PO),2011,2.5
Bedreiging,Flevoland (PO),2008,2.6
Bedreiging,Flevoland (PO),2009,2.4
Bedreiging,Flevoland (PO),2010,2.4
Bedreiging,Flevoland (PO),2011,2.4
Gewelddelicten,Nederland,2008,2.1
Gewelddelicten,Nederland,2009,1.9
Gewelddelicten,Nederland,2010,2.1
Gewelddelicten,Nederland,2011,2.1
Gewelddelicten,Groningen (PO),2008,1.9
Gewelddelicten,Groningen (PO),2009,2.5
Gewelddelicten,Groningen (PO),2010,2.6
Gewelddelicten,Groningen (PO),2011,2.3
Gewelddelicten,Friesland (PO),2008,1.1
Gewelddelicten,Friesland (PO),2009,1.2
Gewelddelicten,Friesland (PO),2010,0.9
Gewelddelicten,Friesland (PO),2011,1
Gewelddelicten,Drenthe (PO),2008,1.8
Gewelddelicten,Drenthe (PO),2009,1.4
Gewelddelicten,Drenthe (PO),2010,1
Gewelddelicten,Drenthe (PO),2011,1.1
Gewelddelicten,IJsselland (PO),2008,2.1
Gewelddelicten,IJsselland (PO),2009,1.1
Gewelddelicten,IJsselland (PO),2010,1.5
Gewelddelicten,IJsselland (PO),2011,1.3
Gewelddelicten,Twente (PO),2008,0.4
Gewelddelicten,Twente (PO),2009,0.8
Gewelddelicten,Twente (PO),2010,1.4
Gewelddelicten,Twente (PO),2011,0.9
Gewelddelicten,Noord- en Oost-Gelderland (PO),2008,0.7
Gewelddelicten,Noord- en Oost-Gelderland (PO),2009,1.1
Gewelddelicten,Noord- en Oost-Gelderland (PO),2010,1.1
Gewelddelicten,Noord- en Oost-Gelderland (PO),2011,0.4
Gewelddelicten,Gelderland-Midden (PO),2008,2
Gewelddelicten,Gelderland-Midden (PO),2009,1.3
Gewelddelicten,Gelderland-Midden (PO),2010,2
Gewelddelicten,Gelderland-Midden (PO),2011,1.4
Gewelddelicten,Gelderland-Zuid (PO),2008,1.6
Gewelddelicten,Gelderland-Zuid (PO),2009,1.3
Gewelddelicten,Gelderland-Zuid (PO),2010,1.2
Gewelddelicten,Gelderland-Zuid (PO),2011,1
Gewelddelicten,Utrecht (PO),2008,1.6
Gewelddelicten,Utrecht (PO),2009,1.4
Gewelddelicten,Utrecht (PO),2010,1.7
Gewelddelicten,Utrecht (PO),2011,2.2
Gewelddelicten,Noord-Holland-Noord (PO),2008,1.5
Gewelddelicten,Noord-Holland-Noord (PO),2009,1.6
Gewelddelicten,Noord-Holland-Noord (PO),2010,1.3
Gewelddelicten,Noord-Holland-Noord (PO),2011,1.5
Gewelddelicten,Zaanstreek-Waterland (PO),2008,3
Gewelddelicten,Zaanstreek-Waterland (PO),2009,2.1
Gewelddelicten,Zaanstreek-Waterland (PO),2010,2.4
Gewelddelicten,Zaanstreek-Waterland (PO),2011,2.1
Gewelddelicten,Kennemerland (PO),2008,1.2
Gewelddelicten,Kennemerland (PO),2009,1.2
Gewelddelicten,Kennemerland (PO),2010,2.2
Gewelddelicten,Kennemerland (PO),2011,2.1
Gewelddelicten,Amsterdam-Amstelland (PO),2008,4.5
Gewelddelicten,Amsterdam-Amstelland (PO),2009,5.6
Gewelddelicten,Amsterdam-Amstelland (PO),2010,6.3
Gewelddelicten,Amsterdam-Amstelland (PO),2011,4.7
Gewelddelicten,Gooi en Vechtstreek (PO),2008,1.2
Gewelddelicten,Gooi en Vechtstreek (PO),2009,1.3
Gewelddelicten,Gooi en Vechtstreek (PO),2010,1.7
Gewelddelicten,Gooi en Vechtstreek (PO),2011,1.8
Gewelddelicten,Haaglanden (PO),2008,2.5
Gewelddelicten,Haaglanden (PO),2009,2.8
Gewelddelicten,Haaglanden (PO),2010,3.3
Gewelddelicten,Haaglanden (PO),2011,3.9
Gewelddelicten,Hollands Midden (PO),2008,1.2
Gewelddelicten,Hollands Midden (PO),2009,1.8
Gewelddelicten,Hollands Midden (PO),2010,1.6
Gewelddelicten,Hollands Midden (PO),2011,1.4
Gewelddelicten,Rotterdam-Rijnmond (PO),2008,3.1
Gewelddelicten,Rotterdam-Rijnmond (PO),2009,2.9
Gewelddelicten,Rotterdam-Rijnmond (PO),2010,2.8
Gewelddelicten,Rotterdam-Rijnmond (PO),2011,3.7
Gewelddelicten,Zuid-Holland-Zuid (PO),2008,1.6
Gewelddelicten,Zuid-Holland-Zuid (PO),2009,1.3
Gewelddelicten,Zuid-Holland-Zuid (PO),2010,2.4
Gewelddelicten,Zuid-Holland-Zuid (PO),2011,1.4
Gewelddelicten,Zeeland (PO),2008,1.9
Gewelddelicten,Zeeland (PO),2009,1.7
Gewelddelicten,Zeeland (PO),2010,1.3
Gewelddelicten,Zeeland (PO),2011,1.4
Gewelddelicten,Midden- en West-Brabant (PO),2008,2.9
Gewelddelicten,Midden- en West-Brabant (PO),2009,1.7
Gewelddelicten,Midden- en West-Brabant (PO),2010,1.6
Gewelddelicten,Midden- en West-Brabant (PO),2011,1.9
Gewelddelicten,Brabant-Noord (PO),2008,2
Gewelddelicten,Brabant-Noord (PO),2009,0.9
Gewelddelicten,Brabant-Noord (PO),2010,1.2
Gewelddelicten,Brabant-Noord (PO),2011,1.1
Gewelddelicten,Brabant-Zuidoost (PO),2008,1.4
Gewelddelicten,Brabant-Zuidoost (PO),2009,1.5
Gewelddelicten,Brabant-Zuidoost (PO),2010,1.6
Gewelddelicten,Brabant-Zuidoost (PO),2011,1.9
Gewelddelicten,Limburg-Noord (PO),2008,3.1
Gewelddelicten,Limburg-Noord (PO),2009,1.4
Gewelddelicten,Limburg-Noord (PO),2010,1.9
Gewelddelicten,Limburg-Noord (PO),2011,1.9
Gewelddelicten,Limburg-Zuid (PO),2008,2
Gewelddelicten,Limburg-Zuid (PO),2009,2.3
Gewelddelicten,Limburg-Zuid (PO),2010,2.7
Gewelddelicten,Limburg-Zuid (PO),2011,2.4
Gewelddelicten,Flevoland (PO),2008,4.1
Gewelddelicten,Flevoland (PO),2009,1.9
Gewelddelicten,Flevoland (PO),2010,1.7
Gewelddelicten,Flevoland (PO),2011,2.4
Straatroof,Nederland,2008,0.9
Straatroof,Nederland,2009,0.8
Straatroof,Nederland,2010,1
Straatroof,Nederland,2011,1
Straatroof,Groningen (PO),2008,0.1
Straatroof,Groningen (PO),2009,0.8
Straatroof,Groningen (PO),2010,1.2
Straatroof,Groningen (PO),2011,1.2
Straatroof,Friesland (PO),2008,0.9
Straatroof,Friesland (PO),2009,0.3
Straatroof,Friesland (PO),2010,
Straatroof,Friesland (PO),2011,0.2
Straatroof,Drenthe (PO),2008,0.3
Straatroof,Drenthe (PO),2009,0.1
Straatroof,Drenthe (PO),2010,0.3
Straatroof,Drenthe (PO),2011,0.2
Straatroof,IJsselland (PO),2008,0.4
Straatroof,IJsselland (PO),2009,0.3
Straatroof,IJsselland (PO),2010,0.4
Straatroof,IJsselland (PO),2011,0.4
Straatroof,Twente (PO),2008,0.2
Straatroof,Twente (PO),2009,0.2
Straatroof,Twente (PO),2010,0.2
Straatroof,Twente (PO),2011,0.3
Straatroof,Noord- en Oost-Gelderland (PO),2008,
Straatroof,Noord- en Oost-Gelderland (PO),2009,0.2
Straatroof,Noord- en Oost-Gelderland (PO),2010,0.4
Straatroof,Noord- en Oost-Gelderland (PO),2011,0.3
Straatroof,Gelderland-Midden (PO),2008,0.9
Straatroof,Gelderland-Midden (PO),2009,0.5
Straatroof,Gelderland-Midden (PO),2010,0.8
Straatroof,Gelderland-Midden (PO),2011,0.6
Straatroof,Gelderland-Zuid (PO),2008,0.6
Straatroof,Gelderland-Zuid (PO),2009,0.1
Straatroof,Gelderland-Zuid (PO),2010,0.3
Straatroof,Gelderland-Zuid (PO),2011,0.3
Straatroof,Utrecht (PO),2008,1.3
Straatroof,Utrecht (PO),2009,0.9
Straatroof,Utrecht (PO),2010,1.1
Straatroof,Utrecht (PO),2011,1
Straatroof,Noord-Holland-Noord (PO),2008,0.4
Straatroof,Noord-Holland-Noord (PO),2009,0.5
Straatroof,Noord-Holland-Noord (PO),2010,0.6
Straatroof,Noord-Holland-Noord (PO),2011,0.5
Straatroof,Zaanstreek-Waterland (PO),2008,0.5
Straatroof,Zaanstreek-Waterland (PO),2009,0.5
Straatroof,Zaanstreek-Waterland (PO),2010,1
Straatroof,Zaanstreek-Waterland (PO),2011,1
Straatroof,Kennemerland (PO),2008,0.6
Straatroof,Kennemerland (PO),2009,0.4
Straatroof,Kennemerland (PO),2010,0.9
Straatroof,Kennemerland (PO),2011,0.2
Straatroof,Amsterdam-Amstelland (PO),2008,3.3
Straatroof,Amsterdam-Amstelland (PO),2009,3.6
Straatroof,Amsterdam-Amstelland (PO),2010,3.7
Straatroof,Amsterdam-Amstelland (PO),2011,3.1
Straatroof,Gooi en Vechtstreek (PO),2008,0.6
Straatroof,Gooi en Vechtstreek (PO),2009,0.6
Straatroof,Gooi en Vechtstreek (PO),2010,0.3
Straatroof,Gooi en Vechtstreek (PO),2011,0.7
Straatroof,Haaglanden (PO),2008,2
Straatroof,Haaglanden (PO),2009,2
Straatroof,Haaglanden (PO),2010,2.5
Straatroof,Haaglanden (PO),2011,2.5
Straatroof,Hollands Midden (PO),2008,0.7
Straatroof,Hollands Midden (PO),2009,0.4
Straatroof,Hollands Midden (PO),2010,0.9
Straatroof,Hollands Midden (PO),2011,0.8
Straatroof,Rotterdam-Rijnmond (PO),2008,1.9
Straatroof,Rotterdam-Rijnmond (PO),2009,1.6
Straatroof,Rotterdam-Rijnmond (PO),2010,1.7
Straatroof,Rotterdam-Rijnmond (PO),2011,1.9
Straatroof,Zuid-Holland-Zuid (PO),2008,0.6
Straatroof,Zuid-Holland-Zuid (PO),2009,0.5
Straatroof,Zuid-Holland-Zuid (PO),2010,0.7
Straatroof,Zuid-Holland-Zuid (PO),2011,0.6
Straatroof,Zeeland (PO),2008,0.1
Straatroof,Zeeland (PO),2009,0.4
Straatroof,Zeeland (PO),2010,0.3
Straatroof,Zeeland (PO),2011,0.2
Straatroof,Midden- en West-Brabant (PO),2008,0.9
Straatroof,Midden- en West-Brabant (PO),2009,0.9
Straatroof,Midden- en West-Brabant (PO),2010,0.7
Straatroof,Midden- en West-Brabant (PO),2011,1
Straatroof,Brabant-Noord (PO),2008,0.4
Straatroof,Brabant-Noord (PO),2009,0.4
Straatroof,Brabant-Noord (PO),2010,0.3
Straatroof,Brabant-Noord (PO),2011,0.4
Straatroof,Brabant-Zuidoost (PO),2008,0.2
Straatroof,Brabant-Zuidoost (PO),2009,0.5
Straatroof,Brabant-Zuidoost (PO),2010,0.4
Straatroof,Brabant-Zuidoost (PO),2011,0.9
Straatroof,Limburg-Noord (PO),2008,0.1
Straatroof,Limburg-Noord (PO),2009,0.6
Straatroof,Limburg-Noord (PO),2010,0.9
Straatroof,Limburg-Noord (PO),2011,0.6
Straatroof,Limburg-Zuid (PO),2008,0.8
Straatroof,Limburg-Zuid (PO),2009,0.4
Straatroof,Limburg-Zuid (PO),2010,0.9
Straatroof,Limburg-Zuid (PO),2011,0.4
Straatroof,Flevoland (PO),2008,0.6
Straatroof,Flevoland (PO),2009,0.6
Straatroof,Flevoland (PO),2010,0.2
Straatroof,Flevoland (PO),2011,0.8
Jeugdcriminaliteit,Nederland,2008,5.3
Jeugdcriminaliteit,Nederland,2009,4.9
Jeugdcriminaliteit,Nederland,2010,5
Jeugdcriminaliteit,Nederland,2011,4.4
Jeugdcriminaliteit,Groningen (PO),2008,6.1
Jeugdcriminaliteit,Groningen (PO),2009,4.7
Jeugdcriminaliteit,Groningen (PO),2010,3.6
Jeugdcriminaliteit,Groningen (PO),2011,2.4
Jeugdcriminaliteit,Friesland (PO),2008,3.8
Jeugdcriminaliteit,Friesland (PO),2009,2.4
Jeugdcriminaliteit,Friesland (PO),2010,2.3
Jeugdcriminaliteit,Friesland (PO),2011,2.3
Jeugdcriminaliteit,Drenthe (PO),2008,4.1
Jeugdcriminaliteit,Drenthe (PO),2009,3.4
Jeugdcriminaliteit,Drenthe (PO),2010,2.3
Jeugdcriminaliteit,Drenthe (PO),2011,2.5
Jeugdcriminaliteit,IJsselland (PO),2008,3.5
Jeugdcriminaliteit,IJsselland (PO),2009,2
Jeugdcriminaliteit,IJsselland (PO),2010,2.9
Jeugdcriminaliteit,IJsselland (PO),2011,3.1
Jeugdcriminaliteit,Twente (PO),2008,2.9
Jeugdcriminaliteit,Twente (PO),2009,4.3
Jeugdcriminaliteit,Twente (PO),2010,3.4
Jeugdcriminaliteit,Twente (PO),2011,2.3
Jeugdcriminaliteit,Noord- en Oost-Gelderland (PO),2008,3.2
Jeugdcriminaliteit,Noord- en Oost-Gelderland (PO),2009,2.4
Jeugdcriminaliteit,Noord- en Oost-Gelderland (PO),2010,1.7
Jeugdcriminaliteit,Noord- en Oost-Gelderland (PO),2011,2.3
Jeugdcriminaliteit,Gelderland-Midden (PO),2008,4.3
Jeugdcriminaliteit,Gelderland-Midden (PO),2009,3.8
Jeugdcriminaliteit,Gelderland-Midden (PO),2010,4.5
Jeugdcriminaliteit,Gelderland-Midden (PO),2011,3.6
Jeugdcriminaliteit,Gelderland-Zuid (PO),2008,4.9
Jeugdcriminaliteit,Gelderland-Zuid (PO),2009,4.7
Jeugdcriminaliteit,Gelderland-Zuid (PO),2010,5.4
Jeugdcriminaliteit,Gelderland-Zuid (PO),2011,3.3
Jeugdcriminaliteit,Utrecht (PO),2008,5.7
Jeugdcriminaliteit,Utrecht (PO),2009,5.6
Jeugdcriminaliteit,Utrecht (PO),2010,4.8
Jeugdcriminaliteit,Utrecht (PO),2011,5.2
Jeugdcriminaliteit,Noord-Holland-Noord (PO),2008,5.7
Jeugdcriminaliteit,Noord-Holland-Noord (PO),2009,4.9
Jeugdcriminaliteit,Noord-Holland-Noord (PO),2010,5.6
Jeugdcriminaliteit,Noord-Holland-Noord (PO),2011,3.9
Jeugdcriminaliteit,Zaanstreek-Waterland (PO),2008,4.4
Jeugdcriminaliteit,Zaanstreek-Waterland (PO),2009,4.5
Jeugdcriminaliteit,Zaanstreek-Waterland (PO),2010,5.7
Jeugdcriminaliteit,Zaanstreek-Waterland (PO),2011,5
Jeugdcriminaliteit,Kennemerland (PO),2008,3.7
Jeugdcriminaliteit,Kennemerland (PO),2009,4.5
Jeugdcriminaliteit,Kennemerland (PO),2010,4.4
Jeugdcriminaliteit,Kennemerland (PO),2011,4.9
Jeugdcriminaliteit,Amsterdam-Amstelland (PO),2008,8.6
Jeugdcriminaliteit,Amsterdam-Amstelland (PO),2009,10
Jeugdcriminaliteit,Amsterdam-Amstelland (PO),2010,9.8
Jeugdcriminaliteit,Amsterdam-Amstelland (PO),2011,8.4
Jeugdcriminaliteit,Gooi en Vechtstreek (PO),2008,4.3
Jeugdcriminaliteit,Gooi en Vechtstreek (PO),2009,4
Jeugdcriminaliteit,Gooi en Vechtstreek (PO),2010,4
Jeugdcriminaliteit,Gooi en Vechtstreek (PO),2011,3.6
Jeugdcriminaliteit,Haaglanden (PO),2008,7.7
Jeugdcriminaliteit,Haaglanden (PO),2009,7.2
Jeugdcriminaliteit,Haaglanden (PO),2010,7.3
Jeugdcriminaliteit,Haaglanden (PO),2011,6.9
Jeugdcriminaliteit,Hollands Midden (PO),2008,4.6
Jeugdcriminaliteit,Hollands Midden (PO),2009,3.9
Jeugdcriminaliteit,Hollands Midden (PO),2010,3.9
Jeugdcriminaliteit,Hollands Midden (PO),2011,3.6
Jeugdcriminaliteit,Rotterdam-Rijnmond (PO),2008,8.1
Jeugdcriminaliteit,Rotterdam-Rijnmond (PO),2009,6.9
Jeugdcriminaliteit,Rotterdam-Rijnmond (PO),2010,6.3
Jeugdcriminaliteit,Rotterdam-Rijnmond (PO),2011,7
Jeugdcriminaliteit,Zuid-Holland-Zuid (PO),2008,3.5
Jeugdcriminaliteit,Zuid-Holland-Zuid (PO),2009,4.5
Jeugdcriminaliteit,Zuid-Holland-Zuid (PO),2010,4.4
Jeugdcriminaliteit,Zuid-Holland-Zuid (PO),2011,3.2
Jeugdcriminaliteit,Zeeland (PO),2008,3.2
Jeugdcriminaliteit,Zeeland (PO),2009,3.5
Jeugdcriminaliteit,Zeeland (PO),2010,4.1
Jeugdcriminaliteit,Zeeland (PO),2011,1.8
Jeugdcriminaliteit,Midden- en West-Brabant (PO),2008,5.2
Jeugdcriminaliteit,Midden- en West-Brabant (PO),2009,4.5
Jeugdcriminaliteit,Midden- en West-Brabant (PO),2010,5.4
Jeugdcriminaliteit,Midden- en West-Brabant (PO),2011,4.7
Jeugdcriminaliteit,Brabant-Noord (PO),2008,4.1
Jeugdcriminaliteit,Brabant-Noord (PO),2009,3.5
Jeugdcriminaliteit,Brabant-Noord (PO),2010,3.7
Jeugdcriminaliteit,Brabant-Noord (PO),2011,3.1
Jeugdcriminaliteit,Brabant-Zuidoost (PO),2008,4.2
Jeugdcriminaliteit,Brabant-Zuidoost (PO),2009,4
Jeugdcriminaliteit,Brabant-Zuidoost (PO),2010,4.8
Jeugdcriminaliteit,Brabant-Zuidoost (PO),2011,3.8
Jeugdcriminaliteit,Limburg-Noord (PO),2008,5.7
Jeugdcriminaliteit,Limburg-Noord (PO),2009,3.1
Jeugdcriminaliteit,Limburg-Noord (PO),2010,4.8
Jeugdcriminaliteit,Limburg-Noord (PO),2011,3.7
Jeugdcriminaliteit,Limburg-Zuid (PO),2008,5.7
Jeugdcriminaliteit,Limburg-Zuid (PO),2009,5.9
Jeugdcriminaliteit,Limburg-Zuid (PO),2010,9
Jeugdcriminaliteit,Limburg-Zuid (PO),2011,5.7
Jeugdcriminaliteit,Flevoland (PO),2008,7.2
Jeugdcriminaliteit,Flevoland (PO),2009,5.6
Jeugdcriminaliteit,Flevoland (PO),2010,4.3
Jeugdcriminaliteit,Flevoland (PO),2011,4.8
Fietsendiefstal,Nederland,2008,10.1
Fietsendiefstal,Nederland,2009,9.8
Fietsendiefstal,Nederland,2010,9.5
Fietsendiefstal,Nederland,2011,9
Fietsendiefstal,Groningen (PO),2008,12.6
Fietsendiefstal,Groningen (PO),2009,12.8
Fietsendiefstal,Groningen (PO),2010,12.7
Fietsendiefstal,Groningen (PO),2011,10.6
Fietsendiefstal,Friesland (PO),2008,7.2
Fietsendiefstal,Friesland (PO),2009,5.7
Fietsendiefstal,Friesland (PO),2010,5.7
Fietsendiefstal,Friesland (PO),2011,4.8
Fietsendiefstal,Drenthe (PO),2008,5.5
Fietsendiefstal,Drenthe (PO),2009,9.3
Fietsendiefstal,Drenthe (PO),2010,5.9
Fietsendiefstal,Drenthe (PO),2011,7.9
Fietsendiefstal,IJsselland (PO),2008,6.3
Fietsendiefstal,IJsselland (PO),2009,6.2
Fietsendiefstal,IJsselland (PO),2010,5
Fietsendiefstal,IJsselland (PO),2011,4.1
Fietsendiefstal,Twente (PO),2008,5.8
Fietsendiefstal,Twente (PO),2009,7.7
Fietsendiefstal,Twente (PO),2010,6.9
Fietsendiefstal,Twente (PO),2011,6.4
Fietsendiefstal,Noord- en Oost-Gelderland (PO),2008,5.2
Fietsendiefstal,Noord- en Oost-Gelderland (PO),2009,3.7
Fietsendiefstal,Noord- en Oost-Gelderland (PO),2010,3.8
Fietsendiefstal,Noord- en Oost-Gelderland (PO),2011,4.6
Fietsendiefstal,Gelderland-Midden (PO),2008,9.3
Fietsendiefstal,Gelderland-Midden (PO),2009,7.3
Fietsendiefstal,Gelderland-Midden (PO),2010,8.1
Fietsendiefstal,Gelderland-Midden (PO),2011,7.7
Fietsendiefstal,Gelderland-Zuid (PO),2008,7.6
Fietsendiefstal,Gelderland-Zuid (PO),2009,9.9
Fietsendiefstal,Gelderland-Zuid (PO),2010,9.2
Fietsendiefstal,Gelderland-Zuid (PO),2011,8.1
Fietsendiefstal,Utrecht (PO),2008,12.7
Fietsendiefstal,Utrecht (PO),2009,10.2
Fietsendiefstal,Utrecht (PO),2010,10.4
Fietsendiefstal,Utrecht (PO),2011,8.6
Fietsendiefstal,Noord-Holland-Noord (PO),2008,11.5
Fietsendiefstal,Noord-Holland-Noord (PO),2009,9.2
Fietsendiefstal,Noord-Holland-Noord (PO),2010,8.7
Fietsendiefstal,Noord-Holland-Noord (PO),2011,7.7
Fietsendiefstal,Zaanstreek-Waterland (PO),2008,9.3
Fietsendiefstal,Zaanstreek-Waterland (PO),2009,8.4
Fietsendiefstal,Zaanstreek-Waterland (PO),2010,7.5
Fietsendiefstal,Zaanstreek-Waterland (PO),2011,6.5
Fietsendiefstal,Kennemerland (PO),2008,8.4
Fietsendiefstal,Kennemerland (PO),2009,8.5
Fietsendiefstal,Kennemerland (PO),2010,11.3
Fietsendiefstal,Kennemerland (PO),2011,8.2
Fietsendiefstal,Amsterdam-Amstelland (PO),2008,20.4
Fietsendiefstal,Amsterdam-Amstelland (PO),2009,19
Fietsendiefstal,Amsterdam-Amstelland (PO),2010,18.4
Fietsendiefstal,Amsterdam-Amstelland (PO),2011,18.9
Fietsendiefstal,Gooi en Vechtstreek (PO),2008,7.4
Fietsendiefstal,Gooi en Vechtstreek (PO),2009,7.4
Fietsendiefstal,Gooi en Vechtstreek (PO),2010,8.6
Fietsendiefstal,Gooi en Vechtstreek (PO),2011,8.7
Fietsendiefstal,Haaglanden (PO),2008,15
Fietsendiefstal,Haaglanden (PO),2009,13.7
Fietsendiefstal,Haaglanden (PO),2010,13.6
Fietsendiefstal,Haaglanden (PO),2011,13.4
Fietsendiefstal,Hollands Midden (PO),2008,9.6
Fietsendiefstal,Hollands Midden (PO),2009,9.4
Fietsendiefstal,Hollands Midden (PO),2010,8.6
Fietsendiefstal,Hollands Midden (PO),2011,7.7
Fietsendiefstal,Rotterdam-Rijnmond (PO),2008,15.4
Fietsendiefstal,Rotterdam-Rijnmond (PO),2009,14.9
Fietsendiefstal,Rotterdam-Rijnmond (PO),2010,13.5
Fietsendiefstal,Rotterdam-Rijnmond (PO),2011,14.5
Fietsendiefstal,Zuid-Holland-Zuid (PO),2008,5.7
Fietsendiefstal,Zuid-Holland-Zuid (PO),2009,7.2
Fietsendiefstal,Zuid-Holland-Zuid (PO),2010,7
Fietsendiefstal,Zuid-Holland-Zuid (PO),2011,5.7
Fietsendiefstal,Zeeland (PO),2008,5.3
Fietsendiefstal,Zeeland (PO),2009,5
Fietsendiefstal,Zeeland (PO),2010,4.4
Fietsendiefstal,Zeeland (PO),2011,4.9
Fietsendiefstal,Midden- en West-Brabant (PO),2008,9.8
Fietsendiefstal,Midden- en West-Brabant (PO),2009,8
Fietsendiefstal,Midden- en West-Brabant (PO),2010,8.9
Fietsendiefstal,Midden- en West-Brabant (PO),2011,9.1
Fietsendiefstal,Brabant-Noord (PO),2008,8.4
Fietsendiefstal,Brabant-Noord (PO),2009,6.8
Fietsendiefstal,Brabant-Noord (PO),2010,7.4
Fietsendiefstal,Brabant-Noord (PO),2011,6.4
Fietsendiefstal,Brabant-Zuidoost (PO),2008,7.7
Fietsendiefstal,Brabant-Zuidoost (PO),2009,9.7
Fietsendiefstal,Brabant-Zuidoost (PO),2010,8.2
Fietsendiefstal,Brabant-Zuidoost (PO),2011,8.1
Fietsendiefstal,Limburg-Noord (PO),2008,7
Fietsendiefstal,Limburg-Noord (PO),2009,9.4
Fietsendiefstal,Limburg-Noord (PO),2010,10.9
Fietsendiefstal,Limburg-Noord (PO),2011,7.3
Fietsendiefstal,Limburg-Zuid (PO),2008,9.1
Fietsendiefstal,Limburg-Zuid (PO),2009,10.7
Fietsendiefstal,Limburg-Zuid (PO),2010,10.8
Fietsendiefstal,Limburg-Zuid (PO),2011,10.2
Fietsendiefstal,Flevoland (PO),2008,8.1
Fietsendiefstal,Flevoland (PO),2009,7.6
Fietsendiefstal,Flevoland (PO),2010,6.4
Fietsendiefstal,Flevoland (PO),2011,6.2
Diefstal uit auto's,Nederland,2008,6.3
Diefstal uit auto's,Nederland,2009,6.3
Diefstal uit auto's,Nederland,2010,6.9
Diefstal uit auto's,Nederland,2011,5.9
Diefstal uit auto's,Groningen (PO),2008,2.8
Diefstal uit auto's,Groningen (PO),2009,1.9
Diefstal uit auto's,Groningen (PO),2010,3.4
Diefstal uit auto's,Groningen (PO),2011,1.6
Diefstal uit auto's,Friesland (PO),2008,0.9
Diefstal uit auto's,Friesland (PO),2009,1.6
Diefstal uit auto's,Friesland (PO),2010,2.2
Diefstal uit auto's,Friesland (PO),2011,1.6
Diefstal uit auto's,Drenthe (PO),2008,2.2
Diefstal uit auto's,Drenthe (PO),2009,4.1
Diefstal uit auto's,Drenthe (PO),2010,2.7
