"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"01 Landbouw";"2011*";"26608";"18114";"8494";"9508";"-0.4";"-1.5";"1.8";"111.6";"126.2";"89.3"
"02 Bosbouw";"1988";"74";"34";"40";"23";".";".";".";"111.9";"75.5";"176.9"
"02 Bosbouw";"1989";"67";"38";"29";"20";"-1.4";"11.8";"-12.5";"102.7";"75.5";"146.6"
"02 Bosbouw";"1990";"74";"40";"34";"21";"6.0";"5.3";"6.9";"107.1";"75.5";"160.8"
"02 Bosbouw";"1991";"75";"41";"34";"21";"1.4";"2.5";"0.0";"107.1";"75.5";"160.8"
"02 Bosbouw";"1992";"71";"41";"30";"24";"5.3";"0.0";"11.8";"96.2";"75.5";"126.9"
"02 Bosbouw";"1993";"73";"41";"32";"30";"11.3";"0.0";"26.7";"88.9";"75.5";"106.9"
"02 Bosbouw";"1994";"80";"40";"40";"36";"8.2";"-2.4";"21.9";"90.1";"75.5";"109.6"
"02 Bosbouw";"1995";"71";"41";"30";"36";"0.0";"2.5";"-2.5";"79.9";"75.5";"84.3"
"02 Bosbouw";"1996";"75";"46";"29";"43";"15.5";"12.2";"20.0";"73.1";"75.5";"67.9"
"02 Bosbouw";"1997";"80";"50";"30";"44";"6.7";"8.7";"3.4";"73.1";"75.5";"67.9"
"02 Bosbouw";"1998";"90";"54";"36";"53";"8.7";"2.0";"20.0";"75.6";"80.0";"67.9"
"02 Bosbouw";"1999";"103";"65";"38";"54";"7.8";"11.1";"2.8";"80.3";"86.6";"69.8"
"02 Bosbouw";"2000";"112";"70";"42";"47";"-1.0";"6.2";"-13.2";"88.2";"87.9";"88.8"
"02 Bosbouw";"2001";"115";"70";"45";"47";"-0.9";"-1.4";"0.0";"91.3";"89.1";"95.1"
"02 Bosbouw";"2002";"117";"75";"42";"44";"-0.9";"2.9";"-6.7";"93.8";"92.9";"95.1"
"02 Bosbouw";"2003";"119";"76";"43";"42";"-0.9";"1.3";"-4.8";"96.2";"92.9";"102.3"
"02 Bosbouw";"2004";"129";"79";"50";"48";"6.7";"2.6";"14.0";"97.7";"94.0";"104.3"
"02 Bosbouw";"2005";"130";"84";"46";"46";"-1.6";"0.0";"-4.0";"100.0";"100.0";"100.0"
"02 Bosbouw";"2006";"139";"93";"46";"49";"6.9";"7.1";"6.5";"100.0";"103.3";"93.9"
"02 Bosbouw";"2007";"142";"94";"48";"50";"1.4";"1.1";"2.2";"100.7";"103.3";"95.9"
"02 Bosbouw";"2008";"152";"99";"53";"57";"4.9";"0.0";"14.6";"102.7";"108.8";"92.4"
"02 Bosbouw";"2009";"151";"98";"53";"57";"-0.7";"-1.0";"0.0";"102.7";"108.8";"92.4"
"02 Bosbouw";"2010**";"164";"103";"61";"70";"7.9";"0.0";"22.6";"103.4";"114.4";"86.7"
"02 Bosbouw";"2011*";"154";"96";"58";"68";"-5.5";"-6.8";"-3.3";"102.7";"114.4";"85.2"
"03 Visserij";"1988";"414";"188";"226";"187";".";".";".";"85.2";"59.7";"121.0"
"03 Visserij";"1989";"446";"196";"250";"202";"2.7";"-4.3";"8.4";"89.4";"65.0";"123.5"
"03 Visserij";"1990";"475";"192";"283";"236";"9.4";"0.0";"16.8";"87.0";"63.7";"119.7"
