"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"17 Papierindustrie";"1988";"3726";"2482";"1244";"1235";".";".";".";"92.7";"89.5";"100.7"
"17 Papierindustrie";"1989";"4068";"2725";"1343";"1307";"5.5";"5.3";"5.8";"96.0";"93.3";"102.8"
"17 Papierindustrie";"1990";"4241";"2812";"1429";"1330";"3.9";"4.9";"1.8";"96.3";"91.7";"107.4"
"17 Papierindustrie";"1991";"4159";"2740";"1419";"1234";"-1.5";"1.5";"-7.2";"95.9";"88.1";"115.0"
"17 Papierindustrie";"1992";"4054";"2660";"1394";"1257";"0.0";"-0.9";"1.8";"93.4";"86.3";"110.9"
"17 Papierindustrie";"1993";"3738";"2554";"1184";"1154";"-3.4";"-0.9";"-8.2";"89.2";"83.6";"102.6"
"17 Papierindustrie";"1994";"3985";"2821";"1164";"1200";"5.6";"6.4";"4.0";"90.0";"86.8";"97.0"
"17 Papierindustrie";"1995";"4594";"3304";"1290";"1243";"4.3";"4.5";"3.6";"99.5";"97.2";"103.8"
"17 Papierindustrie";"1996";"4408";"3101";"1307";"1212";"2.0";"3.8";"-2.5";"93.6";"87.9";"107.8"
"17 Papierindustrie";"1997";"4666";"3320";"1346";"1338";"7.3";"5.9";"10.4";"92.3";"88.9";"100.6"
"17 Papierindustrie";"1998";"4777";"3393";"1384";"1318";"1.3";"2.4";"-1.5";"93.3";"88.7";"105.0"
"17 Papierindustrie";"1999";"4899";"3464";"1435";"1399";"2.7";"1.4";"6.1";"93.2";"89.3";"102.5"
"17 Papierindustrie";"2000";"5529";"3978";"1551";"1446";"2.9";"2.8";"3.3";"102.1";"99.8";"107.2"
"17 Papierindustrie";"2001";"5550";"3910";"1640";"1384";"-2.5";"-1.8";"-4.3";"105.2";"99.9";"118.5"
"17 Papierindustrie";"2002";"5505";"3805";"1700";"1464";"0.5";"-1.8";"5.8";"103.8";"99.0";"116.1"
"17 Papierindustrie";"2003";"5446";"3801";"1645";"1487";"0.3";"-0.2";"1.6";"102.4";"99.1";"110.6"
"17 Papierindustrie";"2004";"5579";"3915";"1664";"1568";"4.3";"3.7";"5.5";"100.6";"98.4";"106.1"
"17 Papierindustrie";"2005";"5600";"4007";"1593";"1593";"0.9";"0.7";"1.6";"100.0";"100.0";"100.0"
"17 Papierindustrie";"2006";"5903";"4270";"1633";"1691";"3.6";"2.6";"6.2";"101.7";"103.9";"96.6"
"17 Papierindustrie";"2007";"6090";"4380";"1710";"1654";"-1.5";"-1.2";"-2.2";"106.6";"107.9";"103.4"
"17 Papierindustrie";"2008";"5825";"4271";"1554";"1596";"-5.5";"-6.2";"-3.5";"107.8";"112.1";"97.4"
"17 Papierindustrie";"2009";"5034";"3654";"1380";"1436";"-9.9";"-9.8";"-10.0";"103.4";"106.4";"96.1"
"17 Papierindustrie";"2010**";"5547";"3950";"1597";"1535";"5.7";"5.2";"7.0";"107.7";"109.3";"104.0"
"17 Papierindustrie";"2011*";"5852";"4181";"1671";"1523";"0.2";"0.6";"-0.8";"113.4";"115.0";"109.7"
"18 Grafische industrie";"1988";"4254";"2434";"1820";"2075";".";".";".";"87.0";"86.4";"87.7"
"18 Grafische industrie";"1989";"4571";"2622";"1949";"2203";"5.7";"5.3";"6.2";"88.5";"88.4";"88.5"
"18 Grafische industrie";"1990";"4861";"2769";"2092";"2249";"4.0";"5.4";"2.1";"90.5";"88.6";"93.0"
"18 Grafische industrie";"1991";"5148";"2908";"2240";"2337";"4.1";"4.2";"3.9";"92.1";"89.3";"95.8"
"18 Grafische industrie";"1992";"5168";"2827";"2341";"2365";"-0.3";"-1.5";"1.2";"92.8";"88.1";"99.0"
"18 Grafische industrie";"1993";"5108";"2645";"2463";"2423";"-0.9";"-3.7";"2.4";"92.5";"85.6";"101.7"
"18 Grafische industrie";"1994";"5176";"2723";"2453";"2479";"1.8";"1.4";"2.3";"92.1";"87.0";"98.9"
"18 Grafische industrie";"1995";"5391";"2965";"2426";"2442";"0.3";"1.8";"-1.5";"95.7";"93.0";"99.4"
"18 Grafische industrie";"1996";"5584";"3096";"2488";"2431";"2.7";"5.2";"-0.5";"96.6";"92.3";"102.4"
"18 Grafische industrie";"1997";"5605";"3131";"2474";"2557";"3.2";"1.6";"5.2";"93.9";"91.9";"96.8"
"18 Grafische industrie";"1998";"5827";"3313";"2514";"2584";"3.0";"4.6";"1.1";"94.7";"93.0";"97.3"
"18 Grafische industrie";"1999";"5943";"3392";"2551";"2584";"1.1";"2.0";"0.0";"95.6";"93.4";"98.7"
"18 Grafische industrie";"2000";"6148";"3594";"2554";"2579";"0.7";"1.4";"-0.2";"98.2";"97.6";"99.0"
"18 Grafische industrie";"2001";"6266";"3714";"2552";"2531";"-1.4";"-1.0";"-1.9";"101.5";"101.9";"100.8"
"18 Grafische industrie";"2002";"5983";"3589";"2394";"2367";"-4.5";"-3.2";"-6.5";"101.5";"101.8";"101.1"
"18 Grafische industrie";"2003";"5612";"3412";"2200";"2226";"-5.0";"-4.4";"-6.0";"100.2";"101.2";"98.8"
"18 Grafische industrie";"2004";"5496";"3301";"2195";"2205";"-1.2";"-1.4";"-1.0";"99.4";"99.3";"99.6"
"18 Grafische industrie";"2005";"5585";"3303";"2282";"2282";"1.0";"-0.6";"3.5";"100.0";"100.0";"100.0"
"18 Grafische industrie";"2006";"5564";"3339";"2225";"2248";"-0.7";"-0.2";"-1.5";"100.3";"101.2";"99.0"
"18 Grafische industrie";"2007";"5863";"3557";"2306";"2357";"4.4";"4.0";"4.9";"101.3";"103.7";"97.8"
"18 Grafische industrie";"2008";"5696";"3450";"2246";"2328";"-3.1";"-4.4";"-1.2";"101.6";"105.2";"96.5"
"18 Grafische industrie";"2009";"5369";"3213";"2156";"2262";"-4.5";"-5.6";"-2.8";"100.3";"103.7";"95.3"
"18 Grafische industrie";"2010**";"5357";"3253";"2104";"2322";"1.7";"1.1";"2.6";"98.4";"103.9";"90.6"
"18 Grafische industrie";"2011*";"5479";"3409";"2070";"2348";"1.0";"1.0";"1.1";"99.6";"107.8";"88.1"
"19 Aardolie-industrie";"1988";"6538";"6134";"404";"2506";".";".";".";"32.9";"34.3";"16.1"
"19 Aardolie-industrie";"1989";"8393";"7767";"626";"3269";"6.4";"4.8";"30.4";"39.7";"41.5";"19.1"
"19 Aardolie-industrie";"1990";"8754";"8122";"632";"3091";"-3.9";"-3.8";"-5.4";"43.1";"45.1";"20.4"
"19 Aardolie-industrie";"1991";"8833";"7915";"918";"2866";"2.4";"3.2";"-7.3";"42.4";"42.6";"32.0"
"19 Aardolie-industrie";"1992";"8370";"7510";"860";"3463";"5.6";"3.8";"20.8";"38.1";"38.9";"24.8"
"19 Aardolie-industrie";"1993";"8153";"7176";"977";"3563";"1.1";"0.9";"2.9";"36.7";"36.9";"27.4"
"19 Aardolie-industrie";"1994";"7907";"6957";"950";"3589";"2.7";"2.9";"0.7";"34.7";"34.7";"26.5"
"19 Aardolie-industrie";"1995";"8070";"7402";"668";"3812";"6.6";"6.7";"6.2";"33.2";"34.7";"17.5"
"19 Aardolie-industrie";"1996";"9771";"9043";"728";"3618";"0.8";"1.4";"-5.1";"39.9";"41.8";"20.1"
"19 Aardolie-industrie";"1997";"10133";"9506";"627";"1918";"-3.2";"0.3";"-47.0";"42.7";"43.8";"32.7"
"19 Aardolie-industrie";"1998";"8266";"7058";"1208";"2157";"1.7";"1.0";"12.4";"34.3";"32.2";"56.0"
"19 Aardolie-industrie";"1999";"9839";"9189";"650";"2134";"-3.2";"-3.6";"-1.1";"42.2";"43.5";"30.5"
"19 Aardolie-industrie";"2000";"17353";"16145";"1208";"2679";"5.0";"3.5";"25.5";"70.8";"73.8";"45.1"
"19 Aardolie-industrie";"2001";"16201";"14590";"1611";"2441";"-0.5";"0.2";"-8.9";"66.4";"66.5";"66.0"
"19 Aardolie-industrie";"2002";"14717";"13234";"1483";"3061";"-3.2";"-6.3";"25.4";"62.3";"64.4";"48.4"
"19 Aardolie-industrie";"2003";"15209";"13266";"1943";"3166";"1.1";"0.8";"3.4";"63.7";"64.1";"61.4"
"19 Aardolie-industrie";"2004";"18293";"15889";"2404";"3298";"2.8";"2.7";"4.2";"74.5";"74.8";"72.9"
"19 Aardolie-industrie";"2005";"24446";"21116";"3330";"3330";"-0.4";"-0.6";"1.0";"100.0";"100.0";"100.0"
"19 Aardolie-industrie";"2006";"27568";"25201";"2367";"3204";"-0.3";"0.2";"-3.8";"113.2";"119.1";"73.9"
"19 Aardolie-industrie";"2007";"29677";"27222";"2455";"3476";"4.3";"3.9";"8.5";"116.8";"123.8";"70.6"
"19 Aardolie-industrie";"2008";"37088";"34038";"3050";"3744";"2.7";"2.2";"7.7";"142.2";"151.5";"81.5"
"19 Aardolie-industrie";"2009";"26495";"24250";"2245";"3574";"1.0";"1.5";"-4.5";"100.5";"106.3";"62.8"
"19 Aardolie-industrie";"2010**";"34963";"32712";"2251";"3207";"0.8";"1.8";"-10.3";"131.7";"140.9";"70.2"
"19 Aardolie-industrie";"2011*";"43641";"40875";"2766";"3252";"-1.7";"-1.9";"1.4";"167.2";"179.5";"85.1"
"20 Chemische industrie";"1988";"18151";"12013";"6138";"5399";".";".";".";"76.4";"65.6";"113.7"
"20 Chemische industrie";"1989";"19432";"13168";"6264";"5622";"4.4";"4.6";"4.1";"78.3";"68.8";"111.4"
"20 Chemische industrie";"1990";"19448";"13571";"5877";"5768";"2.8";"3.0";"2.6";"76.2";"68.9";"101.9"
"20 Chemische industrie";"1991";"18705";"13528";"5177";"5433";"-1.8";"-0.1";"-5.8";"74.7";"68.7";"95.3"
"20 Chemische industrie";"1992";"17869";"12915";"4954";"5437";"0.6";"0.8";"0.1";"70.9";"65.1";"91.1"
"20 Chemische industrie";"1993";"17742";"12449";"5293";"5652";"1.5";"0.5";"4.0";"69.4";"62.4";"93.6"
"20 Chemische industrie";"1994";"19400";"13400";"6000";"5936";"6.6";"7.3";"5.0";"71.2";"62.6";"101.1"
"20 Chemische industrie";"1995";"22217";"14990";"7227";"6300";"7.9";"8.6";"6.1";"75.6";"64.5";"114.7"
"20 Chemische industrie";"1996";"22513";"15508";"7005";"6550";"2.4";"1.7";"4.0";"74.8";"65.6";"106.9"
"20 Chemische industrie";"1997";"24500";"17278";"7222";"6524";"4.5";"6.8";"-0.4";"77.8";"68.5";"110.7"
"20 Chemische industrie";"1998";"23385";"16480";"6905";"6592";"0.6";"0.4";"1.0";"73.9";"65.0";"104.7"
"20 Chemische industrie";"1999";"24105";"17263";"6842";"7068";"3.8";"2.4";"7.2";"73.3";"66.6";"96.8"
"20 Chemische industrie";"2000";"30176";"22773";"7403";"7262";"6.3";"7.6";"2.7";"86.4";"81.6";"101.9"
"20 Chemische industrie";"2001";"30436";"22763";"7673";"8005";"2.2";"-0.4";"10.2";"85.2";"81.8";"95.9"
"20 Chemische industrie";"2002";"30325";"22131";"8195";"8660";"2.2";"0.2";"8.2";"83.1";"79.4";"94.6"
"20 Chemische industrie";"2003";"31080";"22683";"8397";"8790";"0.5";"0.2";"1.5";"84.7";"81.3";"95.5"
"20 Chemische industrie";"2004";"35756";"26399";"9357";"9598";"7.3";"6.6";"9.2";"90.9";"88.7";"97.5"
"20 Chemische industrie";"2005";"39824";"30161";"9663";"9663";"1.2";"1.4";"0.7";"100.0";"100.0";"100.0"
"20 Chemische industrie";"2006";"44145";"33811";"10334";"10226";"3.3";"2.5";"5.8";"107.3";"109.3";"101.1"
"20 Chemische industrie";"2007";"46719";"35887";"10832";"10597";"3.2";"3.0";"3.6";"110.0";"112.6";"102.2"
"20 Chemische industrie";"2008";"47212";"36798";"10414";"9939";"-6.1";"-6.0";"-6.2";"118.4";"122.9";"104.8"
"20 Chemische industrie";"2009";"37746";"30413";"7333";"9455";"-3.0";"-2.5";"-4.9";"97.6";"104.2";"77.6"
"20 Chemische industrie";"2010**";"48442";"37911";"10531";"10624";"8.7";"7.9";"12.4";"115.2";"120.4";"99.1"
"20 Chemische industrie";"2011*";"54386";"42647";"11739";"10328";"-2.8";"-2.8";"-2.8";"133.0";"139.3";"113.7"
"21 Farmaceutische industrie";"1988";"2210";"1682";"528";"383";".";".";".";"93.8";"83.1";"138.0"
"21 Farmaceutische industrie";"1989";"2384";"1847";"537";"408";"7.5";"7.8";"6.6";"94.1";"84.6";"131.6"
"21 Farmaceutische industrie";"1990";"2512";"1903";"609";"447";"5.9";"4.8";"9.7";"93.6";"83.2";"136.1"
"21 Farmaceutische industrie";"1991";"2803";"2063";"740";"556";"11.1";"6.9";"24.3";"94.0";"84.4";"133.1"
"21 Farmaceutische industrie";"1992";"2930";"2137";"793";"564";"3.4";"4.0";"1.5";"95.1";"84.1";"140.5"
"21 Farmaceutische industrie";"1993";"3020";"2225";"795";"558";"2.5";"3.9";"-1.1";"95.6";"84.3";"142.5"
"21 Farmaceutische industrie";"1994";"3222";"2331";"891";"609";"5.4";"4.0";"9.2";"96.8";"84.8";"146.2"
"21 Farmaceutische industrie";"1995";"3522";"2488";"1034";"710";"8.8";"5.8";"16.5";"97.3";"85.6";"145.7"
"21 Farmaceutische industrie";"1996";"3725";"2748";"977";"678";"6.0";"10.5";"-4.5";"97.0";"85.6";"144.2"
"21 Farmaceutische industrie";"1997";"4043";"2916";"1127";"774";"7.1";"4.5";"14.2";"98.3";"86.9";"145.6"
"21 Farmaceutische industrie";"1998";"4284";"3138";"1146";"777";"4.9";"6.7";"0.4";"99.3";"87.6";"147.4"
"21 Farmaceutische industrie";"1999";"4620";"3423";"1197";"851";"9.4";"9.3";"9.5";"97.9";"87.5";"140.6"
"21 Farmaceutische industrie";"2000";"5066";"3857";"1209";"915";"5.9";"5.3";"7.5";"101.4";"93.6";"132.1"
"21 Farmaceutische industrie";"2001";"5409";"4037";"1372";"1091";"6.0";"1.9";"19.2";"102.1";"96.1";"125.8"
"21 Farmaceutische industrie";"2002";"5928";"4361";"1567";"1259";"10.0";"8.2";"15.5";"101.7";"96.0";"124.4"
"21 Farmaceutische industrie";"2003";"5896";"4486";"1410";"1221";"1.0";"2.4";"-3.1";"100.2";"96.4";"115.5"
"21 Farmaceutische industrie";"2004";"5832";"4551";"1281";"1147";"-1.2";"0.3";"-6.0";"100.3";"97.5";"111.7"
"21 Farmaceutische industrie";"2005";"5811";"4661";"1150";"1150";"0.0";"-0.1";"0.2";"100.0";"100.0";"100.0"
"21 Farmaceutische industrie";"2006";"5975";"4904";"1071";"1227";"2.9";"2.0";"6.7";"99.9";"103.2";"87.3"
"21 Farmaceutische industrie";"2007";"6358";"5248";"1110";"1406";"5.0";"2.9";"14.6";"101.3";"107.3";"79.0"
"21 Farmaceutische industrie";"2008";"6187";"4880";"1307";"1237";"-7.1";"-6.1";"-12.0";"106.1";"106.3";"105.6"
"21 Farmaceutische industrie";"2009";"5949";"4453";"1496";"1296";"-1.3";"-2.9";"4.7";"103.4";"99.9";"115.4"
"21 Farmaceutische industrie";"2010**";"6230";"4902";"1328";"1296";"2.2";"2.9";"0.0";"106.0";"106.9";"102.5"
"21 Farmaceutische industrie";"2011*";"6762";"5439";"1323";"1396";"5.6";"5.1";"7.8";"108.9";"112.9";"94.7"
"22 Rubber- en kunststofproductindustrie";"1988";"3461";"2281";"1180";"1189";".";".";".";"86.3";"80.8";"99.3"
"22 Rubber- en kunststofproductindustrie";"1989";"3878";"2538";"1340";"1343";"10.4";"9.1";"13.0";"87.5";"82.4";"99.8"
"22 Rubber- en kunststofproductindustrie";"1990";"4123";"2664";"1459";"1432";"6.3";"6.2";"6.6";"87.5";"81.5";"101.9"
"22 Rubber- en kunststofproductindustrie";"1991";"4299";"2727";"1572";"1488";"2.6";"2.0";"3.9";"88.9";"81.8";"105.7"
"22 Rubber- en kunststofproductindustrie";"1992";"4308";"2670";"1638";"1508";"0.6";"0.1";"1.3";"88.6";"80.0";"108.6"
"22 Rubber- en kunststofproductindustrie";"1993";"4049";"2525";"1524";"1462";"-3.1";"-3.2";"-3.0";"85.9";"78.2";"104.2"
"22 Rubber- en kunststofproductindustrie";"1994";"4262";"2716";"1546";"1538";"6.1";"6.7";"5.2";"85.2";"78.8";"100.5"
"22 Rubber- en kunststofproductindustrie";"1995";"4559";"2979";"1580";"1538";"2.1";"3.4";"0.0";"89.3";"83.7";"102.7"
"22 Rubber- en kunststofproductindustrie";"1996";"4531";"2890";"1641";"1522";"0.7";"1.6";"-1.1";"88.1";"79.9";"107.8"
"22 Rubber- en kunststofproductindustrie";"1997";"4868";"3198";"1670";"1631";"7.5";"7.6";"7.2";"88.1";"82.1";"102.4"
"22 Rubber- en kunststofproductindustrie";"1998";"5193";"3383";"1810";"1722";"6.3";"6.7";"5.6";"88.4";"81.4";"105.1"
"22 Rubber- en kunststofproductindustrie";"1999";"5355";"3462";"1893";"1780";"2.7";"2.3";"3.4";"88.8";"81.5";"106.3"
"22 Rubber- en kunststofproductindustrie";"2000";"5706";"3864";"1842";"1816";"2.5";"2.7";"2.0";"92.3";"88.5";"101.4"
"22 Rubber- en kunststofproductindustrie";"2001";"5823";"3952";"1871";"1803";"0.0";"0.3";"-0.7";"94.3";"90.3";"103.8"
"22 Rubber- en kunststofproductindustrie";"2002";"5984";"4023";"1961";"1869";"2.6";"2.0";"3.6";"94.5";"90.1";"105.0"
"22 Rubber- en kunststofproductindustrie";"2003";"6019";"4051";"1968";"1801";"-0.8";"0.5";"-3.6";"95.8";"90.2";"109.3"
"22 Rubber- en kunststofproductindustrie";"2004";"6103";"4205";"1898";"1855";"1.1";"0.1";"3.0";"96.1";"93.5";"102.3"
"22 Rubber- en kunststofproductindustrie";"2005";"6532";"4598";"1934";"1934";"2.9";"2.2";"4.3";"100.0";"100.0";"100.0"
"22 Rubber- en kunststofproductindustrie";"2006";"6972";"4985";"1987";"2052";"3.9";"3.0";"6.1";"102.7";"105.2";"96.8"
"22 Rubber- en kunststofproductindustrie";"2007";"7387";"5302";"2085";"2216";"4.1";"2.5";"8.0";"104.5";"109.1";"94.1"
"22 Rubber- en kunststofproductindustrie";"2008";"7414";"5372";"2042";"2179";"-2.1";"-2.2";"-1.7";"107.1";"113.1";"93.7"
"22 Rubber- en kunststofproductindustrie";"2009";"6509";"4348";"2161";"1955";"-11.4";"-11.9";"-10.3";"106.2";"103.9";"110.5"
"22 Rubber- en kunststofproductindustrie";"2010**";"7061";"4995";"2066";"2133";"6.6";"5.4";"9.1";"108.0";"113.2";"96.9"
"22 Rubber- en kunststofproductindustrie";"2011*";"7611";"5531";"2080";"2202";"2.7";"2.5";"3.2";"113.4";"122.3";"94.4"
"23 Bouwmaterialenindustrie";"1988";"3718";"2242";"1476";"1905";".";".";".";"76.5";"76.2";"77.5"
"23 Bouwmaterialenindustrie";"1989";"3984";"2397";"1587";"1981";"4.7";"5.1";"4.0";"78.3";"77.6";"80.1"
"23 Bouwmaterialenindustrie";"1990";"4235";"2582";"1653";"1998";"3.4";"5.1";"0.8";"80.5";"79.5";"82.7"
"23 Bouwmaterialenindustrie";"1991";"4277";"2616";"1661";"1921";"-1.7";"-0.4";"-3.8";"82.7";"80.8";"86.4"
"23 Bouwmaterialenindustrie";"1992";"4233";"2589";"1644";"1825";"-3.0";"-1.7";"-5.0";"84.4";"81.4";"90.1"
"23 Bouwmaterialenindustrie";"1993";"4172";"2533";"1639";"1736";"-3.2";"-2.2";"-4.9";"86.0";"81.4";"94.4"
"23 Bouwmaterialenindustrie";"1994";"4519";"2690";"1829";"1900";"6.8";"5.0";"9.5";"87.2";"82.3";"96.3"
"23 Bouwmaterialenindustrie";"1995";"4620";"2769";"1851";"1889";"0.4";"1.1";"-0.5";"88.8";"83.8";"98.0"
"23 Bouwmaterialenindustrie";"1996";"4827";"2938";"1889";"1946";"4.1";"4.8";"3.0";"89.2";"84.9";"97.1"
"23 Bouwmaterialenindustrie";"1997";"4991";"3164";"1827";"1875";"2.5";"6.5";"-3.7";"89.9";"85.9";"97.4"
"23 Bouwmaterialenindustrie";"1998";"5231";"3339";"1892";"1909";"3.4";"4.3";"1.8";"91.2";"86.9";"99.1"
"23 Bouwmaterialenindustrie";"1999";"5548";"3539";"2009";"2003";"5.1";"5.2";"4.9";"92.0";"87.6";"100.3"
"23 Bouwmaterialenindustrie";"2000";"5928";"3784";"2144";"2097";"4.2";"3.9";"4.7";"94.4";"90.1";"102.3"
"23 Bouwmaterialenindustrie";"2001";"6124";"3879";"2245";"2103";"-1.2";"-2.1";"0.3";"98.7";"94.4";"106.8"
"23 Bouwmaterialenindustrie";"2002";"5931";"3727";"2204";"1985";"-5.2";"-4.9";"-5.6";"100.9";"95.4";"111.1"
"23 Bouwmaterialenindustrie";"2003";"5646";"3602";"2044";"1855";"-5.3";"-4.5";"-6.5";"101.4";"96.6";"110.2"
"23 Bouwmaterialenindustrie";"2004";"5660";"3601";"2059";"1994";"1.9";"-1.2";"7.5";"99.7";"97.8";"103.3"
"23 Bouwmaterialenindustrie";"2005";"5738";"3720";"2018";"2018";"1.1";"1.0";"1.2";"100.0";"100.0";"100.0"
"23 Bouwmaterialenindustrie";"2006";"6364";"4114";"2250";"2170";"7.4";"7.3";"7.5";"103.3";"103.1";"103.7"
"23 Bouwmaterialenindustrie";"2007";"6956";"4452";"2504";"2230";"4.4";"5.3";"2.8";"108.2";"106.0";"112.3"
"23 Bouwmaterialenindustrie";"2008";"7280";"4734";"2546";"2211";"0.1";"0.7";"-0.8";"113.1";"112.0";"115.1"
"23 Bouwmaterialenindustrie";"2009";"6385";"3910";"2475";"1885";"-14.6";"-14.6";"-14.8";"116.2";"108.2";"131.3"
"23 Bouwmaterialenindustrie";"2010**";"5917";"3668";"2249";"1747";"-7.0";"-6.9";"-7.3";"115.8";"109.1";"128.7"
"23 Bouwmaterialenindustrie";"2011*";"6338";"4005";"2333";"1858";"5.3";"4.6";"6.3";"117.9";"113.8";"125.6"
"24 Basismetaalindustrie";"1988";"4509";"2764";"1745";"1872";".";".";".";"81.1";"76.2";"93.2"
"24 Basismetaalindustrie";"1989";"5318";"3243";"2075";"1973";"8.3";"10.2";"5.4";"88.3";"81.1";"105.2"
"24 Basismetaalindustrie";"1990";"4864";"3098";"1766";"1894";"-1.7";"-0.3";"-4.0";"82.2";"77.7";"93.2"
"24 Basismetaalindustrie";"1991";"4567";"2966";"1601";"1832";"-1.9";"-1.1";"-3.3";"78.7";"75.2";"87.4"
"24 Basismetaalindustrie";"1992";"4276";"2867";"1409";"1764";"-2.1";"-1.2";"-3.7";"75.3";"73.7";"79.9"
"24 Basismetaalindustrie";"1993";"4051";"2699";"1352";"1688";"-3.3";"-2.8";"-4.3";"73.8";"71.4";"80.1"
"24 Basismetaalindustrie";"1994";"4513";"2996";"1517";"1832";"8.0";"7.8";"8.5";"76.1";"73.5";"82.8"
"24 Basismetaalindustrie";"1995";"5187";"3387";"1800";"1937";"7.5";"8.4";"5.7";"81.3";"76.7";"92.9"
"24 Basismetaalindustrie";"1996";"4814";"3258";"1556";"1931";"-1.3";"-1.7";"-0.3";"76.4";"75.0";"80.6"
"24 Basismetaalindustrie";"1997";"5436";"3759";"1677";"2085";"8.5";"8.7";"8.0";"79.6";"79.6";"80.5"
"24 Basismetaalindustrie";"1998";"5713";"3994";"1719";"2119";"5.2";"6.7";"1.7";"79.5";"79.3";"81.1"
"24 Basismetaalindustrie";"1999";"5284";"3826";"1458";"2060";"-2.1";"-1.8";"-2.8";"75.1";"77.3";"70.8"
"24 Basismetaalindustrie";"2000";"6289";"4286";"2003";"2163";"2.7";"1.8";"5.0";"87.1";"85.1";"92.6"
"24 Basismetaalindustrie";"2001";"5878";"4284";"1594";"2137";"-2.8";"-3.5";"-1.2";"83.7";"88.2";"74.6"
"24 Basismetaalindustrie";"2002";"5671";"4094";"1577";"2192";"-0.7";"-1.9";"2.6";"81.3";"85.9";"71.9"
"24 Basismetaalindustrie";"2003";"5782";"4017";"1765";"2269";"0.8";"-0.2";"3.5";"82.3";"84.5";"77.8"
"24 Basismetaalindustrie";"2004";"7042";"4736";"2306";"2567";"10.2";"8.8";"13.1";"91.0";"91.5";"89.8"
"24 Basismetaalindustrie";"2005";"7531";"5043";"2488";"2488";"-2.7";"-2.5";"-3.1";"100.0";"100.0";"100.0"
"24 Basismetaalindustrie";"2006";"8576";"5995";"2581";"2548";"3.7";"4.3";"2.4";"109.8";"114.0";"101.3"
"24 Basismetaalindustrie";"2007";"9298";"6605";"2693";"2729";"5.3";"4.5";"7.1";"113.1";"120.2";"98.7"
"24 Basismetaalindustrie";"2008";"9098";"6971";"2127";"2730";"-1.4";"-2.0";"0.0";"112.2";"129.4";"77.9"
"24 Basismetaalindustrie";"2009";"6195";"4827";"1368";"2184";"-21.0";"-21.3";"-20.0";"96.7";"113.8";"62.6"
"24 Basismetaalindustrie";"2010**";"8379";"6680";"1699";"2799";"22.6";"21.0";"28.1";"106.7";"130.1";"60.7"
"24 Basismetaalindustrie";"2011*";"8900";"7209";"1691";"2702";"-1.2";"-0.6";"-3.5";"114.7";"141.3";"62.6"
"25 Metaalproductenindustrie";"1988";"7913";"5057";"2856";"3492";".";".";".";"77.9";"75.8";"81.8"
"25 Metaalproductenindustrie";"1989";"8684";"5636";"3048";"3658";"6.5";"7.5";"4.8";"80.2";"78.6";"83.3"
"25 Metaalproductenindustrie";"1990";"9482";"6173";"3309";"3823";"7.8";"9.5";"4.5";"81.3";"78.6";"86.6"
"25 Metaalproductenindustrie";"1991";"10006";"6360";"3646";"4075";"4.4";"3.2";"6.6";"82.2";"78.5";"89.5"
"25 Metaalproductenindustrie";"1992";"10019";"6246";"3773";"4123";"-0.8";"-1.9";"1.2";"82.9";"78.6";"91.5"
"25 Metaalproductenindustrie";"1993";"9375";"5795";"3580";"3895";"-6.3";"-6.7";"-5.5";"82.8";"78.2";"91.9"
"25 Metaalproductenindustrie";"1994";"9822";"6204";"3618";"4117";"5.1";"4.8";"5.7";"82.5";"79.9";"87.9"
"25 Metaalproductenindustrie";"1995";"10482";"6684";"3798";"4298";"4.1";"4.0";"4.4";"84.6";"82.8";"88.4"
"25 Metaalproductenindustrie";"1996";"11054";"7072";"3982";"4417";"5.1";"6.5";"2.8";"84.9";"82.3";"90.1"
"25 Metaalproductenindustrie";"1997";"11700";"7651";"4049";"4361";"4.3";"7.5";"-1.3";"86.1";"82.8";"92.9"
"25 Metaalproductenindustrie";"1998";"12571";"8289";"4282";"4481";"5.1";"6.3";"2.8";"88.0";"84.4";"95.6"
"25 Metaalproductenindustrie";"1999";"12867";"8358";"4509";"4470";"0.4";"0.7";"-0.3";"89.8";"84.5";"100.9"
"25 Metaalproductenindustrie";"2000";"13750";"9101";"4649";"4824";"5.0";"3.5";"7.9";"91.4";"88.9";"96.4"
"25 Metaalproductenindustrie";"2001";"13831";"9094";"4737";"4821";"-1.1";"-1.6";"-0.1";"92.9";"90.3";"98.3"
"25 Metaalproductenindustrie";"2002";"13513";"8973";"4540";"4643";"-2.9";"-2.6";"-3.7";"93.5";"91.5";"97.8"
"25 Metaalproductenindustrie";"2003";"13207";"8768";"4439";"4511";"-3.2";"-3.4";"-2.9";"94.5";"92.6";"98.4"
"25 Metaalproductenindustrie";"2004";"13963";"9398";"4565";"4677";"2.9";"2.5";"3.7";"97.0";"96.7";"97.6"
"25 Metaalproductenindustrie";"2005";"15080";"10117";"4963";"4963";"4.8";"4.1";"6.1";"100.0";"100.0";"100.0"
"25 Metaalproductenindustrie";"2006";"16236";"11061";"5175";"5139";"4.5";"4.9";"3.5";"103.1";"104.2";"100.7"
