"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Perioden";"Sectoren";"Balansposten";"Totaal energieaanbod";"Totaal energieverbruik"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1998";"Particuliere huishoudens";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1998";"Landbouw, visserij en dienstverlening";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1998";"Landbouw";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1998";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1998";"E Waterbedrijven en afvalbeheer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1998";"G-U Dienstverlening";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Nederland totaal";"PJ";"1.74";"1.74"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Energiesector";"PJ";"-4.52";"-4.52"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"06 Winning van aardolie en aardgas";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Cokesfabrieken";"PJ";"-4.52";"-4.52"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"192 Aardolie-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"35 Energiebedrijven";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Totaal energieafnemers";"PJ";"6.26";"6.26"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Nijverheid (geen energiesector)";"PJ";"6.26";"6.26"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"16 Houtindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"17-18 Papier- en grafische industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"20-21 Chemie en farmaceutische industrie";"PJ";"4.59";"4.59"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Basischemie zonder 2013-2015";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"2013 Overige anorganische basischemie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"2014 Overige organische basischemie";"PJ";"4.59";"4.59"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"2015 Kunstmestindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Chemische en farmaceutische producten";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"23 Bouwmaterialenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"24 Basismetaalindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"IJzer- en staalindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Non-ferrometalenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"25-28 Metaalproducten/machine-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"29-30 Transportmiddelenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"31-33 Overige industrie en reparatie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"F Bouwnijverheid";"PJ";"1.67";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Vervoer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Railverkeer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Wegverkeer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Scheepvaart";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Luchtvaart";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Particuliere huishoudens";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Landbouw, visserij en dienstverlening";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Landbouw";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"E Waterbedrijven en afvalbeheer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"1999";"G-U Dienstverlening";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Nederland totaal";"PJ";"2.32";"2.32"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Energiesector";"PJ";"-4.14";"-4.14"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"06 Winning van aardolie en aardgas";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Cokesfabrieken";"PJ";"-4.14";"-4.14"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"192 Aardolie-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"35 Energiebedrijven";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Totaal energieafnemers";"PJ";"6.45";"6.45"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Nijverheid (geen energiesector)";"PJ";"6.45";"6.45"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"16 Houtindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"17-18 Papier- en grafische industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"20-21 Chemie en farmaceutische industrie";"PJ";"4.08";"4.08"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Basischemie zonder 2013-2015";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"2013 Overige anorganische basischemie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"2014 Overige organische basischemie";"PJ";"4.08";"4.08"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"2015 Kunstmestindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Chemische en farmaceutische producten";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"23 Bouwmaterialenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"24 Basismetaalindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"IJzer- en staalindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Non-ferrometalenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"25-28 Metaalproducten/machine-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"29-30 Transportmiddelenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"31-33 Overige industrie en reparatie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"F Bouwnijverheid";"PJ";"2.38";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Vervoer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Railverkeer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Wegverkeer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Scheepvaart";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Luchtvaart";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Particuliere huishoudens";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Landbouw, visserij en dienstverlening";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Landbouw";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"E Waterbedrijven en afvalbeheer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2000";"G-U Dienstverlening";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Nederland totaal";"PJ";"3.40";"3.40"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Energiesector";"PJ";"-3.79";"-3.79"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"06 Winning van aardolie en aardgas";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Cokesfabrieken";"PJ";"-3.79";"-3.79"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"192 Aardolie-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"35 Energiebedrijven";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Totaal energieafnemers";"PJ";"7.19";"7.19"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Nijverheid (geen energiesector)";"PJ";"7.19";"7.19"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"16 Houtindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"17-18 Papier- en grafische industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"20-21 Chemie en farmaceutische industrie";"PJ";"3.78";"3.78"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Basischemie zonder 2013-2015";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"2013 Overige anorganische basischemie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"2014 Overige organische basischemie";"PJ";"3.78";"3.78"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"2015 Kunstmestindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Chemische en farmaceutische producten";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"23 Bouwmaterialenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"24 Basismetaalindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"IJzer- en staalindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Non-ferrometalenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"25-28 Metaalproducten/machine-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"29-30 Transportmiddelenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"31-33 Overige industrie en reparatie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"F Bouwnijverheid";"PJ";"3.42";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Vervoer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Railverkeer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Wegverkeer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Scheepvaart";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Luchtvaart";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Particuliere huishoudens";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Landbouw, visserij en dienstverlening";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Landbouw";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"E Waterbedrijven en afvalbeheer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2001";"G-U Dienstverlening";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Nederland totaal";"PJ";"3.76";"3.76"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Energiesector";"PJ";"-3.59";"-3.59"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"06 Winning van aardolie en aardgas";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Cokesfabrieken";"PJ";"-3.59";"-3.59"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"192 Aardolie-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"35 Energiebedrijven";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Totaal energieafnemers";"PJ";"7.35";"7.35"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Nijverheid (geen energiesector)";"PJ";"7.35";"7.35"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"16 Houtindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"17-18 Papier- en grafische industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"20-21 Chemie en farmaceutische industrie";"PJ";"3.37";"3.37"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Basischemie zonder 2013-2015";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"2013 Overige anorganische basischemie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"2014 Overige organische basischemie";"PJ";"3.37";"3.37"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"2015 Kunstmestindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Chemische en farmaceutische producten";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"23 Bouwmaterialenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"24 Basismetaalindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"IJzer- en staalindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Non-ferrometalenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"25-28 Metaalproducten/machine-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"29-30 Transportmiddelenindustrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"31-33 Overige industrie en reparatie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"F Bouwnijverheid";"PJ";"3.98";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Vervoer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Railverkeer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Wegverkeer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Scheepvaart";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Luchtvaart";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Particuliere huishoudens";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Landbouw, visserij en dienstverlening";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Landbouw";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"E Waterbedrijven en afvalbeheer";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2002";"G-U Dienstverlening";"PJ";"-";"."
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2003";"Nederland totaal";"PJ";"3.77";"3.77"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2003";"Energiesector";"PJ";"-3.99";"-3.99"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2003";"06 Winning van aardolie en aardgas";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2003";"Cokesfabrieken";"PJ";"-3.99";"-3.99"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2003";"192 Aardolie-industrie";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2003";"35 Energiebedrijven";"PJ";"-";"-"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2003";"Totaal energieafnemers";"PJ";"7.76";"7.76"
"Energiedragers in petajoule";"Steenkool en steenkoolproducten";"Steenkoolproducten";"Andere steenkoolproducten";"2003";"Nijverheid (geen energiesector)";"PJ";"7.76";"7.76"
