Jaar;Omschrijving;Secties;Eac_Type;Afsplitsing;Fusie;Geboorte;Overname;Sterfte;Uiteenvallen
2007;3 Middenbedrijf;R;2;;1;;;;1
2007;3 Middenbedrijf;S;1;;;5;;;
2007;3 Middenbedrijf;S;2;;1;;4;3;
2007;4 Grootbedrijf;C;1;;9;;;;1
2007;4 Grootbedrijf;C;2;;4;;;6;3
2007;4 Grootbedrijf;E;1;;2;;;;
2007;4 Grootbedrijf;E;2;;1;;;;
2007;4 Grootbedrijf;F;1;;5;;;;
2007;4 Grootbedrijf;F;2;;1;;;2;
2007;4 Grootbedrijf;G;1;1;6;2;;;
2007;4 Grootbedrijf;G;2;;5;;;5;1
2007;4 Grootbedrijf;H;1;3;;2;;;
2007;4 Grootbedrijf;H;2;;;;4;;2
2007;4 Grootbedrijf;I;1;;3;;;;
2007;4 Grootbedrijf;I;2;;2;;;;
2007;4 Grootbedrijf;J;1;;4;1;;;
2007;4 Grootbedrijf;J;2;;4;;1;3;
2007;4 Grootbedrijf;K;1;2;;;;;
2007;4 Grootbedrijf;K;2;;;;1;1;
2007;4 Grootbedrijf;L;2;;;;1;;
2007;4 Grootbedrijf;M;1;;1;1;;;
2007;4 Grootbedrijf;M;2;;1;;2;3;
2007;4 Grootbedrijf;N;1;;4;;;;2
2007;4 Grootbedrijf;N;2;;4;;4;;2
2007;4 Grootbedrijf;O;1;;;10;;;
2007;4 Grootbedrijf;O;2;;;;2;6;
2007;4 Grootbedrijf;P;1;;;2;;;
2007;4 Grootbedrijf;P;2;;;;1;2;
2007;4 Grootbedrijf;Q;1;1;13;9;;;17
2007;4 Grootbedrijf;Q;2;;21;;7;12;7
2007;4 Grootbedrijf;S;1;;;;;;1
2007;4 Grootbedrijf;S;2;;1;;;;
2008;1 Microbedrijf;A;1;28;4;4993;;;7
2008;1 Microbedrijf;A;2;;7;;40;4497;3
2008;1 Microbedrijf;B;1;3;;48;;;1
2008;1 Microbedrijf;B;2;;;;6;32;
2008;1 Microbedrijf;C;1;110;3;4624;;;15
2008;1 Microbedrijf;C;2;;22;;140;3135;5
2008;1 Microbedrijf;D;1;3;;162;;;
2008;1 Microbedrijf;D;2;;1;;5;97;1
2008;1 Microbedrijf;E;1;13;;149;;;1
2008;1 Microbedrijf;E;2;;;;16;104;
2008;1 Microbedrijf;F;1;127;5;13846;;;6
