"B Delfstoffenwinning";"Grootteklasse";"3 tot 5 werkzame personen";"2009";"aantal";"30"
"B Delfstoffenwinning";"Grootteklasse";"3 tot 5 werkzame personen";"2010";"aantal";"30"
"B Delfstoffenwinning";"Grootteklasse";"5 tot 10 werkzame personen";"2006";"aantal";"30"
"B Delfstoffenwinning";"Grootteklasse";"5 tot 10 werkzame personen";"2007";"aantal";"35"
"B Delfstoffenwinning";"Grootteklasse";"5 tot 10 werkzame personen";"2008";"aantal";"25"
"B Delfstoffenwinning";"Grootteklasse";"5 tot 10 werkzame personen";"2009";"aantal";"30"
"B Delfstoffenwinning";"Grootteklasse";"5 tot 10 werkzame personen";"2010";"aantal";"30"
"B Delfstoffenwinning";"Grootteklasse";"10 tot 20 werkzame personen";"2006";"aantal";"35"
"B Delfstoffenwinning";"Grootteklasse";"10 tot 20 werkzame personen";"2007";"aantal";"35"
"B Delfstoffenwinning";"Grootteklasse";"10 tot 20 werkzame personen";"2008";"aantal";"25"
"B Delfstoffenwinning";"Grootteklasse";"10 tot 20 werkzame personen";"2009";"aantal";"30"
"B Delfstoffenwinning";"Grootteklasse";"10 tot 20 werkzame personen";"2010";"aantal";"30"
"B Delfstoffenwinning";"Grootteklasse";"20 tot 50 werkzame personen";"2006";"aantal";"25"
"B Delfstoffenwinning";"Grootteklasse";"20 tot 50 werkzame personen";"2007";"aantal";"25"
"B Delfstoffenwinning";"Grootteklasse";"20 tot 50 werkzame personen";"2008";"aantal";"25"
"B Delfstoffenwinning";"Grootteklasse";"20 tot 50 werkzame personen";"2009";"aantal";"25"
"B Delfstoffenwinning";"Grootteklasse";"20 tot 50 werkzame personen";"2010";"aantal";"25"
"B Delfstoffenwinning";"Grootteklasse";"50 tot 100 werkzame personen";"2006";"aantal";"10"
"B Delfstoffenwinning";"Grootteklasse";"50 tot 100 werkzame personen";"2007";"aantal";"15"
"B Delfstoffenwinning";"Grootteklasse";"50 tot 100 werkzame personen";"2008";"aantal";"10"
