"X","Onderwerpen","Indexcijfers.omzet","Omzetontwikkeling"
"Bedrijfstak/branches (SBI 2008)","Perioden","2005 = 100","%"
"51 Vervoer door de lucht","2005 4e kwartaal","102,8"," "
"51 Vervoer door de lucht","2005","100,0"," "
"51 Vervoer door de lucht","2006 1e kwartaal","96,6","14,5"
"51 Vervoer door de lucht","2006 2e kwartaal","111,6","12,1"
"51 Vervoer door de lucht","2006 3e kwartaal","124,1","9,4"
"51 Vervoer door de lucht","2006 4e kwartaal","110,1","7,2"
"51 Vervoer door de lucht","2006","110,6","10,6"
"51 Vervoer door de lucht","2007 1e kwartaal","104,4","8,1"
"51 Vervoer door de lucht","2007 2e kwartaal","121,3","8,7"
"51 Vervoer door de lucht","2007 3e kwartaal","131,6","6,1"
"51 Vervoer door de lucht","2007 4e kwartaal","115,0","4,4"
"51 Vervoer door de lucht","2007","118,1","6,8"
"51 Vervoer door de lucht","2008 1e kwartaal","106,9","2,3"
"51 Vervoer door de lucht","2008 2e kwartaal","129,7","6,9"
"51 Vervoer door de lucht","2008 3e kwartaal","134,0","1,8"
"51 Vervoer door de lucht","2008 4e kwartaal","115,5","0,5"
"51 Vervoer door de lucht","2008","121,5","2,9"
"51 Vervoer door de lucht","2009 1e kwartaal","83,6","-21,8"
"51 Vervoer door de lucht","2009 2e kwartaal","96,1","-25,9"
"51 Vervoer door de lucht","2009 3e kwartaal","112,2","-16,3"
"51 Vervoer door de lucht","2009 4e kwartaal","99,5","-13,9"
"51 Vervoer door de lucht","2009","97,8","-19,5"
"51 Vervoer door de lucht","2010 1e kwartaal","87,3","4,4"
"51 Vervoer door de lucht","2010 2e kwartaal","101,9","6,0"
"51 Vervoer door de lucht","2010 3e kwartaal","123,5","10,1"
"51 Vervoer door de lucht","2010 4e kwartaal","105,2","5,8"
"51 Vervoer door de lucht","2010","104,5","6,8"
"51 Vervoer door de lucht","2011 1e kwartaal","95,1","9,0"
"51 Vervoer door de lucht","2011 2e kwartaal","112,3","10,2"
"51 Vervoer door de lucht","2011 3e kwartaal","127,5","3,2"
"51 Vervoer door de lucht","2011 4e kwartaal","108,2","2,8"
"51 Vervoer door de lucht","2011","110,8","6,0"
"51 Vervoer door de lucht","2012 1e kwartaal**","101,9","7,2"
"51 Vervoer door de lucht","2012 2e kwartaal*","120,7","7,5"
"52 Opslag, dienstverlening voor vervoer","2005 1e kwartaal","92,7"," "
"52 Opslag, dienstverlening voor vervoer","2005 2e kwartaal","100,4"," "
"52 Opslag, dienstverlening voor vervoer","2005 3e kwartaal","100,7"," "
"52 Opslag, dienstverlening voor vervoer","2005 4e kwartaal","106,3"," "
"52 Opslag, dienstverlening voor vervoer","2005","100,0"," "
"52 Opslag, dienstverlening voor vervoer","2006 1e kwartaal","102,3","10,4"
"52 Opslag, dienstverlening voor vervoer","2006 2e kwartaal","109,9","9,4"
"52 Opslag, dienstverlening voor vervoer","2006 3e kwartaal","104,9","4,2"
"52 Opslag, dienstverlening voor vervoer","2006 4e kwartaal","114,5","7,7"
"52 Opslag, dienstverlening voor vervoer","2006","107,9","7,9"
"52 Opslag, dienstverlening voor vervoer","2007 1e kwartaal","111,4","8,9"
"52 Opslag, dienstverlening voor vervoer","2007 2e kwartaal","118,3","7,7"
"52 Opslag, dienstverlening voor vervoer","2007 3e kwartaal","121,0","15,3"
"52 Opslag, dienstverlening voor vervoer","2007 4e kwartaal","129,7","13,2"
"52 Opslag, dienstverlening voor vervoer","2007","120,1","11,3"
"52 Opslag, dienstverlening voor vervoer","2008 1e kwartaal","117,7","5,7"
"52 Opslag, dienstverlening voor vervoer","2008 2e kwartaal","124,8","5,5"
"52 Opslag, dienstverlening voor vervoer","2008 3e kwartaal","125,2","3,5"
"52 Opslag, dienstverlening voor vervoer","2008 4e kwartaal","124,6","-3,9"
"52 Opslag, dienstverlening voor vervoer","2008","123,1","2,5"
"52 Opslag, dienstverlening voor vervoer","2009 1e kwartaal","106,0","-10,0"
"52 Opslag, dienstverlening voor vervoer","2009 2e kwartaal","107,1","-14,2"
"52 Opslag, dienstverlening voor vervoer","2009 3e kwartaal","106,9","-14,6"
"52 Opslag, dienstverlening voor vervoer","2009 4e kwartaal","109,1","-12,4"
"52 Opslag, dienstverlening voor vervoer","2009","107,3","-12,9"
"52 Opslag, dienstverlening voor vervoer","2010 1e kwartaal","105,4","-0,5"
"52 Opslag, dienstverlening voor vervoer","2010 2e kwartaal","112,5","5,0"
"52 Opslag, dienstverlening voor vervoer","2010 3e kwartaal","117,0","9,5"
"52 Opslag, dienstverlening voor vervoer","2010 4e kwartaal","118,2","8,4"
"52 Opslag, dienstverlening voor vervoer","2010","113,3","5,6"
"52 Opslag, dienstverlening voor vervoer","2011 1e kwartaal","113,4","7,6"
"52 Opslag, dienstverlening voor vervoer","2011 2e kwartaal","120,2","6,8"
"52 Opslag, dienstverlening voor vervoer","2011 3e kwartaal","120,2","2,8"
"52 Opslag, dienstverlening voor vervoer","2011 4e kwartaal","123,4","4,4"
"52 Opslag, dienstverlening voor vervoer","2011","119,3","5,3"
"52 Opslag, dienstverlening voor vervoer","2012 1e kwartaal**","116,0","2,3"
"52 Opslag, dienstverlening voor vervoer","2012 2e kwartaal*","123,8","3,0"
"521 Opslag","2005 1e kwartaal","91,6"," "
"521 Opslag","2005 2e kwartaal","95,0"," "
"521 Opslag","2005 3e kwartaal","99,0"," "
"521 Opslag","2005 4e kwartaal","114,4"," "
"521 Opslag","2005","100,0"," "
"521 Opslag","2006 1e kwartaal","105,2","14,9"
"521 Opslag","2006 2e kwartaal","110,1","15,9"
"521 Opslag","2006 3e kwartaal","109,8","10,9"
"521 Opslag","2006 4e kwartaal","122,6","7,2"
"521 Opslag","2006","111,9","11,9"
"521 Opslag","2007 1e kwartaal","112,8","7,3"
"521 Opslag","2007 2e kwartaal","113,2","2,9"
"521 Opslag","2007 3e kwartaal","102,7","-6,5"
"521 Opslag","2007 4e kwartaal","111,4","-9,1"
"521 Opslag","2007","110,0","-1,7"
"521 Opslag","2008 1e kwartaal","112,5","-0,3"
"521 Opslag","2008 2e kwartaal","115,8","2,3"
"521 Opslag","2008 3e kwartaal","109,7","6,8"
"521 Opslag","2008 4e kwartaal","121,8","9,3"
"521 Opslag","2008","115,0","4,5"
"521 Opslag","2009 1e kwartaal","107,0","-4,9"
"521 Opslag","2009 2e kwartaal","116,2","0,4"
"521 Opslag","2009 3e kwartaal","114,7","4,5"
"521 Opslag","2009 4e kwartaal","118,0","-3,1"
"521 Opslag","2009","114,0","-0,9"
"521 Opslag","2010 1e kwartaal","111,8","4,5"
"521 Opslag","2010 2e kwartaal","114,6","-1,4"
"521 Opslag","2010 3e kwartaal","119,4","4,2"
"521 Opslag","2010 4e kwartaal","120,8","2,4"
"521 Opslag","2010","116,7","2,4"
"521 Opslag","2011 1e kwartaal","120,0","7,4"
"521 Opslag","2011 2e kwartaal","123,9","8,1"
"521 Opslag","2011 3e kwartaal","121,1","1,4"
"521 Opslag","2011 4e kwartaal","125,0","3,5"
"521 Opslag","2011","122,5","5,0"
"521 Opslag","2012 1e kwartaal**","119,7","-0,3"
"521 Opslag","2012 2e kwartaal*","125,1","1,0"
"522 Dienstverlening voor vervoer","2005 1e kwartaal","92,8"," "
"522 Dienstverlening voor vervoer","2005 2e kwartaal","101,4"," "
"522 Dienstverlening voor vervoer","2005 3e kwartaal","101,0"," "
"522 Dienstverlening voor vervoer","2005 4e kwartaal","104,8"," "
"522 Dienstverlening voor vervoer","2005","100,0"," "
"522 Dienstverlening voor vervoer","2006 1e kwartaal","101,8","9,6"
"522 Dienstverlening voor vervoer","2006 2e kwartaal","109,9","8,4"
"522 Dienstverlening voor vervoer","2006 3e kwartaal","104,0","3,1"
"522 Dienstverlening voor vervoer","2006 4e kwartaal","113,1","7,9"
"522 Dienstverlening voor vervoer","2006","107,2","7,2"
"522 Dienstverlening voor vervoer","2007 1e kwartaal","111,2","9,2"
"522 Dienstverlening voor vervoer","2007 2e kwartaal","119,2","8,5"
"522 Dienstverlening voor vervoer","2007 3e kwartaal","124,2","19,4"
"522 Dienstverlening voor vervoer","2007 4e kwartaal","132,9","17,5"
"522 Dienstverlening voor vervoer","2007","121,9","13,7"
"522 Dienstverlening voor vervoer","2008 1e kwartaal","118,7","6,7"
"522 Dienstverlening voor vervoer","2008 2e kwartaal","126,5","6,0"
"522 Dienstverlening voor vervoer","2008 3e kwartaal","128,0","3,0"
"522 Dienstverlening voor vervoer","2008 4e kwartaal","125,0","-5,9"
"522 Dienstverlening voor vervoer","2008","124,5","2,2"
"522 Dienstverlening voor vervoer","2009 1e kwartaal","105,8","-10,8"
"522 Dienstverlening voor vervoer","2009 2e kwartaal","105,5","-16,6"
"522 Dienstverlening voor vervoer","2009 3e kwartaal","105,5","-17,6"
"522 Dienstverlening voor vervoer","2009 4e kwartaal","107,5","-14,1"
"522 Dienstverlening voor vervoer","2009","106,1","-14,8"
"522 Dienstverlening voor vervoer","2010 1e kwartaal","104,3","-1,4"
"522 Dienstverlening voor vervoer","2010 2e kwartaal","112,1","6,3"
"522 Dienstverlening voor vervoer","2010 3e kwartaal","116,6","10,5"
"522 Dienstverlening voor vervoer","2010 4e kwartaal","117,7","9,5"
"522 Dienstverlening voor vervoer","2010","112,7","6,2"
"522 Dienstverlening voor vervoer","2011 1e kwartaal","112,2","7,6"
"522 Dienstverlening voor vervoer","2011 2e kwartaal","119,5","6,6"
"522 Dienstverlening voor vervoer","2011 3e kwartaal","120,1","3,0"
"522 Dienstverlening voor vervoer","2011 4e kwartaal","123,2","4,6"
"522 Dienstverlening voor vervoer","2011","118,7","5,4"
"522 Dienstverlening voor vervoer","2012 1e kwartaal**","115,4","2,8"
"522 Dienstverlening voor vervoer","2012 2e kwartaal*","123,6","3,4"
"5221 Dienstverlening voor landvervoer","2005 1e kwartaal","87,4"," "
"5221 Dienstverlening voor landvervoer","2005 2e kwartaal","104,7"," "
"5221 Dienstverlening voor landvervoer","2005 3e kwartaal","102,1"," "
"5221 Dienstverlening voor landvervoer","2005 4e kwartaal","105,8"," "
"5221 Dienstverlening voor landvervoer","2005","100,0"," "
"5221 Dienstverlening voor landvervoer","2006 1e kwartaal","109,4","25,2"
"5221 Dienstverlening voor landvervoer","2006 2e kwartaal","122,9","17,4"
"5221 Dienstverlening voor landvervoer","2006 3e kwartaal","121,5","19,0"
"5221 Dienstverlening voor landvervoer","2006 4e kwartaal","131,8","24,6"
"5221 Dienstverlening voor landvervoer","2006","121,4","21,4"
"5221 Dienstverlening voor landvervoer","2007 1e kwartaal","118,3","8,2"
"5221 Dienstverlening voor landvervoer","2007 2e kwartaal","118,7","-3,4"
"5221 Dienstverlening voor landvervoer","2007 3e kwartaal","118,2","-2,7"
"5221 Dienstverlening voor landvervoer","2007 4e kwartaal","127,1","-3,6"
"5221 Dienstverlening voor landvervoer","2007","120,6","-0,7"
"5221 Dienstverlening voor landvervoer","2008 1e kwartaal","116,1","-1,9"
"5221 Dienstverlening voor landvervoer","2008 2e kwartaal","119,1","0,3"
"5221 Dienstverlening voor landvervoer","2008 3e kwartaal","113,6","-3,9"
"5221 Dienstverlening voor landvervoer","2008 4e kwartaal","125,4","-1,4"
"5221 Dienstverlening voor landvervoer","2008","118,5","-1,7"
"5221 Dienstverlening voor landvervoer","2009 1e kwartaal","117,2","1,0"
"5221 Dienstverlening voor landvervoer","2009 2e kwartaal","121,4","1,9"
"5221 Dienstverlening voor landvervoer","2009 3e kwartaal","122,1","7,6"
"5221 Dienstverlening voor landvervoer","2009 4e kwartaal","135,4","8,0"
"5221 Dienstverlening voor landvervoer","2009","124,0","4,7"
"5221 Dienstverlening voor landvervoer","2010 1e kwartaal","119,6","2,1"
"5221 Dienstverlening voor landvervoer","2010 2e kwartaal","123,9","2,1"
"5221 Dienstverlening voor landvervoer","2010 3e kwartaal","121,4","-0,6"
"5221 Dienstverlening voor landvervoer","2010 4e kwartaal","138,7","2,4"
"5221 Dienstverlening voor landvervoer","2010","125,9","1,5"
"5221 Dienstverlening voor landvervoer","2011 1e kwartaal","125,6","5,0"
"5221 Dienstverlening voor landvervoer","2011 2e kwartaal","133,4","7,6"
"5221 Dienstverlening voor landvervoer","2011 3e kwartaal","131,3","8,1"
"5221 Dienstverlening voor landvervoer","2011 4e kwartaal","144,6","4,3"
"5221 Dienstverlening voor landvervoer","2011","133,7","6,2"
"5221 Dienstverlening voor landvervoer","2012 1e kwartaal**","131,7","4,8"
"5221 Dienstverlening voor landvervoer","2012 2e kwartaal*","143,6","7,7"
"5222 Dienstverlening voor de scheepvaart","2005 1e kwartaal","96,8"," "
"5222 Dienstverlening voor de scheepvaart","2005 2e kwartaal","96,1"," "
"5222 Dienstverlening voor de scheepvaart","2005 3e kwartaal","102,5"," "
"5222 Dienstverlening voor de scheepvaart","2005 4e kwartaal","104,6"," "
"5222 Dienstverlening voor de scheepvaart","2005","100,0"," "
"5222 Dienstverlening voor de scheepvaart","2006 1e kwartaal","98,3","1,5"
"5222 Dienstverlening voor de scheepvaart","2006 2e kwartaal","107,7","12,0"
"5222 Dienstverlening voor de scheepvaart","2006 3e kwartaal","111,4","8,8"
"5222 Dienstverlening voor de scheepvaart","2006 4e kwartaal","114,7","9,7"
"5222 Dienstverlening voor de scheepvaart","2006","108,0","8,0"
"5222 Dienstverlening voor de scheepvaart","2007 1e kwartaal","110,1","12,0"
"5222 Dienstverlening voor de scheepvaart","2007 2e kwartaal","121,9","13,2"
"5222 Dienstverlening voor de scheepvaart","2007 3e kwartaal","120,0","7,7"
"5222 Dienstverlening voor de scheepvaart","2007 4e kwartaal","133,9","16,8"
"5222 Dienstverlening voor de scheepvaart","2007","121,5","12,5"
"5222 Dienstverlening voor de scheepvaart","2008 1e kwartaal","109,1","-1,0"
"5222 Dienstverlening voor de scheepvaart","2008 2e kwartaal","130,0","6,6"
"5222 Dienstverlening voor de scheepvaart","2008 3e kwartaal","138,3","15,3"
"5222 Dienstverlening voor de scheepvaart","2008 4e kwartaal","131,6","-1,8"
"5222 Dienstverlening voor de scheepvaart","2008","127,2","4,7"
"5222 Dienstverlening voor de scheepvaart","2009 1e kwartaal","111,6","2,3"
"5222 Dienstverlening voor de scheepvaart","2009 2e kwartaal","117,3","-9,8"
"5222 Dienstverlening voor de scheepvaart","2009 3e kwartaal","114,5","-17,2"
"5222 Dienstverlening voor de scheepvaart","2009 4e kwartaal","114,0","-13,3"
"5222 Dienstverlening voor de scheepvaart","2009","114,4","-10,1"
"5222 Dienstverlening voor de scheepvaart","2010 1e kwartaal","112,3","0,6"
"5222 Dienstverlening voor de scheepvaart","2010 2e kwartaal","119,3","1,7"
"5222 Dienstverlening voor de scheepvaart","2010 3e kwartaal","123,6","7,9"
"5222 Dienstverlening voor de scheepvaart","2010 4e kwartaal","125,0","9,6"
"5222 Dienstverlening voor de scheepvaart","2010","120,0","5,0"
"5222 Dienstverlening voor de scheepvaart","2011 1e kwartaal","120,3","7,1"
"5222 Dienstverlening voor de scheepvaart","2011 2e kwartaal","120,5","1,1"
"5222 Dienstverlening voor de scheepvaart","2011 3e kwartaal","129,2","4,6"
"5222 Dienstverlening voor de scheepvaart","2011 4e kwartaal","130,4","4,3"
"5222 Dienstverlening voor de scheepvaart","2011","125,1","4,2"
"5222 Dienstverlening voor de scheepvaart","2012 1e kwartaal**","130,7","8,7"
"5222 Dienstverlening voor de scheepvaart","2012 2e kwartaal*","120,4","-0,1"
"5223 Dienstverlening voor de luchtvaart","2005 1e kwartaal","83,5"," "
"5223 Dienstverlening voor de luchtvaart","2005 2e kwartaal","104,7"," "
"5223 Dienstverlening voor de luchtvaart","2005 3e kwartaal","111,9"," "
"5223 Dienstverlening voor de luchtvaart","2005 4e kwartaal","99,9"," "
"5223 Dienstverlening voor de luchtvaart","2005","100,0"," "
"5223 Dienstverlening voor de luchtvaart","2006 1e kwartaal","83,8","0,4"
"5223 Dienstverlening voor de luchtvaart","2006 2e kwartaal","110,0","5,0"
"5223 Dienstverlening voor de luchtvaart","2006 3e kwartaal","116,5","4,1"
"5223 Dienstverlening voor de luchtvaart","2006 4e kwartaal","100,3","0,4"
"5223 Dienstverlening voor de luchtvaart","2006","102,7","2,7"
"5223 Dienstverlening voor de luchtvaart","2007 1e kwartaal","89,1","6,3"
"5223 Dienstverlening voor de luchtvaart","2007 2e kwartaal","110,6","0,5"
"5223 Dienstverlening voor de luchtvaart","2007 3e kwartaal","124,5","6,9"
"5223 Dienstverlening voor de luchtvaart","2007 4e kwartaal","105,5","5,2"
"5223 Dienstverlening voor de luchtvaart","2007","107,4","4,7"
"5223 Dienstverlening voor de luchtvaart","2008 1e kwartaal","92,9","4,3"
"5223 Dienstverlening voor de luchtvaart","2008 2e kwartaal","109,8","-0,7"
"5223 Dienstverlening voor de luchtvaart","2008 3e kwartaal","117,1","-6,0"
"5223 Dienstverlening voor de luchtvaart","2008 4e kwartaal","103,9","-1,4"
"5223 Dienstverlening voor de luchtvaart","2008","105,9","-1,4"
"5223 Dienstverlening voor de luchtvaart","2009 1e kwartaal","93,0","0,1"
"5223 Dienstverlening voor de luchtvaart","2009 2e kwartaal","108,1","-1,5"
"5223 Dienstverlening voor de luchtvaart","2009 3e kwartaal","114,5","-2,2"
"5223 Dienstverlening voor de luchtvaart","2009 4e kwartaal","97,9","-5,8"
"5223 Dienstverlening voor de luchtvaart","2009","103,4","-2,4"
"5223 Dienstverlening voor de luchtvaart","2010 1e kwartaal","86,6","-6,9"
"5223 Dienstverlening voor de luchtvaart","2010 2e kwartaal","101,7","-5,9"
"5223 Dienstverlening voor de luchtvaart","2010 3e kwartaal","119,0","3,9"
"5223 Dienstverlening voor de luchtvaart","2010 4e kwartaal","105,4","7,7"
"5223 Dienstverlening voor de luchtvaart","2010","103,2","-0,2"
"5223 Dienstverlening voor de luchtvaart","2011 1e kwartaal","94,1","8,8"
"5223 Dienstverlening voor de luchtvaart","2011 2e kwartaal","118,2","16,2"
"5223 Dienstverlening voor de luchtvaart","2011 3e kwartaal","127,1","6,8"
"5223 Dienstverlening voor de luchtvaart","2011 4e kwartaal","110,7","4,9"
"5223 Dienstverlening voor de luchtvaart","2011","112,5","9,1"
"5223 Dienstverlening voor de luchtvaart","2012 1e kwartaal**","96,6","2,6"
"5223 Dienstverlening voor de luchtvaart","2012 2e kwartaal*","121,9","3,1"
"5224 Laad-, los- en overslagbedrijven","2005 1e kwartaal","93,3"," "
"5224 Laad-, los- en overslagbedrijven","2005 2e kwartaal","105,0"," "
"5224 Laad-, los- en overslagbedrijven","2005 3e kwartaal","97,7"," "
"5224 Laad-, los- en overslagbedrijven","2005 4e kwartaal","104,0"," "
"5224 Laad-, los- en overslagbedrijven","2005","100,0"," "
"5224 Laad-, los- en overslagbedrijven","2006 1e kwartaal","101,4","8,6"
"5224 Laad-, los- en overslagbedrijven","2006 2e kwartaal","106,0","1,0"
"5224 Laad-, los- en overslagbedrijven","2006 3e kwartaal","107,3","9,8"
"5224 Laad-, los- en overslagbedrijven","2006 4e kwartaal","111,8","7,5"
"5224 Laad-, los- en overslagbedrijven","2006","106,6","6,6"
"5224 Laad-, los- en overslagbedrijven","2007 1e kwartaal","113,2","11,6"
"5224 Laad-, los- en overslagbedrijven","2007 2e kwartaal","118,4","11,7"
"5224 Laad-, los- en overslagbedrijven","2007 3e kwartaal","124,9","16,4"
"5224 Laad-, los- en overslagbedrijven","2007 4e kwartaal","137,6","23,1"
"5224 Laad-, los- en overslagbedrijven","2007","123,5","15,9"
"5224 Laad-, los- en overslagbedrijven","2008 1e kwartaal","133,9","18,3"
"5224 Laad-, los- en overslagbedrijven","2008 2e kwartaal","142,0","19,9"
"5224 Laad-, los- en overslagbedrijven","2008 3e kwartaal","142,9","14,4"
"5224 Laad-, los- en overslagbedrijven","2008 4e kwartaal","139,6","1,5"
"5224 Laad-, los- en overslagbedrijven","2008","139,6","13,0"
"5224 Laad-, los- en overslagbedrijven","2009 1e kwartaal","128,8","-3,8"
"5224 Laad-, los- en overslagbedrijven","2009 2e kwartaal","127,2","-10,4"
"5224 Laad-, los- en overslagbedrijven","2009 3e kwartaal","128,5","-10,1"
"5224 Laad-, los- en overslagbedrijven","2009 4e kwartaal","127,4","-8,7"
"5224 Laad-, los- en overslagbedrijven","2009","128,0","-8,3"
"5224 Laad-, los- en overslagbedrijven","2010 1e kwartaal","126,2","-2,1"
"5224 Laad-, los- en overslagbedrijven","2010 2e kwartaal","137,1","7,8"
"5224 Laad-, los- en overslagbedrijven","2010 3e kwartaal","140,6","9,4"
"5224 Laad-, los- en overslagbedrijven","2010 4e kwartaal","137,3","7,8"
"5224 Laad-, los- en overslagbedrijven","2010","135,3","5,7"
"5224 Laad-, los- en overslagbedrijven","2011 1e kwartaal","133,2","5,6"
"5224 Laad-, los- en overslagbedrijven","2011 2e kwartaal","139,2","1,5"
"5224 Laad-, los- en overslagbedrijven","2011 3e kwartaal","140,6","0,0"
"5224 Laad-, los- en overslagbedrijven","2011 4e kwartaal","139,0","1,2"
"5224 Laad-, los- en overslagbedrijven","2011","138,0","2,0"
"5224 Laad-, los- en overslagbedrijven","2012 1e kwartaal**","136,2","2,2"
"5224 Laad-, los- en overslagbedrijven","2012 2e kwartaal*","144,1","3,5"
"5229 Tussenpersonen vrachtvervoer","2005 1e kwartaal","93,9"," "
"5229 Tussenpersonen vrachtvervoer","2005 2e kwartaal","100,5"," "
"5229 Tussenpersonen vrachtvervoer","2005 3e kwartaal","100,0"," "
"5229 Tussenpersonen vrachtvervoer","2005 4e kwartaal","105,5"," "
"5229 Tussenpersonen vrachtvervoer","2005","100,0"," "
"5229 Tussenpersonen vrachtvervoer","2006 1e kwartaal","103,9","10,7"
"5229 Tussenpersonen vrachtvervoer","2006 2e kwartaal","110,0","9,4"
"5229 Tussenpersonen vrachtvervoer","2006 3e kwartaal","100,3","0,2"
"5229 Tussenpersonen vrachtvervoer","2006 4e kwartaal","113,6","7,6"
"5229 Tussenpersonen vrachtvervoer","2006","106,9","6,9"
"5229 Tussenpersonen vrachtvervoer","2007 1e kwartaal","113,1","8,9"
"5229 Tussenpersonen vrachtvervoer","2007 2e kwartaal","120,2","9,4"
"5229 Tussenpersonen vrachtvervoer","2007 3e kwartaal","124,7","24,4"
"5229 Tussenpersonen vrachtvervoer","2007 4e kwartaal","135,6","19,4"
"5229 Tussenpersonen vrachtvervoer","2007","123,4","15,4"
"5229 Tussenpersonen vrachtvervoer","2008 1e kwartaal","119,9","6,0"
"5229 Tussenpersonen vrachtvervoer","2008 2e kwartaal","125,7","4,5"
"5229 Tussenpersonen vrachtvervoer","2008 3e kwartaal","126,5","1,4"
"5229 Tussenpersonen vrachtvervoer","2008 4e kwartaal","124,3","-8,3"
"5229 Tussenpersonen vrachtvervoer","2008","124,1","0,5"
"5229 Tussenpersonen vrachtvervoer","2009 1e kwartaal","101,9","-15,0"
"5229 Tussenpersonen vrachtvervoer","2009 2e kwartaal","99,2","-21,1"
"5229 Tussenpersonen vrachtvervoer","2009 3e kwartaal","98,4","-22,2"
"5229 Tussenpersonen vrachtvervoer","2009 4e kwartaal","102,7","-17,4"
"5229 Tussenpersonen vrachtvervoer","2009","100,5","-19,0"
"5229 Tussenpersonen vrachtvervoer","2010 1e kwartaal","100,7","-1,1"
"5229 Tussenpersonen vrachtvervoer","2010 2e kwartaal","107,4","8,3"
"5229 Tussenpersonen vrachtvervoer","2010 3e kwartaal","110,9","12,7"
"5229 Tussenpersonen vrachtvervoer","2010 4e kwartaal","113,7","10,7"
"5229 Tussenpersonen vrachtvervoer","2010","108,2","7,6"
"5229 Tussenpersonen vrachtvervoer","2011 1e kwartaal","109,0","8,2"
"5229 Tussenpersonen vrachtvervoer","2011 2e kwartaal","115,1","7,2"
"5229 Tussenpersonen vrachtvervoer","2011 3e kwartaal","114,0","2,8"
"5229 Tussenpersonen vrachtvervoer","2011 4e kwartaal","119,8","5,4"
"5229 Tussenpersonen vrachtvervoer","2011","114,5","5,8"
"5229 Tussenpersonen vrachtvervoer","2012 1e kwartaal**","111,4","2,3"
"5229 Tussenpersonen vrachtvervoer","2012 2e kwartaal*","119,1","3,4"
"53 Post en koeriers","2005 1e kwartaal","97,9"," "
"53 Post en koeriers","2005 2e kwartaal","98,4"," "
"53 Post en koeriers","2005 3e kwartaal","92,0"," "
"53 Post en koeriers","2005 4e kwartaal","111,7"," "
"53 Post en koeriers","2005","100,0"," "
"53 Post en koeriers","2006 1e kwartaal","103,1","5,3"
"53 Post en koeriers","2006 2e kwartaal","99,7","1,3"
"53 Post en koeriers","2006 3e kwartaal","95,9","4,2"
"53 Post en koeriers","2006 4e kwartaal","113,6","1,8"
"53 Post en koeriers","2006","103,1","3,1"
"53 Post en koeriers","2007 1e kwartaal","103,6","0,5"
"53 Post en koeriers","2007 2e kwartaal","102,6","2,9"
"53 Post en koeriers","2007 3e kwartaal","95,7","-0,2"
"53 Post en koeriers","2007 4e kwartaal","112,0","-1,5"
"53 Post en koeriers","2007","103,5","0,4"
"53 Post en koeriers","2008 1e kwartaal","106,7","2,9"
"53 Post en koeriers","2008 2e kwartaal","104,1","1,4"
"53 Post en koeriers","2008 3e kwartaal","99,1","3,5"
"53 Post en koeriers","2008 4e kwartaal","115,7","3,3"
"53 Post en koeriers","2008","106,4","2,8"
"53 Post en koeriers","2009 1e kwartaal","99,1","-7,1"
"53 Post en koeriers","2009 2e kwartaal","97,4","-6,4"
"53 Post en koeriers","2009 3e kwartaal","93,4","-5,8"
"53 Post en koeriers","2009 4e kwartaal","109,7","-5,2"
"53 Post en koeriers","2009","99,9","-6,1"
"53 Post en koeriers","2010 1e kwartaal","96,2","-3,0"
"53 Post en koeriers","2010 2e kwartaal","93,3","-4,2"
"53 Post en koeriers","2010 3e kwartaal","88,0","-5,8"
"53 Post en koeriers","2010 4e kwartaal","102,9","-6,1"
"53 Post en koeriers","2010","95,1","-4,8"
"53 Post en koeriers","2011 1e kwartaal","92,6","-3,7"
"53 Post en koeriers","2011 2e kwartaal","92,4","-0,9"
"53 Post en koeriers","2011 3e kwartaal","88,4","0,5"
"53 Post en koeriers","2011 4e kwartaal","102,4","-0,5"
"53 Post en koeriers","2011","94,0","-1,2"
"53 Post en koeriers","2012 1e kwartaal**","93,1","0,5"
"53 Post en koeriers","2012 2e kwartaal*","91,0","-1,5"
"532 Lokale post en koeriers","2005 1e kwartaal"," "," "
"532 Lokale post en koeriers","2005 2e kwartaal"," "," "
"532 Lokale post en koeriers","2005 3e kwartaal"," "," "
"532 Lokale post en koeriers","2005 4e kwartaal"," "," "
"532 Lokale post en koeriers","2005"," "," "
"532 Lokale post en koeriers","2006 1e kwartaal"," "," "
"532 Lokale post en koeriers","2006 2e kwartaal"," "," "
"532 Lokale post en koeriers","2006 3e kwartaal"," "," "
"532 Lokale post en koeriers","2006 4e kwartaal"," "," "
"532 Lokale post en koeriers","2006"," "," "
"532 Lokale post en koeriers","2007 1e kwartaal","108,6"," "
"532 Lokale post en koeriers","2007 2e kwartaal","115,9"," "
"532 Lokale post en koeriers","2007 3e kwartaal","110,1"," "
"532 Lokale post en koeriers","2007 4e kwartaal","120,1"," "
"532 Lokale post en koeriers","2007","113,7"," "
"532 Lokale post en koeriers","2008 1e kwartaal","121,4","11,8"
"532 Lokale post en koeriers","2008 2e kwartaal","124,9","7,8"
"532 Lokale post en koeriers","2008 3e kwartaal","121,1","10,0"
"532 Lokale post en koeriers","2008 4e kwartaal","125,8","4,7"
"532 Lokale post en koeriers","2008","123,3","8,5"
"532 Lokale post en koeriers","2009 1e kwartaal","109,1","-10,1"
"532 Lokale post en koeriers","2009 2e kwartaal","109,6","-12,3"
"532 Lokale post en koeriers","2009 3e kwartaal","109,9","-9,2"
"532 Lokale post en koeriers","2009 4e kwartaal","115,9","-7,9"
