"X","Onderwerpen","Indexcijfers.omzet","Omzetontwikkeling"
"Bedrijfstak/branches (SBI 2008)","Perioden","2005 = 100","%"
"493 Personenvervoer over de weg","2008 1e kwartaal","110,2","9,0"
"493 Personenvervoer over de weg","2008 2e kwartaal","120,3","6,0"
"493 Personenvervoer over de weg","2008 3e kwartaal","115,5","7,2"
"493 Personenvervoer over de weg","2008 4e kwartaal","122,0","4,8"
"493 Personenvervoer over de weg","2008","117,0","6,7"
"493 Personenvervoer over de weg","2009 1e kwartaal","118,1","7,1"
"493 Personenvervoer over de weg","2009 2e kwartaal","129,6","7,8"
"493 Personenvervoer over de weg","2009 3e kwartaal","120,4","4,2"
"493 Personenvervoer over de weg","2009 4e kwartaal","128,8","5,6"
"493 Personenvervoer over de weg","2009","124,2","6,2"
"493 Personenvervoer over de weg","2010 1e kwartaal","122,1","3,4"
"493 Personenvervoer over de weg","2010 2e kwartaal","129,1","-0,4"
"493 Personenvervoer over de weg","2010 3e kwartaal","122,8","2,0"
"493 Personenvervoer over de weg","2010 4e kwartaal","130,4","1,2"
"493 Personenvervoer over de weg","2010","126,1","1,5"
"493 Personenvervoer over de weg","2011 1e kwartaal","123,5","1,1"
"493 Personenvervoer over de weg","2011 2e kwartaal","133,4","3,3"
"493 Personenvervoer over de weg","2011 3e kwartaal","126,6","3,2"
"493 Personenvervoer over de weg","2011 4e kwartaal","130,1","-0,2"
"493 Personenvervoer over de weg","2011","128,4","1,8"
"493 Personenvervoer over de weg","2012 1e kwartaal**","125,1","1,3"
"493 Personenvervoer over de weg","2012 2e kwartaal*","137,3","3,0"
"4932 Vervoer per taxi","2005 1e kwartaal","94,7"," "
"4932 Vervoer per taxi","2005 2e kwartaal","104,6"," "
"4932 Vervoer per taxi","2005 3e kwartaal","94,4"," "
"4932 Vervoer per taxi","2005 4e kwartaal","106,3"," "
"4932 Vervoer per taxi","2005","100,0"," "
"4932 Vervoer per taxi","2006 1e kwartaal","100,7","6,4"
"4932 Vervoer per taxi","2006 2e kwartaal","110,3","5,4"
"4932 Vervoer per taxi","2006 3e kwartaal","102,7","8,9"
"4932 Vervoer per taxi","2006 4e kwartaal","118,5","11,4"
"4932 Vervoer per taxi","2006","108,1","8,1"
"4932 Vervoer per taxi","2007 1e kwartaal","109,8","9,0"
"4932 Vervoer per taxi","2007 2e kwartaal","117,5","6,6"
"4932 Vervoer per taxi","2007 3e kwartaal","110,4","7,5"
"4932 Vervoer per taxi","2007 4e kwartaal","126,4","6,7"
"4932 Vervoer per taxi","2007","116,0","7,4"
"4932 Vervoer per taxi","2008 1e kwartaal","116,6","6,2"
"4932 Vervoer per taxi","2008 2e kwartaal","128,3","9,2"
"4932 Vervoer per taxi","2008 3e kwartaal","118,5","7,3"
"4932 Vervoer per taxi","2008 4e kwartaal","130,5","3,2"
"4932 Vervoer per taxi","2008","123,5","6,4"
"4932 Vervoer per taxi","2009 1e kwartaal","122,6","5,1"
"4932 Vervoer per taxi","2009 2e kwartaal","132,2","3,0"
"4932 Vervoer per taxi","2009 3e kwartaal","120,6","1,8"
"4932 Vervoer per taxi","2009 4e kwartaal","136,5","4,7"
"4932 Vervoer per taxi","2009","128,0","3,7"
"4932 Vervoer per taxi","2010 1e kwartaal","122,8","0,2"
"4932 Vervoer per taxi","2010 2e kwartaal","131,5","-0,5"
"4932 Vervoer per taxi","2010 3e kwartaal","125,4","4,0"
"4932 Vervoer per taxi","2010 4e kwartaal","138,6","1,5"
"4932 Vervoer per taxi","2010","129,6","1,3"
"4932 Vervoer per taxi","2011 1e kwartaal","124,5","1,4"
"4932 Vervoer per taxi","2011 2e kwartaal","135,4","3,0"
"4932 Vervoer per taxi","2011 3e kwartaal","124,4","-0,9"
"4932 Vervoer per taxi","2011 4e kwartaal","138,8","0,1"
"4932 Vervoer per taxi","2011","130,8","0,9"
"4932 Vervoer per taxi","2012 1e kwartaal**","128,3","3,0"
"4932 Vervoer per taxi","2012 2e kwartaal*","141,0","4,1"
"4939 Overig personenvervoer over de weg","2005 1e kwartaal","93,2"," "
"4939 Overig personenvervoer over de weg","2005 2e kwartaal","107,5"," "
"4939 Overig personenvervoer over de weg","2005 3e kwartaal","99,9"," "
"4939 Overig personenvervoer over de weg","2005 4e kwartaal","99,3"," "
"4939 Overig personenvervoer over de weg","2005","100,0"," "
"4939 Overig personenvervoer over de weg","2006 1e kwartaal","87,0","-6,7"
"4939 Overig personenvervoer over de weg","2006 2e kwartaal","103,5","-3,7"
"4939 Overig personenvervoer over de weg","2006 3e kwartaal","97,7","-2,2"
"4939 Overig personenvervoer over de weg","2006 4e kwartaal","85,3","-14,1"
"4939 Overig personenvervoer over de weg","2006","93,4","-6,6"
"4939 Overig personenvervoer over de weg","2007 1e kwartaal","92,1","5,9"
"4939 Overig personenvervoer over de weg","2007 2e kwartaal","110,4","6,6"
"4939 Overig personenvervoer over de weg","2007 3e kwartaal","105,9","8,4"
"4939 Overig personenvervoer over de weg","2007 4e kwartaal","106,5","24,9"
"4939 Overig personenvervoer over de weg","2007","103,7","11,1"
"4939 Overig personenvervoer over de weg","2008 1e kwartaal","103,3","12,1"
"4939 Overig personenvervoer over de weg","2008 2e kwartaal","113,5","2,8"
"4939 Overig personenvervoer over de weg","2008 3e kwartaal","113,0","6,7"
"4939 Overig personenvervoer over de weg","2008 4e kwartaal","113,5","6,5"
"4939 Overig personenvervoer over de weg","2008","110,8","6,8"
"4939 Overig personenvervoer over de weg","2009 1e kwartaal","113,4","9,8"
"4939 Overig personenvervoer over de weg","2009 2e kwartaal","127,9","12,7"
"4939 Overig personenvervoer over de weg","2009 3e kwartaal","120,5","6,7"
"4939 Overig personenvervoer over de weg","2009 4e kwartaal","120,0","5,8"
"4939 Overig personenvervoer over de weg","2009","120,5","8,7"
"4939 Overig personenvervoer over de weg","2010 1e kwartaal","121,2","6,8"
