"Politieregio's";"Perioden";"Voelt zich wel eens onveilig";"Voelt zich vaak onveilig";"Voelt zich wel eens onveilig in eigen buurt ";"Voelt zich vaak onveilig in eigen buurt";"Voelt zich 's avonds in buurt onveilig";"Voelt zich 's avonds niet op gemak";"Ingeschatte kans op woninginbraak";"Ingeschatte kans op mishandeling";"Ingeschatte kans op portemonneediefstal"
"Noord-Holland-Noord (PO)";"2010";"24.8";"1.7";"12.6";"1.3";"4.2";"2.2";"5.7";"1.5";"4.6"
"Noord-Holland-Noord (PO)";"2011";"23.6";"2.5";"15.0";"2.0";"4.0";"2.7";"6.3";"1.3";"4.4"
"Zaanstreek-Waterland (PO)";"2008";"23.7";"2.6";"15.3";"2.5";"2.5";"2.4";"3.9";"2.8";"5.3"
"Zaanstreek-Waterland (PO)";"2009";"23.8";"1.2";"12.8";"1.3";"4.4";"1.9";"4.3";"1.1";"3.9"
"Zaanstreek-Waterland (PO)";"2010";"23.9";"1.8";"14.8";"2.1";"4.8";"2.8";"3.8";"2.3";"5.3"
"Zaanstreek-Waterland (PO)";"2011";"23.3";"2.0";"15.4";"1.7";"3.7";"1.9";"6.4";"1.3";"5.2"
"Kennemerland (PO)";"2008";"23.5";"2.3";"12.3";"1.3";"3.1";"1.8";"5.2";"1.2";"4.7"
"Kennemerland (PO)";"2009";"24.2";"1.3";"12.3";"1.6";"2.9";"1.4";"3.7";"0.8";"4.2"
"Kennemerland (PO)";"2010";"26.3";"1.7";"17.3";"1.7";"4.4";"3.0";"5.9";"1.7";"5.0"
"Kennemerland (PO)";"2011";"24.7";"2.0";"15.0";"1.1";"3.8";"2.1";"5.3";"1.2";"4.9"
"Amsterdam-Amstelland (PO)";"2008";"34.5";"4.1";"26.6";"3.5";"6.4";"3.2";"7.3";"3.5";"9.4"
"Amsterdam-Amstelland (PO)";"2009";"35.0";"3.8";"25.5";"3.7";"7.1";"3.6";"7.6";"3.1";"9.1"
"Amsterdam-Amstelland (PO)";"2010";"36.7";"4.4";"26.8";"4.1";"7.3";"3.3";"8.6";"3.9";"9.2"
"Amsterdam-Amstelland (PO)";"2011";"35.5";"3.5";"25.5";"3.2";"6.4";"2.7";"9.1";"2.9";"9.0"
"Gooi en Vechtstreek (PO)";"2008";"24.7";"1.5";"11.5";"0.7";"2.8";"1.9";"6.4";"1.3";"6.0"
"Gooi en Vechtstreek (PO)";"2009";"26.1";"1.6";"16.8";"1.5";"3.7";"2.8";"7.5";"1.3";"5.3"
"Gooi en Vechtstreek (PO)";"2010";"29.1";"1.8";"17.7";"1.1";"2.9";"2.5";"6.6";"1.6";"5.0"
"Gooi en Vechtstreek (PO)";"2011";"26.8";"1.7";"17.0";"1.0";"4.3";"2.2";"10.8";"1.9";"5.2"
"Haaglanden (PO)";"2008";"29.9";"3.5";"21.7";"2.8";"5.8";"2.8";"8.7";"2.5";"7.9"
"Haaglanden (PO)";"2009";"30.2";"4.1";"22.9";"3.6";"6.0";"3.1";"9.1";"3.1";"8.0"
"Haaglanden (PO)";"2010";"32.6";"4.7";"24.1";"3.8";"6.6";"3.5";"10.4";"3.3";"8.4"
"Haaglanden (PO)";"2011";"30.3";"4.4";"23.7";"3.7";"6.2";"3.6";"10.4";"3.3";"8.4"
"Hollands Midden (PO)";"2008";"21.7";"1.9";"14.3";"1.5";"3.0";"2.0";"6.5";"1.5";"6.2"
"Hollands Midden (PO)";"2009";"25.4";"1.2";"13.3";"1.3";"3.3";"1.5";"5.4";"1.0";"6.0"
"Hollands Midden (PO)";"2010";"25.1";"1.3";"15.1";"1.4";"4.3";"1.9";"4.5";"0.6";"3.7"
"Hollands Midden (PO)";"2011";"25.3";"1.9";"15.6";"1.6";"3.6";"2.7";"6.0";"1.4";"5.4"
"Rotterdam-Rijnmond (PO)";"2008";"32.4";"3.6";"21.1";"2.6";"6.8";"3.9";"8.4";"2.6";"7.7"
"Rotterdam-Rijnmond (PO)";"2009";"29.7";"3.8";"21.7";"3.2";"7.0";"3.3";"8.1";"2.9";"7.8"
"Rotterdam-Rijnmond (PO)";"2010";"31.9";"3.8";"21.2";"2.9";"6.3";"2.7";"6.9";"3.9";"7.3"
"Rotterdam-Rijnmond (PO)";"2011";"30.2";"4.3";"22.8";"3.9";"7.6";"4.0";"9.5";"3.3";"7.8"
"Zuid-Holland-Zuid (PO)";"2008";"23.1";"1.9";"12.4";"1.4";"2.4";"2.0";"3.8";"1.0";"4.7"
"Zuid-Holland-Zuid (PO)";"2009";"27.2";"1.2";"15.7";"1.1";"3.0";"2.2";"4.3";"1.6";"5.4"
"Zuid-Holland-Zuid (PO)";"2010";"22.3";"1.6";"12.6";"1.1";"4.2";"1.8";"3.5";"1.1";"5.1"
"Zuid-Holland-Zuid (PO)";"2011";"21.6";"2.2";"13.2";"1.3";"4.1";"2.4";"4.7";"1.6";"4.3"
"Zeeland (PO)";"2008";"17.4";"1.4";"10.5";"1.2";"3.2";"1.7";"3.8";"0.7";"4.0"
"Zeeland (PO)";"2009";"21.3";"1.5";"13.3";"1.3";"3.7";"2.1";"4.6";"1.3";"4.8"
"Zeeland (PO)";"2010";"18.1";"1.3";"11.7";"0.8";"2.4";"1.7";"4.1";"0.6";"3.4"
"Zeeland (PO)";"2011";"17.6";"1.2";"11.4";"1.0";"2.2";"1.6";"3.9";"0.8";"3.9"
"Midden- en West-Brabant (PO)";"2008";"24.7";"1.7";"14.6";"1.9";"4.3";"3.3";"5.5";"0.7";"6.5"
"Midden- en West-Brabant (PO)";"2009";"27.0";"2.5";"19.5";"2.0";"5.4";"2.5";"6.8";"1.7";"5.9"
"Midden- en West-Brabant (PO)";"2010";"30.3";"2.9";"18.3";"1.4";"5.8";"3.2";"6.9";"2.2";"5.7"
"Midden- en West-Brabant (PO)";"2011";"25.9";"2.7";"20.5";"2.5";"4.6";"3.0";"9.4";"1.8";"4.9"
"Brabant-Noord (PO)";"2008";"23.9";"1.2";"13.9";"1.5";"5.2";"4.4";"4.3";"0.8";"4.3"
"Brabant-Noord (PO)";"2009";"21.9";"1.7";"15.3";"1.4";"4.1";"2.5";"5.7";"1.0";"4.4"
"Brabant-Noord (PO)";"2010";"25.1";"2.9";"16.0";"2.5";"3.3";"3.4";"5.3";"2.4";"4.0"
"Brabant-Noord (PO)";"2011";"22.0";"2.1";"16.2";"1.8";"3.7";"2.9";"6.7";"1.3";"4.6"
"Brabant-Zuidoost (PO)";"2008";"26.2";"1.3";"14.9";"1.1";"4.5";"2.2";"6.7";"0.5";"5.0"
"Brabant-Zuidoost (PO)";"2009";"24.1";"2.7";"17.7";"2.2";"5.4";"2.9";"7.0";"1.3";"5.1"
"Brabant-Zuidoost (PO)";"2010";"27.1";"3.8";"17.0";"3.0";"5.0";"3.9";"6.0";"1.7";"4.7"
"Brabant-Zuidoost (PO)";"2011";"24.7";"2.8";"18.7";"2.5";"5.4";"3.7";"7.6";"1.7";"4.3"
"Limburg-Noord (PO)";"2008";"25.0";"1.3";"13.9";"1.1";"3.7";"2.8";"4.2";"2.2";"4.9"
"Limburg-Noord (PO)";"2009";"25.8";"2.9";"18.4";"2.1";"3.7";"2.5";"5.8";"1.1";"4.4"
"Limburg-Noord (PO)";"2010";"25.5";"1.9";"15.7";"1.4";"3.5";"1.8";"5.6";"1.3";"4.0"
"Limburg-Noord (PO)";"2011";"24.8";"1.6";"16.9";"1.1";"4.0";"2.2";"6.0";"1.4";"5.0"
"Limburg-Zuid (PO)";"2008";"29.9";"2.9";"21.1";"2.4";"5.1";"4.2";"5.0";"1.5";"6.1"
"Limburg-Zuid (PO)";"2009";"28.0";"2.8";"20.7";"2.2";"5.3";"2.6";"8.3";"2.6";"5.5"
"Limburg-Zuid (PO)";"2010";"31.1";"2.9";"22.6";"2.6";"7.4";"3.7";"6.6";"1.6";"5.3"
"Limburg-Zuid (PO)";"2011";"27.6";"4.2";"19.1";"3.1";"5.7";"3.2";"6.7";"1.8";"6.1"
"Flevoland (PO)";"2008";"26.5";"2.6";"14.3";"2.1";"4.0";"2.1";"4.3";"2.9";"4.6"
"Flevoland (PO)";"2009";"29.2";"2.9";"19.3";"2.0";"4.5";"3.9";"5.2";"1.3";"5.3"
"Flevoland (PO)";"2010";"24.6";"2.5";"16.2";"2.0";"3.0";"2.8";"5.0";"2.0";"4.3"
"Flevoland (PO)";"2011";"26.6";"2.3";"18.0";"2.3";"5.1";"3.4";"7.4";"1.8";"4.7"
